job_id,job_title,skills,experience_level,education_level,label,source,is_custom
14fb27aa,Middle Data Engineer (Lakehouse / Big Data),"python, sql, postgresql",Более 6 лет,Not Specified,Data Engineer,hh,no
46dcdc75,Data analyst (Senior),sql,Без опыта,Not Specified,Data Analyst,hh,no
aaab5c89,Senior Data Software Engineer (Big Data Engineer),"python, java, sql, kafka, ml",От 3 до 6 лет,Not Specified,Data Engineer,hh,no
301dce0f,ML-инженер,"python, sql, ml, data science, pandas, numpy",Без опыта,Not Specified,Data Scientist,hh,no
fabf1938,ML-инженер/Data Scientist,"python, sql, machine learning, ml, pandas, numpy, scikit-learn",Более 6 лет,Высшее образование,Data Scientist,hh,no
3d91d8d3,Data Analyst (Junior) в Департамент кредитных рисков,"python, sql, pandas",От 1 года до 3 лет,Not Specified,Data Analyst,hh,no
91835ce8,Data Engineer (Analytics),"python, sql, postgresql, mysql, pandas, numpy",Более 6 лет,Not Specified,Data Engineer,hh,no
edcefe7f,Data Analyst (Аналитик данных),"python, sql, ml",Без опыта,Not Specified,Data Analyst,hh,no
7324d82a,Аналитик данных,"python, sql, pandas, numpy",Без опыта,Среднее образование,Data Analyst,hh,no
47b80eee,Backend-разработчик,"golang, sql, postgresql, mysql, kafka, rabbitmq, docker, kubernetes, ci/cd",Без опыта,Not Specified,Backend Developer,hh,no
0cd3323f,Middle Machine Learning Engineer – Financial Applications,"python, machine learning, data science, scikit-learn, pytorch",Без опыта,Not Specified,Data Scientist,hh,no
7cecf7a7,Аналитик данных / Marketing Data Analyst — международная онлайн-школа K-12,"python, sql",От 1 года до 3 лет,Not Specified,Data Analyst,hh,no
a689a18d,Data Analyst,"python, sql, ci/cd, git, ml",От 1 года до 3 лет,Not Specified,Data Analyst,hh,no
963e71d3,Data Scientist,"python, ml, data science, pandas, numpy, scikit-learn, pytorch, tensorflow",От 1 года до 3 лет,Not Specified,Data Scientist,hh,no
52f1dfdc,DevOps Engineer,"python, php, mysql, docker, ci/cd, linux, bash, ansible",Более 6 лет,Not Specified,DevOps Engineer,hh,no
b3bb2a08,Middle Data Scientist,"python, sql, machine learning, ml",От 3 до 6 лет,Высшее образование,Data Scientist,hh,no
2b7ad7f6,"Senior Data Scientist, Отдел развития и внедрения AI","python, sql, postgresql, git, machine learning, ml, data science, pandas, numpy, scikit-learn",От 1 года до 3 лет,Not Specified,Data Scientist,hh,no
b7a25895,Middle Data Scientist (Отдел развития и внедрения AI),"python, sql, postgresql, git, ml, data science, pandas, numpy, scikit-learn",От 1 года до 3 лет,Not Specified,Data Scientist,hh,no
c51b05c4,Lead Data Scientist,"python, sql, ml, data science, pandas, numpy, scikit-learn",От 1 года до 3 лет,Высшее образование,Data Scientist,hh,no
7c51f16b,Senior Data Scientist,"python, sql, ci/cd",От 1 года до 3 лет,Высшее образование,Data Scientist,hh,no
53a3890a,Data Scientist,"python, java, golang, sql, postgresql, linux, ml, data science, pandas, numpy, scikit-learn, pytorch",От 1 года до 3 лет,Not Specified,Data Scientist,hh,no
0a300e46,Data Scientist,"python, sql, docker, machine learning, data science, pandas, numpy, scikit-learn, pytorch, tensorflow",От 1 года до 3 лет,Not Specified,Data Scientist,hh,no
07fc75ed,Data Scientist,"python, fastapi, sql, docker, git, ml, data science, pandas, numpy, scikit-learn, pytorch, tensorflow",От 1 года до 3 лет,Высшее образование,Data Scientist,hh,no
d1684c4b,1. QA Automation Engineer (Banking / Mobile / API),"python, java, sql, ci/cd, git",Более 6 лет,Not Specified,QA Engineer,hh,no
89249734,Full Stack Test Engineer Trainee,sql,От 1 года до 3 лет,Not Specified,Full Stack Developer,hh,no
66db4d05,QA Engineer,"sql, postgresql",Более 6 лет,Not Specified,QA Engineer,hh,no
6a105d71,QA engineer (Middle/Team Lead),"python, javascript, sql, docker, ci/cd, git",Без опыта,Not Specified,QA Engineer,hh,no
f885e750,QA Engineer (SaaS / EdTech),ci/cd,Без опыта,Not Specified,QA Engineer,hh,no
3168d9c6,Automation QA Senior Engineer,"java, ci/cd",Более 6 лет,Not Specified,QA Engineer,hh,no
14d0524b,QA Engineer (gamedev),"git, linux",Без опыта,Not Specified,QA Engineer,hh,no
c392b015,AQA Python engineer,"python, postgresql, mongodb, kafka, ci/cd, git",От 1 года до 3 лет,Not Specified,QA Engineer,hh,no
a4d87752,QA инженер (Middle),"sql, postgresql, git",От 1 года до 3 лет,Not Specified,QA Engineer,hh,no
817f71a6,Middle QA Engineer,"python, java, javascript, mongodb, ci/cd, cypress",Без опыта,Not Specified,QA Engineer,hh,no
aee2bc17,Senior Java-разработчик,java,От 3 до 6 лет,Not Specified,Backend Developer,hh,no
d71f8d28,Главный риск-менеджер (QA / тестирование решений),"python, sql, postgresql, docker, ci/cd",От 3 до 6 лет,Not Specified,QA Engineer,hh,no
