job_id,job_title,skills,experience_level,education_level,label
3e0137a4,Middle Data Engineer (Lakehouse / Big Data),"python, sql, postgresql",От 3 до 6 лет,Высшее образование,Data Engineer
d6acb4e1,Data analyst (Senior),sql,От 3 до 6 лет,Высшее образование,Data Analyst
c233d76f,Senior Data Software Engineer (Big Data Engineer),"python, java, sql, kafka, ml",Более 6 лет,Студент,Data Engineer
b2d95516,ML-инженер,"python, sql, ml, data science, pandas, numpy",От 1 года до 3 лет,Высшее образование,Data Scientist
60589d55,ML-инженер/Data Scientist,"python, sql, machine learning, ml, pandas, numpy, scikit-learn",От 1 года до 3 лет,Высшее образование,Data Scientist
7cc7dac3,Data Analyst (Junior) в Департамент кредитных рисков,"python, sql, pandas",От 3 до 6 лет,Студент,Data Analyst
cf8d07bf,Data Engineer (Analytics),"python, sql, postgresql, mysql, pandas, numpy",Более 6 лет,Высшее образование,Data Engineer
60198424,Data Analyst (Аналитик данных),"python, sql, ml",От 1 года до 3 лет,Среднее образование,Data Analyst
3e97dd57,Аналитик данных,"python, sql, pandas, numpy",Более 6 лет,Среднее образование,Data Analyst
e8644477,Backend-разработчик,"golang, sql, postgresql, mysql, kafka, rabbitmq, docker, kubernetes, ci/cd",От 1 года до 3 лет,Среднее образование,Backend Developer
a702189c,Middle Machine Learning Engineer – Financial Applications,"python, machine learning, data science, scikit-learn, pytorch",От 3 до 6 лет,Высшее образование,Data Scientist
beaf3a7d,Аналитик данных / Marketing Data Analyst — международная онлайн-школа K-12,"python, sql",От 1 года до 3 лет,Студент,Data Analyst
730dca9f,Data Analyst,"python, sql, ci/cd, git, ml",Без опыта,Высшее образование,Data Analyst
c34037d2,Data Scientist,"python, ml, data science, pandas, numpy, scikit-learn, pytorch, tensorflow",Без опыта,Среднее образование,Data Scientist
dff76532,DevOps Engineer,"python, php, mysql, docker, ci/cd, linux, bash, ansible",Более 6 лет,Среднее образование,DevOps Engineer
f388b49f,Middle Data Scientist,"python, sql, machine learning, ml",От 1 года до 3 лет,Высшее образование,Data Scientist
9c2c3ff3,"Senior Data Scientist, Отдел развития и внедрения AI","python, sql, postgresql, git, machine learning, ml, data science, pandas, numpy, scikit-learn",Более 6 лет,Высшее образование,Data Scientist
3eb83e37,Middle Data Scientist (Отдел развития и внедрения AI),"python, sql, postgresql, git, ml, data science, pandas, numpy, scikit-learn",От 1 года до 3 лет,Студент,Data Scientist
d24a245f,Lead Data Scientist,"python, sql, ml, data science, pandas, numpy, scikit-learn",Более 6 лет,Высшее образование,Data Scientist
2dc5e83e,Senior Data Scientist,"python, sql, ci/cd",От 1 года до 3 лет,Высшее образование,Data Scientist
f8f3ad38,Data Scientist,"python, java, golang, sql, postgresql, linux, ml, data science, pandas, numpy, scikit-learn, pytorch",Более 6 лет,Среднее образование,Data Scientist
3dbe38a1,Data Scientist,"python, sql, docker, machine learning, data science, pandas, numpy, scikit-learn, pytorch, tensorflow",От 3 до 6 лет,Студент,Data Scientist
40670840,Data Scientist,"python, fastapi, sql, docker, git, ml, data science, pandas, numpy, scikit-learn, pytorch, tensorflow",От 1 года до 3 лет,Высшее образование,Data Scientist
f055f73b,1. QA Automation Engineer (Banking / Mobile / API),"python, java, sql, ci/cd, git",Более 6 лет,Высшее образование,QA Engineer
5e238a4c,Full Stack Test Engineer Trainee,sql,От 1 года до 3 лет,Высшее образование,Full Stack Developer
90528787,QA Engineer,"sql, postgresql",От 1 года до 3 лет,Высшее образование,QA Engineer
fb43a24e,QA engineer (Middle/Team Lead),"python, javascript, sql, docker, ci/cd, git",Без опыта,Высшее образование,QA Engineer
3e3dc997,QA Engineer (SaaS / EdTech),ci/cd,Без опыта,Студент,QA Engineer
4d0bbdd1,Automation QA Senior Engineer,"java, ci/cd",От 1 года до 3 лет,Среднее образование,QA Engineer
dae32a54,QA Engineer (gamedev),"git, linux",Без опыта,Среднее образование,QA Engineer
abe748ce,AQA Python engineer,"python, postgresql, mongodb, kafka, ci/cd, git",Без опыта,Высшее образование,QA Engineer
420d9877,QA инженер (Middle),"sql, postgresql, git",От 1 года до 3 лет,Студент,QA Engineer
6621d75c,Middle QA Engineer,"python, java, javascript, mongodb, ci/cd, cypress",От 1 года до 3 лет,Студент,QA Engineer
fbb1ecf6,Senior Java-разработчик,java,Без опыта,Высшее образование,Backend Developer
0b040d24,Главный риск-менеджер (QA / тестирование решений),"python, sql, postgresql, docker, ci/cd",Без опыта,Высшее образование,QA Engineer
f5af0549,Тестировщик (манульное),"sql, postgresql, ci/cd, ui/ux, cypress",Без опыта,Высшее образование,QA Engineer
85f5b47e,QA Engineer (Middle+),"kubernetes, ci/cd, cypress",От 3 до 6 лет,Студент,QA Engineer
301a65b8,"Fullstack-разработчик (PostgreSQL, Java , Vue.js)","java, javascript, typescript, vue, spring, postgresql, css, sass",Более 6 лет,Высшее образование,Frontend Developer
6a8712f8,QA Engineer in Almaty,sql,От 1 года до 3 лет,Среднее образование,QA Engineer
9237990d,QA AI specialist,"python, sql, docker, git, ml",От 3 до 6 лет,Высшее образование,QA Engineer
12ab7aae,Automation QA Middle Engineer,"python, javascript, sql, ci/cd",От 3 до 6 лет,Высшее образование,QA Engineer
b1e50ec9,Тестировщик Colvir,"sql, postgresql",От 1 года до 3 лет,Высшее образование,QA Engineer
7a784889,QA Automation Engineer (JavaScript),"javascript, cypress, jest",От 1 года до 3 лет,Высшее образование,QA Engineer
77b228f6,Manual QA Engineer,"sql, git",От 1 года до 3 лет,Высшее образование,QA Engineer
5e470ff0,Инженер-тестировщик (QA engineer),linux,От 3 до 6 лет,Высшее образование,QA Engineer
f62569ff,Тестировщик (middle/middle+) в интернет-магазин,"python, docker, ci/cd, git, figma",От 1 года до 3 лет,Студент,QA Engineer
3585eb57,Full Stack Test Engineer Trainee,sql,Без опыта,Высшее образование,Full Stack Developer
4d216f66,QA тестировщик,"sql, cypress",От 3 до 6 лет,Высшее образование,QA Engineer
f45be19e,Backend Tech Lead,"python, php, mysql, docker, ci/cd, git, bash",Без опыта,Среднее образование,Backend Developer
5fb6ca21,Программист-тестировщик (QA Engineer),"python, java, javascript",Без опыта,Студент,QA Engineer
7c26411e,QA Automation Engineer (Kotlin\Java),"java, ci/cd, git",Без опыта,Студент,QA Engineer
bac31637,QA-инженер,"sql, ci/cd, cypress",От 1 года до 3 лет,Высшее образование,QA Engineer
5973bb00,Manual QA инженер (Офис),"java, javascript, sql, html, css",Без опыта,Среднее образование,QA Engineer
709f7040,QA engineer,"python, kafka, docker, linux",От 3 до 6 лет,Высшее образование,QA Engineer
ec7e5605,QA инженер,"sql, git",От 1 года до 3 лет,Высшее образование,QA Engineer
af86071d,QA Automation Engineer в офис Алматы,"javascript, ci/cd, git, linux",От 3 до 6 лет,Высшее образование,QA Engineer
b5870ee5,QA тестировщик (Autotesting),sql,От 3 до 6 лет,Высшее образование,QA Engineer
88ce308a,.NET Developer (C#),".net, sql, postgresql, redis, kafka, rabbitmq, kubernetes, ci/cd",От 1 года до 3 лет,Высшее образование,Backend Developer
67d6e676,Тестировщик Управления тестирования и контроля качества Департамент корпоративной архитектуры,"python, java, javascript, sql, html, css",От 1 года до 3 лет,Среднее образование,QA Engineer
40525829,Senior QA Test Automation Engineer,"java, sql, ci/cd",От 3 до 6 лет,Студент,QA Engineer
af34056c,Middle QA Engineer,"sql, docker, ci/cd, git, linux, figma",От 1 года до 3 лет,Студент,QA Engineer
d9146d0f,Manual QA Engineer (Junior),git,От 1 года до 3 лет,Студент,QA Engineer
62dc2abd,QA-инженер,"sql, postgresql",Более 6 лет,Высшее образование,QA Engineer
2cb6ca12,Senior Performance QA Engineer,"java, ci/cd",От 3 до 6 лет,Студент,QA Engineer
af218bc6,Android Developer,"ci/cd, git",От 1 года до 3 лет,Среднее образование,Mobile Developer
5dc53de5,QA Engineer,"python, java, javascript",От 1 года до 3 лет,Среднее образование,QA Engineer
68b82060,Middle QA Engineer,"python, sql, postgresql, ci/cd",От 1 года до 3 лет,Высшее образование,QA Engineer
0f4dd32e,Manual QA инженер (Middle),"sql, kafka, ci/cd",Без опыта,Студент,QA Engineer
b88b3c46,QA Engineer,angular,От 1 года до 3 лет,Среднее образование,QA Engineer
70d065c5,QA Automation Engineer (Mobile),"javascript, sql, git",От 1 года до 3 лет,Среднее образование,QA Engineer
4325eb7f,QA Engineer Junior (Mobile),mysql,Без опыта,Высшее образование,QA Engineer
25b0dec1,Тестировщик Colvir,sql,Более 6 лет,Среднее образование,QA Engineer
bbd59e3c,QA engineer,"ci/cd, ml",От 1 года до 3 лет,Среднее образование,QA Engineer
f09c7bf4,"QA Engineer (onsite, Almaty)","sql, ci/cd",Более 6 лет,Высшее образование,QA Engineer
a71dfebd,QA-инженер / Тестировщик мобильных приложений,figma,Более 6 лет,Высшее образование,QA Engineer
74a78384,QA Engineer,"java, ci/cd, git",От 1 года до 3 лет,Студент,QA Engineer
3dc386fc,QA инженер Middle/Middle+,"python, sql, postgresql, ci/cd",От 3 до 6 лет,Среднее образование,QA Engineer
921919e1,Full-stack разработчик (Middle),"python, fastapi, django, git",От 3 до 6 лет,Высшее образование,Full Stack Developer
0c4f381d,QA manual/Ручной тестировщик Алматы (офис),"sql, mysql, linux",От 1 года до 3 лет,Высшее образование,QA Engineer
848d36e5,Support & QA Engineer,sql,От 1 года до 3 лет,Студент,QA Engineer
0d9f7d56,Видеограф / Motion-дизайнер (Full-stack контент-мейкер),figma,Более 6 лет,Высшее образование,Full Stack Developer
0c6bc8a5,UI/UX Designer (Fintech / Crypto / Web + Mobile),"figma, ui/ux",Более 6 лет,Высшее образование,Mobile Developer
d47b7d83,Frontend-разработчик,"javascript, typescript, angular, git, html, css, figma",От 1 года до 3 лет,Высшее образование,Frontend Developer
5720304d,General/Full-Stack QA - specialist,"javascript, docker, ci/cd, figma",От 1 года до 3 лет,Среднее образование,Full Stack Developer
aef52dd4,Senior Full Stack Developer / Product Engineer,"python, javascript, typescript, php, react, vue, postgresql, mysql",Без опыта,Студент,Full Stack Developer
