job_id,job_title,skills,experience_level,education_level,label,source,is_custom
cb23dd29,Cybersecurity Analyst,"информационная безопасность, bash, криптография, kali linux",Опыт более 6 лет,Не имеет значения,Cybersecurity Analyst,hh_parser_custom_jobs.csv,yes
db338c28,Cybersecurity Analyst,"siem, linux, пентестер, bash",Опыт работы от 3 до 6 лет,Студент,Cybersecurity Analyst,hh_parser_custom_jobs.csv,yes
d72c1a8c,Cybersecurity Analyst,"криптография, siem, owasp, защита данных, уязвимости, wireshark, security, appsec",Опыт более 6 лет,Высшее техническое образование,Cybersecurity Analyst,hh_parser_custom_jobs.csv,yes
c16f3f1c,Cybersecurity Analyst,"защита данных, информационная безопасность, owasp, bash, security, безопасность, siem, kali linux",Опыт работы от 1 до 3 лет,Не имеет значения,Cybersecurity Analyst,hh_parser_custom_jobs.csv,yes
9e506793,Cybersecurity Analyst,"soc, защита данных, сети, security, bash, уязвимости, kali linux, информационная безопасность",Без опыта,Высшее техническое образование,Cybersecurity Analyst,hh_parser_custom_jobs.csv,yes
be1fbad5,Cybersecurity Analyst,"информационная безопасность, owasp, appsec, linux, soc, защита данных, wireshark",Опыт более 6 лет,Среднее специальное образование,Cybersecurity Analyst,hh_parser_custom_jobs.csv,yes
0c17d810,Cybersecurity Analyst,"информационная безопасность, siem, сети, криптография, wireshark, kali linux, защита данных",Опыт работы от 1 до 3 лет,Высшее техническое образование,Cybersecurity Analyst,hh_parser_custom_jobs.csv,yes
5c023622,Cybersecurity Analyst,"soc, appsec, security, уязвимости, siem, owasp",Опыт работы от 3 до 6 лет,Студент,Cybersecurity Analyst,hh_parser_custom_jobs.csv,yes
31117e4f,Cybersecurity Analyst,"bash, appsec, уязвимости, security",Опыт более 6 лет,Высшее техническое образование,Cybersecurity Analyst,hh_parser_custom_jobs.csv,yes
8024fdf3,Cybersecurity Analyst,"криптография, пентестер, soc, siem, уязвимости, wireshark, bash, безопасность",Опыт работы от 3 до 6 лет,Высшее образование,Cybersecurity Analyst,hh_parser_custom_jobs.csv,yes
49c405fb,Cybersecurity Analyst,"безопасность, security, kali linux, bash, siem, криптография, уязвимости",Опыт работы от 1 до 3 лет,Высшее образование,Cybersecurity Analyst,hh_parser_custom_jobs.csv,yes
794e302d,Cybersecurity Analyst,"пентестер, kali linux, wireshark, информационная безопасность",Опыт работы от 3 до 6 лет,Не имеет значения,Cybersecurity Analyst,hh_parser_custom_jobs.csv,yes
7700a8e0,Cybersecurity Analyst,"информационная безопасность, сети, appsec, siem, owasp, soc, wireshark",Опыт работы от 1 до 3 лет,Высшее образование,Cybersecurity Analyst,hh_parser_custom_jobs.csv,yes
992fa5e0,Cybersecurity Analyst,"siem, kali linux, пентестер, защита данных, информационная безопасность, сети",Опыт работы от 1 до 3 лет,Студент,Cybersecurity Analyst,hh_parser_custom_jobs.csv,yes
b2609c95,Cybersecurity Analyst,"appsec, пентестер, siem, безопасность, криптография, сети, owasp",Опыт более 6 лет,Не имеет значения,Cybersecurity Analyst,hh_parser_custom_jobs.csv,yes
7635b9fd,Cybersecurity Analyst,"linux, пентестер, siem, bash, криптография",Опыт более 6 лет,Высшее техническое образование,Cybersecurity Analyst,hh_parser_custom_jobs.csv,yes
546afebd,Cybersecurity Analyst,"сети, информационная безопасность, пентестер, уязвимости, soc, appsec, kali linux, security",Опыт работы от 1 до 3 лет,Высшее техническое образование,Cybersecurity Analyst,hh_parser_custom_jobs.csv,yes
97aa258a,Cybersecurity Analyst,"пентестер, криптография, security, soc, siem, уязвимости",Опыт более 6 лет,Среднее специальное образование,Cybersecurity Analyst,hh_parser_custom_jobs.csv,yes
bc0fc7bc,Cybersecurity Analyst,"уязвимости, owasp, linux, сети, security",Опыт работы от 1 до 3 лет,Высшее техническое образование,Cybersecurity Analyst,hh_parser_custom_jobs.csv,yes
24b18d24,Cybersecurity Analyst,"owasp, soc, kali linux, wireshark, криптография, безопасность, пентестер",Без опыта,Не имеет значения,Cybersecurity Analyst,hh_parser_custom_jobs.csv,yes
dae60407,Cybersecurity Analyst,"linux, защита данных, уязвимости, wireshark, криптография, пентестер, soc, безопасность",Опыт работы от 1 до 3 лет,Не имеет значения,Cybersecurity Analyst,hh_parser_custom_jobs.csv,yes
41fe00d0,Cybersecurity Analyst,"owasp, linux, безопасность, bash, защита данных, soc",Опыт работы от 1 до 3 лет,Не имеет значения,Cybersecurity Analyst,hh_parser_custom_jobs.csv,yes
8e78613d,Cybersecurity Analyst,"криптография, appsec, wireshark, пентестер, сети, уязвимости, security",Опыт работы от 1 до 3 лет,Среднее специальное образование,Cybersecurity Analyst,hh_parser_custom_jobs.csv,yes
182e00f0,Cybersecurity Analyst,"безопасность, wireshark, криптография, siem, сети",Без опыта,Среднее специальное образование,Cybersecurity Analyst,hh_parser_custom_jobs.csv,yes
