title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Mobile Developer (Flutter) + UI/UX (Senior),,Алматы,АО Алма Телекоммуникейшнс Казахстан (almaPLUS),,,"Разрабатывать мобильные приложения и развивать текущие продукты Отвечать за производительность: устранять лаги, фризы, падения Работать с нативными модулями Android/iOS Участвовать в архитектуре приложений Проводить код-ревью и улучшать качество кода в команде Настраивать и поддерживать CI/CD Писать unit и widget тесты Доводить интерфейсы до продуктового уровня (вместе с дизайном) Анализировать crash-логи и устранять проблемы Использовать AI-инструменты в разработке (с критической оценкой результата) Что важно: Коммерческий опыт в мобильной разработке от 3–5 лет Уверенный Senior в Flutter / Dart Реальные проекты в продакшене (не pet-проекты) Опыт оптимизации производительности (lag, ANR, memory leaks) Работа с нативными интеграциями (Kotlin / Swift) Понимание архитектуры мобильных приложений Опыт работы с CI/CD Опыт написания тестов Навык работы с UI/UX на уровне продукта, а не «по макету»",,3–6 лет,,https://almaty.hh.kz/vacancy/132583981
"QA Engineer (Strong Junior / Middle, Управление разработки)",,,АО Bank RBK,,,"Проведение функционального, регрессионного и smoke-тестирования (основной фокус — мобильное приложение iOS / Android) Тестирование пользовательских сценариев в мобильном и веб-приложении (авторизация, платежи, работа с клиентскими данными) Тестирование API и интеграций с backend-сервисами (проверка корректности запросов/ответов, обработка ошибок) Участие в анализе требований и постановке задач (совместно с аналитиками и разработкой, выявление рисков и нестыковок) Разработка и поддержка тестовой документации (тест-кейсы, чек-листы, тестовые сценарии) Заведение, приоритизация и сопровождение дефектов в Jira (контроль исправлений и ретест) Участие в релизном процессе: подготовка к релизу, проведение регресса, smoke-проверки на продакшене Проверка интеграционных и сквозных бизнес-сценариев (end-to-end: от фронта до backend и внешних систем) Анализ логов и диагностика проблем (взаимодействие с разработкой при разборе инцидентов) Необходимые знания и навыки: Понимание процессов тестирования (SDLC, STLC, виды тестирования) Опыт тестирования мобильных приложений (iOS / Android) (понимание особенностей платформ, работа с реальными устройствами) Понимание клиент-серверной архитектуры Уверенные навыки тестирования API (Postman, Swagger, анализ запросов/ответов, работа с JSON) Навыки написания тестовой документации (тест-кейсы, чек-листы, сценарии) Опыт работы с баг-трекинг системами (Jira или аналог) Базовые навыки работы с логами и диагностики ошибок (умение локализовать проблему и описать её разработчику) Понимание принципов работы мобильных приложений: авторизация (в т.ч. биометрия, OTP) работа с сетью (нестабильный интернет, таймауты) push-уведомления обновления приложений",,более 6 лет,,https://almaty.hh.kz/vacancy/132756405
Middle Android разработчик,,Алматы,АО KMF Банк,,"Что делать? Поддержка и масштабирование текущих проектов; Код-ревью; Учитывать безопасность и уязвимости в ходе разработки приложения (crypt, JNI, flag secure и тд). Если у вас: Опыт коммерческой разработки на Android (Kotlin/Java) от 2 лет; Отличное понимание Gradle в Android-проектах(buildTypes, productFlavors, variants, signing configs, tasks, closures / DSL); Умение проектировать многослойную архитектуру (MVI, Clean Architecture); Знание принципов SOLID и применения лучших практик в коде; DI: Koin Kotlin: корутины, Flow, extension’ы, функциональные конструкции (map / filter / predicates и т.д.) Знания REST API, JSON и интеграции с бэкендом; Навыки работы с сетью (Retrofit, OkHttp3, WebSocket); Навыки оптимизации производительности мобильных приложений; Jetpack Compose (плюсом будет знание XML) Знание WebView (cookies, JS инжекты in/out и тд); Опыт работы с ProGuard / R8 (обфускация, настройка правил); Опыт настройки CI/CD; Тестирование (Unit/UI); Аналитика (MixPanel, Adjust); Опыт работы с сервисами: Google, Firebase, Huawei. Что мы предлагаем: • Официальное трудоустройство в соответствии с ТК РК; • Гибкий график работы (08:30–17:30 / 09:00–18:00 / 09:30–18:30); • Ежегодный оплачиваемый отпуск — 28 календарных дней; После прохождения испытательного срока: • Кафетерий льгот (медицинское страхование, обучение, спорт, развитие детей, авиа- и ж/д билеты); • Два дополнительных дня Day Off в год; • Гибридный формат работы (2 дня - в офисе, 3 дня - удаленка); Дополнительно: • Лечебное пособие в размере одного оклада при выходе в отпуск (после 1 года работы, при отпуске от 14 дней).",,,1–3 года,,https://almaty.hh.kz/vacancy/132026574
Mobile Developer (React Native),от 600 000 ₸ за месяц,Алматы,ТОО Транслайн Интернэшнл,,"Опыт React Native от 2+ лет Уверенное знание TypeScript Понимание архитектуры мобильных приложений Опыт работы с: REST API WebSocket состоянием (Redux / Zustand) Понимание жизненного цикла приложения (AppState, background tasks) Опыт публикации приложений (App Store / Google Play) Будет плюсом: Опыт с Expo Работа с нативными модулями (Swift / Kotlin) Опыт оптимизации производительности Знание gRPC Опыт работы с картами / GPS (очень релевантно для логистики) Мы предлагаем: Участие в продукте с реальным бизнесом (логистика + финансы + ЭДО) Влияние на архитектуру и ключевые решения Быстрые релизы без бюрократии Команду без “перекладывания ответственности” Официальное оформление График работы: 5/2 с 09.00-18.00 в офисе. ЗП от 600 000тг.","Разработка мобильного приложения (iOS / Android) на React Native Интеграция с backend (REST / gRPC через gateway) Реализация бизнес-фич: работа с документами (ЭДО) статусы заказов / перевозок уведомления и события Работа с push-уведомлениями и фоновыми задачами Оптимизация производительности (FPS, memory, network) Проработка UX совместно с дизайнером Участие в проектировании API вместе с backend-командой",,3–6 лет,,https://almaty.hh.kz/vacancy/132201643
Middle Android разработчик,,Алматы,АО Народный банк Казахстана,,"2–4 года опыта Android-разработки, уверенный Kotlin Jetpack: Compose, ViewModel, Room, Navigation Component, Hilt Архитектура MVVM + Clean Architecture, знание SOLID на практике REST API интеграция: обработка ошибок и перехватчики Безопасность: Keystore, SSL pinning, ProGuard/R8, BiometricPrompt Unit-тесты (JUnit, MockK), участие в code review, Git flow Понимание CI/CD пайплайнов","1. Разработка и поддержка модулей приложения 2. Самостоятельная декомпозиция задач и оценка трудоёмкости 3. Code review и менторинг junior-разработчиков 4. Взаимодействие с backend и product по API-контрактам (OpenAPI/Swagger) 5. Участие в архитектурных обсуждениях, написание технической документации 6. Мониторинг метрик приложения: crashfree rate, ANR, latency",,1–3 года,,https://almaty.hh.kz/vacancy/132304968
Разработчик программного обеспечения,,Актобе,ТОО АПРО,,"SQL PL/SQL Опыт, портфолио Рекомендуемые требования: Oracle Forms JasperReports Oracle Application Express JavaScript Java, Android MySQL, SQLite PHP SOAP, REST XML, JSON веб-дизайн, графический дизайн","Разработка, развитие и поддержка программного обеспечения Обязательные",,1–3 года,,https://almaty.hh.kz/vacancy/132804480
Lead C++ Software Engineer (Gameplay),,,ТОО Playrix,,"Playrix — одна из самых успешных компаний по разработке мобильных игр в мире. По доходам среди всех мобильных приложений мы входим в топ-3 в мире, а в Европе мы первые. Наши игры установили 2,3 миллиарда раз (треть населения Земли), каждый день в них играет более 30 миллионов людей по всему миру! У нас большие планы на развитие и рост наших проектов, именно поэтому мы ищем сильнейших экспертов в наши команды разработки. При этом опыт работы на С++ и/или в геймдеве совсем необязателен: у нас отличная система адаптации для комфортного перехода новичков с Unity и из других индустрий. Команды разработки для нас - ядро компании, благодаря которому наши игры растут и развиваются уже 21 год. Lead Software Engineer – драйвер технического развития продукта, который ведет и развивает команду с точки зрения архитектуры, качества, культуры разработки и инженерных практик. В каждом проекте у нас есть основные направления: Фичевое: разработка событий и мини-игр с нуля (от различных соревнований до мини-игр типа Merge); Техническое: оптимизация, поддержка технической стабильности, SDK (сокращение скорости загрузки, потребление памяти и др.); Match-3 и мета: работа с графикой и основной механикой игры (добавление нового функционала, рефакторинг и оптимизация). Задачи, которые предстоит решать: People management: ответственность за развитие, найм/увольнение, оценку команды; Развитие процессов внутри команд (как на уровне команды, так и на уровне всей разработки на проекте); Продюсирование: решение сложных технических проблем на проектах, разработка архитектуры решения и обеспечение быстрой реализации; Контроль стабильности и качества программной части игры; Code review и design review; Программирование и рефакторинг игровой логики. Наш стек: Языки: С++, для единичных задач Lua и Python; Графика: OpenGL ES и Metal; Собственный движок, похожий на Unity или Unreal, который мы постоянно развиваем; Продвинутый CI/CD, автоматическое тестирование, процессы code review и многое другое; AI-ассистенты: используем Cursor для автоматизации и ускорения разработки (от рутинных задач до планирования и декомпозиции). Мы ожидаем: Опыт разработки коммерческих проектов на С++ и/или Unity не менее 3 лет; Опыт разработки проектов, выпущенных в production; Опыт управления командой программистов (3+ человек) не менее года. Будет плюсом: Уверенное владение современными стандартами С++ 14/17, а также STL; Опыт работы с популярными игровыми движками (Unity, Unreal, Godot, Cocos2D, Defold и т.д.); Опыт работы с AI-помощниками для разработки (Cursor, Copilot и др.); Опыт разработки мобильных казуальных игр. У нас классно, потому что у нас есть: Открытая коммуникация и прозрачность в принятии решений, обмен опытом внутри команд. Фокус на качестве и надежности кода. Упор на развитие продуктового видения у каждого специалиста в компании. Наши разработчики представляют, как та или иная фича будет работать у пользователя, и сами играют в игры, которые разрабатывают. Возможность менять процессы и подходы на более эффективные без долгих согласований и бюрократии. Понятные возможности развития в технического директора, программинг менеджера или проджект менеджера. Мы активно используем Cursor и другие AI-инструменты в процессе разработки — у тебя будет возможность работать на переднем крае технологий, делиться опытом и формировать лучшие практики их применения. Мы предлагаем: Гибкость в работе: Для большинства позиций у нас гибкий график и удалённый формат работы. Мы ориентируемся на результат, а не на место или способ выполнения задач. Забота о здоровье и well-being: Предоставляем ДМС для сотрудников и их детей, компенсируем онлайн-сессии с психологом. Сохраняем 100% зарплату во время отпуска или больничного без лишних справок. А для особых случаев предоставляем дополнительные выходные. Поддерживаем здоровый образ жизни и компенсируем покупку спортивных абонементов и подписку на фитнес-приложения. Развитие и обучение: Оплачиваем участие в профильных конференциях и курсах, проводим внутренние конференции. Компенсируем изучение иностранного языка. Ивенты и мерч: Регулярно проводим развлекательные и рабочие мероприятия в офлайн-режиме: встречи команд, крупные корпоративные вечеринки и более лайтовые пати в офисах. Также регулярно проводим развлекательные конкурсы, квизы, хакатоны, спортивные челленджи в режиме онлайн. Собственный магазин мерча с внутренней валютой, где можно купить уникальные подарки. Валюту дарим на значимые даты, также ее можно заработать, участвуя в мероприятиях и брендовых активностях. Отправляя отклик на нашу вакансию, вы соглашаетесь, что ваши персональные данные, собранные во время собеседований в Playrix, будут обрабатываться компанией.",,,более 6 лет,,https://almaty.hh.kz/vacancy/92964515
Project Manager (PM),,Алматы,ТОО IT Space Apps,,"— Опыт работы Project Manager в IT обязателен — Технический бэкграунд и понимание логики разработки — Опыт работы в продуктовых компаниях будет преимуществом — Понимание Agile, Scrum, Kanban, Waterfall и других подходов к управлению проектами — Сильные коммуникативные навыки и умение работать с разными командами — Умение принимать решения, работать в условиях многозадачности и ограниченных ресурсов — Высокая организованность, ответственность и внимание к деталям — Самостоятельность, инициативность и желание развиваться профессионально Ищем человека, который умеет не просто контролировать задачи, а реально управлять результатом.","Полное ведение проектов: запуск, планирование, контроль исполнения и завершение в рамках сроков и бюджета Определение целей проекта, объема работ, составление плана и распределение ресурсов Координация работы команды: постановка задач, контроль сроков, решение рабочих вопросов и снятие блокеров Контроль статуса проекта, соблюдения сроков и достижения ключевых этапов Регулярная коммуникация с заказчиками, командой и другими участниками проекта Управление рисками, изменениями и приоритетами в ходе проекта Подготовка технических заданий, бизнес-требований и спецификаций для команды разработки Анализ и описание бизнес-процессов, моделирование в BPMN и UML.",,1–3 года,,https://almaty.hh.kz/vacancy/132542858
QA Engineer,,Алматы,АО Home Credit Bank (ДБ АО «ForteBank»),,"Задачи, которые ты будешь выполнять: Проведение ручного тестирования мобильного приложения (iOS и Android) Тестирование внешних и внутренних интеграций Составление, поддержка и актуализация тест-кейсов в системе управления тестированием (TMS Allure TestOps) Заведение баг-репортов, управление дефектами, сопровождение до закрытия Составление отчетов по результатам тестирования, предоставление фидбэка команде Коммуникация с командой разработки, аналитиками, продакт-менеджерами Локализация проблем и выявление причин их возникновения Взаимодействие с логами, базами данных, системами аналитики, логирования Нам по пути, если у тебя есть: Опыт в тестировании - от 2-х лет Практический опыт работы с инструментами: Postman, снифферы (используем Proxyman), Firebase, Android Studio, Xcode, системы сбора логов (Sentry, Splunk, Graylog, Grafana) Уметь работать с базами данных Опыт работы с системами баг-трекинга и управления тест-кейсами (Jira, Allure TestOps) Понимание клиент-серверной архитектуры и мобильной специфики Умение читать логи, понимать структуру API-запросов Навыки оформления документации: тест-кейсы, чек-листы, отчёты Готовность к самостоятельному поиску информации и проактивный подход Знание Java и опыт написания автотестов с использованием Appium Понимание основ работы с Git, опыт работы с ветками и CI/CD процессами Мы предлагаем тебе: Конструктор льгот OLZHA: кэшбек на здоровье, спорт, путешествия и саморазвитие в рамках утвержденных лимитов Продукты компании для сотрудников на выгодных условиях Внутреннее и внешнее обучение, корпоративный доступ к образовательной платформе Udemy Merch Store: брендированная продукция с корпоративной символикой Отсутствие дресс-кода Ультрасовременный и уютный офис HCB HUB Массаж в офисе, йога-классы, корпоративные скидки в фитнес-клубы, клиники, магазины Яркая корпоративная жизнь: мероприятия, клубы по интересам",,,3–6 лет,,https://almaty.hh.kz/vacancy/130924843
Product Owner (Delivery Focus),,Алматы,ТОО ДиджиталБизФэктори,,"Привет! Мы - команда Digital Biz Factory, эксперты в области финтеха. Наша основная задача - создание высокопроизводительных IT-команд. Мы стремимся к оперативному развитию и расширению решений, чтобы адаптировать его под уникальные задачи и бизнес-архитектуру каждого заказчика. Мы работаем по модели Time&Material, что позволяет нам быстро и эффективно адаптироваться к потребностям наших клиентов.  О роли: Мы ищем Product Owner’а, который возьмёт на себя ответственность за эффективную доставку ценности (delivery) в уже сформированной и сработанной команде. Это роль на стыке delivery и product thinking: не только «делать быстрее», но и доставлять правильную ценность в нужный момент с предсказуемым результатом. Роль сфокусирована на: донесении реальной ценности исходя из потребностей клиентов, ускорении поставки, повышении предсказуемости, улучшении качества, системной работе с процессами и метриками. Перед командой стоит задача создать новый продукт с нуля — универсальный сценарий оплат и переводов для физических лиц с использованием QR (разные типы QR в едином клиентском опыте в мобильном приложении). Зона ответственности 1. Delivery и поток ценности Обеспечение стабильной и предсказуемой поставки продуктовых инкрементов Управление backlog’ом с фокусом на бизнес-ценность и time-to-market Баланс между скоростью, качеством и техническим долгом Обеспечение прозрачности планирования и выполнения (commitment vs fact) 2. Работа с командой Работа с уже сформированной кросс-функциональной командой (SA, iOS, Android, Backend, QA, Product designer) Поддержка и развитие автономности команды Снятие блокеров и организационных ограничений Ключевой фокус роли Delivery без хаоса Скорость без потери качества Предсказуемость без бюрократии Продуктовое мышление внутри delivery Мы предлагаем: Конкурентоспособную оплату труда. Мы ориентируемся на верх рынка и обсуждаем условия индивидуально. Гибкий формат работы. Официальное трудоустройство и прозрачные условия сотрудничества. Интересные проекты. Вам предстоит работа с масштабной инфраструктурой и сложными инженерными задачами. Влияние на продукт и процессы. Мы открываем возможность предлагать решения и внедрять изменения. Профессиональный рост. Поддержка развития, возможность расти до лид/экспертных ролей Сильная команда. Вам предстоит работа с опытными инженерами, обмен знаниями и best practices. Адекватный менеджмент. Мы работаем по принципу доверия к команде. Комфортная рабочая среда. У нас открытая коммуникация и здоровая атмосфера.  Уважаемый кандидат, пожалуйста, в сопроводительном письме укажите также актуальные ожидания по уровню дохода (net) в тенге.",,,более 6 лет,,https://almaty.hh.kz/vacancy/132157368
