title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Chief Financial Officer,,,Genesis Group AG,,"🌍 We’re Hiring: Chief Financial Officer / CFO 📍 Location: Remote / International Travel Required 💡 About Us Yesim is an international product IT company operating in the fast-growing global eSIM and digital connectivity market. We are building a scalable, data-driven business with a clear focus on long-term value creation and international expansion. We are looking for a strong financial leader who will not only manage the company’s finances, but also become a strategic partner to the CEO and C-level team during a period of active international scaling. ✨ About the Role As Chief Financial Officer, you will be responsible for building and leading the full financial function of the company across international markets. You will define and execute financial strategy, ensure financial stability, support investment processes, and act as a key partner to the CEO and executive team. This role is for someone who can see the big picture, work deeply with numbers, and build a financial system that ensures sustainable company growth. 📝 Responsibilities Fundraising & Investor Relations • Prepare the company for investment rounds and support due diligence processes • Participate in structuring investment transactions • Build and develop relationships with investors, funds, and financial partners in international markets • Lead investment capital raising processes at Series A / Series B stages and beyond Financial Strategy & Leadership • Develop and implement the company’s financial strategy in line with long-term business goals • Lead all key areas of the finance function: financial planning, budgeting, forecasting, management accounting, controlling, treasury, and reporting Financial Management & Performance • Manage cash flow, liquidity, working capital, and overall financial sustainability • Build a transparent system of financial and operational KPIs and analytical reporting for the CEO and executive team • Control profitability, costs, risks, and efficiency of resource allocation • Develop internal controls, financial processes, and management standards Accounting, Tax & Compliance • Ensure compliance with local and international legislation, tax regulations, and financial reporting standards, including IFRS • Organize and oversee accounting, tax, and management reporting within an international structure 👥 Team & Leadership • Build and develop a strong finance team ✈️ Additional Requirements • Experience working in international tech companies is required • Willingness and ability to travel internationally (Europe and the USA) as part of the role 📩 Requirements • Proven experience as CFO / Finance Director in international companies • Deep expertise in core finance: financial planning and analysis (FP&A), budgeting, treasury, cash flow management, controlling, accounting, and tax • Practical experience working under IFRS standards • Proven track record of raising investment capital in international markets • Experience preparing companies for due diligence and supporting investment processes • Experience raising capital at Series A / Series B stages • Experience building relationships with venture funds, investors, and financial partners • Fluent English •Strong strategic thinking, a systematic approach, maturity, and a high level of ownership 🎁 What We Offer High-impact role — direct influence on company growth, financial strategy, and international scaling Direct collaboration with CEO and C-level team Opportunity to build financial architecture in a fast-growing international business Global product environment Dynamic growth stage — high responsibility and fast decision-making",,,более 6 лет,,https://almaty.hh.kz/vacancy/132097387
Графический / UX/UI-дизайнер,,,ТОО BTS Digital,,"BTSDigital - это крупная IT-компания на рынке Казахстана, которая разрабатывает современные решения для миллионов пользователей, как для B2B, так и для B2G. Среди наших продуктов: Aitu Cloud, Система мгновенных платежей (СМП), Digital ID, Aitu Wallet и Aitu Workspace. InDigiCo - проект, созданный для развития цифровых сервисов крупнейшего телеком-оператора страны. Здесь мы разрабатываем онлайн-каналы и мобильные приложения для миллионов клиентов, внедряем Big Data и аналитические решения, создаём новые B2C и B2B-сервисы. Наша цель - сделать продукты Казахтелекома удобными, современными и полностью цифровыми. В InDigiCo работают agile-команды, которые объединяют экспертов из разных областей и задают новый стандарт цифровой трансформации в Казахстане. Сейчас мы расширяем команду и ищем специалистов, которые хотят развивать цифровые сервисы вместе с нами.  Что ты будешь делать: Разработка key visual для рекламных кампаний с дальнейшей адаптацией под печатные и digital-каналы. Создание креативов и визуалов для социальных сетей. Создание графических материалов для маркетинговых и имиджевых коммуникаций: баннеров, POSM-материалов, наружной рекламы, презентационных и промо-материалов. Подготовка макетов для полиграфии, digital-размещений и производства в соответствии с техническими требованиями. Разработка прототипов и дизайн-макетов для веб-сайтов и лендингов. Создание адаптивных интерфейсов для разных устройств. Дизайн промо-страниц и графических материалов для digital-кампаний. Участие в формировании UI-китов и дизайн-систем. Взаимодействие с разработчиками и маркетологами, подготовка макетов к верстке. Отслеживание трендов в веб-дизайне, графическом дизайне и digital-среде. Тестирование и улучшение UX на основе аналитики и обратной связи.  Что мы от тебя ждем: Среднее/Высшее образование в области дизайна или технических специальностей. Опыт работы в сфере дизайна от 1 года. Владение Figma (или другими инструментами для прототипирования и UI/UX). Знание Adobe Photoshop и Illustrator для графической доработки. Понимание принципов юзабилити, адаптивной и кросс-браузерной верстки. ⁠Опыт работы с сетками, типографикой и цветом. ⁠Навыки подготовки макетов для фронтенд-разработки. ⁠Базовые знания HTML/CSS (будет плюсом). Креативное мышление и умение предлагать нестандартные идеи. Что мы предлагаем: Современные и уютные офисы в Астане и Алматы Гибридный и удаленный формат работы Ноутбук для удобной и продуктивной работы Медицинское страхование Возможность стать частью продукта, который используется миллионами людей по всей стране Здоровый work-life баланс",,,1–3 года,,https://almaty.hh.kz/vacancy/131638112
Middle Data Engineer (Lakehouse / Big Data),,Алматы,ТОО MAGNUM. Информационные технологии/Ақпараттық технологиялар,,"Мы в Magnum развиваем Lakehouse-подход и ищем Middle Data Engineer, который хочет работать на стыке DWH + Data Lake + Analytics и влиять на то, как устроены данные в компании. Мы не просто поддерживаем старое, мы строим новую платформу: внедряем S3-хранилища (MinIO), переходим на Spark и быстрые OLAP-движки (StarRocks/Trino). В нашей команде вам предстоит: Развитие архитектуры: Участие в миграции и построении Modern Data Stack (переход к Lakehouse). Работа с Big Data: Проектирование слоев данных в объектном хранилище (MinIO S3) и их обработка через Spark/Trino/Impala. Построение витрин: Создание быстрых витрин данных на StarRocks и ClickHouse для бизнеса. ETL/ELT: Написание и оптимизация пайплайнов (Airflow + Python/SQL). Взаимодействие: Работа с аналитиками и участие в проектировании моделей данных (ODS / DWH / MART). Наш технологический стек: Storage: MinIO (S3 compatible) — строим Data Lake здесь. Compute & Query Federation: Trino, Apache Impala, Apache Spark — для обработки и запросов поверх озера. DWH & OLAP: Greenplum (Core DWH), StarRocks, ClickHouse (быстрые витрины), PostgreSQL. Orchestration & Code: Apache Airflow, Python, SQL (Expert level). Важно, чтобы у вас были: Опыт работы Data Engineer от 2–3 лет. Уверенное владение SQL (оконные функции, оптимизация планов запросов). Понимание принципов работы S3-хранилищ и колоночных баз данных. Опыт или большое желание работать с экосистемой Hadoop/Spark и MPP-системами. Самостоятельность: умение разобраться в чужом коде и сложной бизнес-логике (Retail: транзакции, логистика, ассортимент). Почему Magnum — это круто: Современный стек: Мы не застряли в прошлом. Вы будете работать с StarRocks, Trino и Spark — технологиями, которые сейчас в топе рынка. Масштаб: Миллионы транзакций, реальный Highload и настоящие Big Data. Влияние: Мы строим Lakehouse, а не просто ""пилим отчеты"". Ваши решения будут влиять на архитектуру данных всей компании. Команда: Сильная data-команда и задачи, результат которых сразу виден бизнесу.",,,3–6 лет,,https://almaty.hh.kz/vacancy/132343280
Эксперт по маркетинговым коммуникациям,,Алматы,"Beeline, ТМ",,"Высшее образование в маркетинге, менеджменте, экономике или смежных направлениях Опыт работы от 3 лет в маркетинговых коммуникациях, product marketing, digital marketing или B2B marketing Практический опыт запуска рекламных кампаний и MarComm активностей под ключ - от брифа до анализа результатов Опыт упаковки сложных продуктов или сервисов, желательно в B2B, IT, telecom или digital solutions Навыки медиапланирования, подготовки презентаций и постановки задач агентствам и подрядчикам Сильные навыки кросс-функционального взаимодействия и самостоятельного ведения проектов Уверенное владение PowerPoint и Excel Готовность работать в Алматы Желательно: Опыт продвижения технологичных продуктов - IoT, cloud, cybersecurity, big data, SaaS или telco solutions Понимание performance-маркетинга, event marketing и B2B lead generation Опыт работы с CRM, BI-отчетностью, сквозной аналитикой и оценкой вклада маркетинга в выручку Навыки работы с digital-агентствами, BTL-подрядчиками и production-командами Английский язык на уровне intermediate и выше","Обеспечивать 360 MarComm поддержку продуктов beyond the core - IoT, Cloud, HyperCloud, Cybersecurity, Big Data, RPA и других B2B решений Упаковывать продукты для рынка - формировать позиционирование, ключевые сообщения, презентации, landing page briefs, креативные и рекламные материалы Планировать и запускать маркетинговые кампании под ключ - digital, offline, performance, PR support, events Вести взаимодействие с подрядчиками и агентствами - digital, BTL, production, event - от брифинга до контроля результата Готовить и координировать участие в отраслевых мероприятиях, бизнес-завтраках, клиентских и партнерских ивентах Работать кросс-функционально с продуктовыми командами, sales, BI, PR, B2C MarComm и другими внутренними стейкхолдерами Анализировать эффективность активностей, формировать выводы и предложения по усилению вклада маркетинга в лидогенерацию, pipeline и новую выручку",,3–6 лет,,https://almaty.hh.kz/vacancy/132120442
Графический / UX/UI-дизайнер,,,ТОО BTS Digital,,"BTSDigital - это крупная IT-компания на рынке Казахстана, которая разрабатывает современные решения для миллионов пользователей, как для B2B, так и для B2G. Среди наших продуктов: Aitu Cloud, Система мгновенных платежей (СМП), Digital ID, Aitu Wallet и Aitu Workspace. InDigiCo - проект, созданный для развития цифровых сервисов крупнейшего телеком-оператора страны. Здесь мы разрабатываем онлайн-каналы и мобильные приложения для миллионов клиентов, внедряем Big Data и аналитические решения, создаём новые B2C и B2B-сервисы. Наша цель - сделать продукты Казахтелекома удобными, современными и полностью цифровыми. В InDigiCo работают agile-команды, которые объединяют экспертов из разных областей и задают новый стандарт цифровой трансформации в Казахстане. Сейчас мы расширяем команду и ищем специалистов, которые хотят развивать цифровые сервисы вместе с нами.  Что ты будешь делать: Разработка key visual для рекламных кампаний с дальнейшей адаптацией под печатные и digital-каналы. Создание креативов и визуалов для социальных сетей. Создание графических материалов для маркетинговых и имиджевых коммуникаций: баннеров, POSM-материалов, наружной рекламы, презентационных и промо-материалов. Подготовка макетов для полиграфии, digital-размещений и производства в соответствии с техническими требованиями. Разработка прототипов и дизайн-макетов для веб-сайтов и лендингов. Создание адаптивных интерфейсов для разных устройств. Дизайн промо-страниц и графических материалов для digital-кампаний. Участие в формировании UI-китов и дизайн-систем. Взаимодействие с разработчиками и маркетологами, подготовка макетов к верстке. Отслеживание трендов в веб-дизайне, графическом дизайне и digital-среде. Тестирование и улучшение UX на основе аналитики и обратной связи.  Что мы от тебя ждем Среднее/Высшее образование в области дизайна или технических специальностей. Опыт работы в сфере дизайна от 1 года. Владение Figma (или другими инструментами для прототипирования и UI/UX). Знание Adobe Photoshop и Illustrator для графической доработки. Понимание принципов юзабилити, адаптивной и кросс-браузерной верстки. ⁠Опыт работы с сетками, типографикой и цветом. ⁠Навыки подготовки макетов для фронтенд-разработки. ⁠Базовые знания HTML/CSS (будет плюсом). Креативное мышление и умение предлагать нестандартные идеи. Что мы предлагаем: Современные и уютные офисы в Астане и Алматы Гибридный и удаленный формат работы Ноутбук для удобной и продуктивной работы Медицинское страхование Возможность стать частью продукта, который используется миллионами людей по всей стране Здоровый work-life баланс",,,1–3 года,,https://almaty.hh.kz/vacancy/131638111
Operations Manager – Fintech/Asset & Wealth Management,,Алматы,Частная компания Investbanq Tech Lab Limited,,"Investbanq is an AI-powered wealth operating system for family offices, asset managers, and banks. We are empowering traditional financial institutions to rapidly transform into AI-driven WealthTech players, enabling them to effectively capitalize on the growing wealth transfer to affluent millennials and other digital natives across emerging Asia and MENA. We are scaling quickly across Asia and MENA and are assembling a high‑calibre engineering team to power our next phase of growth. Role Overview: The Operations Manager will assist the Chief Operating Officer (COO) in overseeing the efficient operations of the group of companies across Singapore, Kazakhstan and UAE. This critical role involves mapping out the entire structure of day-to-day operations, creating a robust system to monitor daily operation statuses, identifying and resolving bottlenecks, and ensuring all services and operations (including front, middle and back office operations) run smoothly. Key Responsibilities: Assist the COO in overseeing daily operational activities across all companies to ensure high performance and compliance. Map out the entire structure of day-to-day operations for the group of companies. Develop and implement an effective system to monitor the status of daily operations. Identify and resolve bottlenecks promptly to ensure smooth operations. Manage resource allocation, scheduling, and task delegation across various services. Develop and implement operational policies and procedures tailored to each service line. Collaborate with departments to streamline workflows and mitigate risks. Handle client escalations professionally and effectively. Manage and maintain relationships with external counterparties. Prepare and present comprehensive operational reports to senior management on a monthly basis. Assist other team members across various departments where necessary. Conduct audits and risk assessments for all services. Requirements: Bachelor’s degree in Business, Finance, Operations Management, or related field. Minimum of 2-3 years of professional experience in operations within the financial services industry. Previous work experience in an audit field with Big 4 firms preferred. Strong analytical and problem-solving skills. Excellent communication and interpersonal skills. Proficiency with software and technology solutions. Ability to develop and enforce operational policies and procedures. Capable of managing high workloads and meeting tight deadlines effectively. Proficiency in managing, analyzing, and synthesizing large volumes of data. What We Offer: Hybrid work environment: 3 days in the office, 2 days remote. Modern office location in Almaty. Official employment in compliance with AIFC Employment Regulations. Opportunities for professional growth and career progression. Multilingual working environment. Exposure to cutting-edge AI-driven WealthTech solutions. A collaborative and inclusive corporate culture that values innovation and initiative. Periodic remote (e.g., during winter) from year 2. ESOP participation from year 2. This is a full-time role requiring full professional commitment; outside employment is not permitted.",,,1–3 года,,https://almaty.hh.kz/vacancy/132625920
Менеджер проектов Big Data,,Алматы,"Beeline, ТМ",,"Управление IT проектами/Big Data проектами, знание принципов работы основных фреймворков, жизненных циклов проектов, защита проектов и пост-анализ результатов Практический опыт в разработке и внедрении IT проектов, оптимизация и повышение эффективности работы автоматизированных систем. Навыки анализа, планирования, прогнозирования, бюджетирования, разработки и внедрения проектов. В сопроводительном письме, пожалуйста, укажите свои зарплатные ожидания, спасибо! ❤️ Наши условия ниже :)","Разрабатывает и согласовывает с руководителем концепции, цели и основные этапы проектов Big Data. Готовит планы расходов, доходов проектов Big Data. Ведет документацию по проектам Big Data. Участвует в управлении расходами денежных средств по проектам Big Data в соответствии с бюджетами. Организует реализацию проектов Big Data в соответствии с планом. Готовит и ведет презентации проектов Big Data. Готовит и вносит изменения в проекты Big Data. Выполняет проекты Big Data в согласованные сроки, в рамках выделенного бюджета и с требуемым уровнем качества. Координирует работы участников проектных групп. Контролирует качество выполнения работ по проектам Big Data. Корректирует план-график и бюджет проектов Big Data и согласует изменения с руководством Инициирует проведение совещаний и их планирование по ходу выполнения проектов Big Data. Разработка и внедрение продуктов и решений по Big Data, профилированию абонентской базы Полный цикл управления стратегическими проектами компании в направления Big Data Инициация или самостоятельная подготовка пост-анализов запущенных Big Data проектов, выявление причин отклонений от плановых значений. Регулярное отслеживание запущенного продукта/проекта Анализ рынка Big Data в телекоммуникационной сфере для оперативного реагирования на изменения рынка. Знание международных бизнес-практик по Big Data. Взаимодействие с поставщиками Big Data решений в целях запуска инновационных продуктов. Взаимодействие с сотрудниками подразделений, связанных с Big Data (в штаб-квартире и в регионах): маркетинг, продажи, разработка продуктов Формирует и согласовывает промежуточные и итоговые отчеты по проектам с руководителем и представляет промежуточные и итоговые отчеты.",,3–6 лет,,https://almaty.hh.kz/vacancy/132729201
Data analyst (Senior),,Алматы,АО Alatau City Bank,,"Знания SQL, ETL, BI. Data анализ. Опыт в работе в Data Governance (желательно), Data engineering. Опыт работы с хранилищем (DWH). Умение строить бизнес процессы (Подразделение: IT, Бизнес, БЭК). Системный анализ.","Работа с Data owners, Data stewards. Создание процессов в рамках управления данными. Работа с data catalog, data lineage (OMD). Анализ данных. Развитие DG согласно концепции DAMA Book. Ведение/участие проектов связанных с данными. Проведение системного анализа (Colvir, W4).",,1–3 года,,https://almaty.hh.kz/vacancy/131783108
Senior Data Software Engineer (Big Data Engineer),,Астана,"ТОО Epam Kazakhstan (Эпам Казахстан),ТОО",,"We are seeking an open-minded Senior Data Software Engineer to drive the development and maintenance of our data-driven architecture. In this role, you will work on developing pipelines to build business-related data products and designing cloud-based platform solutions to support DataHub functionality. If you’re passionate about shaping the future of data engineering and thrive in an environment where innovation and collaboration are key, we invite you to join us. This position offers remote setup with the flexibility to work from any location in Kazakhstan, whether it's your home or well-equipped offices in Astana, Almaty or Karaganda. Responsibilities Design and implement data pipelines Perform data ingestion processes to integrate existing data sources into the new platform Participate in platform engineering, including cloud-based solutions to support the architecture, such as ingestion frameworks, platform orchestrators and exploratory environments Conduct MLOps activities to build production-ready cloud-based solutions to support existing ML pipelines Take part in the design of on-premises to cloud migration activities Requirements Strong production experience in Java, Python or Scala Proficiency in SQL Understanding of common Big Data challenges (splitability, massive parallel processing, load-balancing, data locality, streaming, etc.) and relevant technologies (Apache Spark, Kafka, NoSQL databases) Familiarity with data modeling concepts such as relational/dimensional data, SCD and snowflaking Hands-on production experience with any major cloud provider: Azure, AWS or GCP B2 English level, both verbal and written Hands-on production experience with any major cloud provider: Azure, AWS or GCP Nice to have Competency in common data-related architectures such as Data Hub or Data Lake Knowledge of Databricks We offer/Benefits We connect like-minded people: Delivering innovative solutions to industry leaders, making a global impact Enjoyable working environment, whether it is the vibrant office or the comfort of your own home Opportunity to work abroad for up to two months per year Relocation opportunities within our offices in 55+ countries Corporate and social events We invest in your growth: Leadership development, career advising, soft skills and well-being programs Certifications, including GCP, Azure and AWS Unlimited access to LinkedIn Learning and Udemy Free English classes with certified teachers Discounts in local language schools, including online courses for the Kazakh language We cover it all: Participation in the Employee Stock Purchase Plan Monetary bonuses for engaging in the referral program Medical & family care package Six trust days per year (sick leave without a medical certificate) Coverage of psychology sessions of your choice Benefits package (sports activities, a variety of stores and services) EPAM is a team of technologists and innovators united by a passion for technology. In Kazakhstan, we operate across all cities with offices in Astana, Almaty, and Karaganda and work with the world's leading companies from different industries. In 2023, EPAM received the Export Excellence Award at the esteemed Digital Bridge Awards, showcasing our commitment to excellence and innovation.",,,3–6 лет,,https://almaty.hh.kz/vacancy/130510313
Tax Manager,,Алматы,ТОО Elite Business Group,,"The company is an international consulting organization providing services in audit, taxation, and financial advisory. It works with both local and international clients in Kazakhstan. Due to the expansion of its tax practice, the company is seeking a strong Tax Manager with consulting experience. The company offers: Competitive salary Official employment in accordance with the Labor Code of the Republic of Kazakhstan Work schedule: 5/2, 09:00–18:00 Modern office in central Almaty (Dostyk Ave.) Work in an international professional environment Participation in large and engaging projects Professional development and career growth within the company Strong team and knowledge sharing culture Annual salary review Paid leave: 24 calendar days Key responsibilities: Advising clients on tax matters Preparing tax opinions and analytical memoranda Analyzing tax risks and developing recommendations Advising on Corporate Income Tax (CIT), VAT, and industry-specific taxes Participation in tax structuring projects Participation in tax due diligence projects Interaction with tax authorities Ongoing tax support for clients Requirements: 3–5+ years of experience in taxation Experience in Big4 or international consulting firms is an advantage Higher education (Finance / Tax / Economics / Law) Strong knowledge of Kazakhstan tax legislation Client advisory experience Advanced Excel skills (pivot tables, formulas, data analysis) Knowledge of 1C (Accounting, Tax Accounting) English: Upper-Intermediate / Advanced (C1) or higher Key competencies: Analytical thinking Attention to detail Accountability for results Strong communication skills Client-oriented mindset Ability to work in a multitasking environment",,,3–6 лет,,https://almaty.hh.kz/vacancy/132521945
