title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
"Методолог (аналитик) по HR-блоку ""Стратегическое планирование, прогнозирование, аналитика""",,Алматы,"ТОО Small, ТМ (Скиф Трейд, ТОО)",,"Опыт работы в роли бизнес-аналитика, методолога или консультанта в области стратегического управления персоналом, HR-аналитики или управления эффективностью. Глубокое понимание связей между бизнес-стратегией, операционными планами и планированием трудовых ресурсов (workforce planning). Системное мышление и опыт построения комплексных управленческих процессов (планирование, бюджетирование) с нуля. Отличные навыки презентации и коммуникации с топ-менеджментом, умение аргументированно донести ценность и выгоду от внедрения процессов планирования и аналитики. Практический опыт работы с инструментами анализа данных (SQL, BI-системы — желательно Superset, Excel на продвинутом уровне) для построения аналитических моделей и отчетов. Обязателен опыт или сильнейший интерес к прогнозной аналитике и Data Science. Понимание принципов работы и применения ML/ИИ-моделей (классификация, регрессия) в бизнес-контексте, особенно в области прогнозирования рисков (например, текучести) — будет ключевым преимуществом. Знание основ экономики труда, понимание рыночных показателей и факторов, влияющих на стоимость персонала. Умение работать в условиях высокой неопределенности, формировать структуру там, где её пока нет, и быть проводником изменений в управленческой культуре. Готовность работать в среде с высокой степенью неопределенности и быстрым изменением приоритетов. Понимание или готовность быстро погрузиться в бизнес-процессы управления персоналом (HR-домен). Обязательное базовое понимание архитектуры и возможностей платформы 1С. Глубокий опыт работы с функционалом 1С:ЗУП КОРП (корпоративная версия) будет являться решающим преимуществом. Желателен опыт или искренний интерес к работе с ИИ-инструментами (LLM, RAG, предсказательное моделирование) для их практического применения в бизнес-задачах. Способность к быстрому самостоятельному изучению новых технологий, доменов и фреймворков. Готовность работать в смешанных технологических стеках (1С, PHP, микросервисы, backend for frontend, HTTP-сервисы, шины данных). Понимание принципов обмена данными в сервисной архитектуре. Навыки работы в команде, коммуникабельность, ответственность за результат. Понимание основ проектного подхода и управления рисками (приветствуется). Опыт работы на крупных проектах, умение точно оценивать трудозатраты и нести ответственность за сроки будет являться ключевым преимуществом.","Разработка с нуля и внедрение методологии стратегического и тактического планирования персонала (Workforce & Strategic Planning) в масштабах всей компании. Проектирование процессов планирования численности, компетенций и ФОТ как неотъемлемой части общего бюджетного цикла компании. Создание системы HR-аналитики и отчетности: от регламентированной отчетности до дашбордов по текучести, эффективности подбора, вовлеченности и затратам на персонал. Разработка методологии и требований для систем прогнозной аналитики (предсказание текучести, моделирование сценариев роста) с применением современных инструментов, включая ИИ. Методологическая поддержка процессов анализа рынка труда и интеграции этих данных в стратегическое планирование. Консультирование и обучение топ-менеджмента и руководителей департаментов по вопросам планирования персонала, обоснование экономической ценности и ROI от внедряемых процессов и инструментов. Определение ключевых метрик (KPI) для оценки эффективности использования трудовых ресурсов и формирование требований к системам их автоматического сбора и визуализации. Участие в проектах автоматизации HR-ландшафта. Работа в рамках стратегии построения интегрированной экосистемы HR-систем с ядром на 1С:ЗУП КОРП. Взаимодействие с бизнес-заказчиками (HR-департамент) и техническими командами (интеграции, фронтенд, DWH, e-com) для сбора требований, проектирования и внедрения ИТ-решений. Активная работа по выводу из эксплуатации legacy-систем и миграции данных. Участие во внедрении современных HR-практик (Performance Review, грейды, WFM, LMS, таланты) через ИТ-инструменты. Применение возможностей искусственного интеллекта (ИИ) для автоматизации бизнес-процессов в HR-домене. Работа в условиях динамично развивающегося бизнеса с фокусом на достижение измеримых бизнес-результатов и поддержку кратного роста компании.",,3–6 лет,,https://almaty.hh.kz/vacancy/130165959
Аналитик данных,от 600 000 до 800 000 ₸ за месяц,Астана,АО Центр электронных финансов,,"Опыт работы аналитиком от 3 лет (IT / digital проекты); Опыт описания бизнес-процессов, уверенное владение BPMN, UML; Навыки написания ТЗ и проектной документации; Понимание интеграций и API: REST / SOAP, JSON / XML; Опыт работы с хранилищами данных (DWH) будет преимуществом. Технические навыки: Понимание принципов проектирования хранилищ данных; Опыт работы с ETL-инструментами (например, Pentaho Data Integration, Apache Airflow, SAP DI); Знание OLAP-систем (например, SAP BW); Опыт оптимизации SQL-запросов; Работа с Git; Понимание HTTP, веб-сервисов и интеграционных подходов. Образование: Высшее техническое .","Сбор, анализ и формализация бизнес- и функциональных требований; Моделирование бизнес-процессов (AS-IS / TO-BE); Подготовка технических заданий и постановка задач для разработки и тестирования; Участие в проектировании решений и интеграций; Контроль реализации требований на всех этапах жизненного цикла проекта.",,3–6 лет,,https://almaty.hh.kz/vacancy/132539616
Internal Controls Analyst,,Алматы,ТОО Филип Моррис Казахстан,,"Be a part of a revolutionary change At PMI, we’ve chosen to do something incredible. We’re totally transforming our business and building our future on one clear purpose – to deliver a smoke-free future. With huge change, comes huge opportunity. So, wherever you join us, you’ll enjoy the freedom to dream up and deliver better, brighter solutions and the space to move your career forward in endlessly different directions. Your day to day:  - Conduct reviews, tests, interviews, and analysis to identify process gaps vs. company policies and legal requirements; - Develop corrective actions, controls, and recommendations; - Prepare process documentation and visual workflows (diagrams, charts); - Identify opportunities for process improvement and business optimization; - Assess operational risks and propose mitigation measures; - Collaborate with relevant teams; prepare reports and presentations for management; - Design and implement analytical solutions to simplify and optimize processes; - Provide guidance to employees on controls, risk assessment, and process optimization. Who we're looking for:  - Higher education in finance, economics, audit, or related fields; - Knowledge of internal control principles, risk management, and corporate governance; - Work experience in internal control, business processes optimization, audit, compliance, or related departments (3 years or more); - Skills in conducting audits, analyzing business processes, and identifying risks/violations; - Understanding and ability to interpret legislative requirements (tax, accounting, labor, corporate law); - Ability to design, develop, and implement control procedures, including drafting instructions, establishing policies, and documenting processes; - Strong analytical skills and problem-solving abilities in uncertain environments; - Experience with data visualization tools, such as Power BI or similar platforms, is an advantage; - Proficiency in Microsoft Office products at a confident user level; - Collaborative approach and willingness to learn and grow in a constantly changing environment; - Fluency in English, both in writing and speaking. What we offer: - An opportunity to pursue your ambitions and develop your skills with a global business – our staggering size and scale provides endless opportunities to progress; - An opportunity to build an international career and for cross-functional moves; - Extended social package: life insurance, insurance from critical illnesses, additional payment for preschool development of children, participation in the Employee Assistance Program (financial, psychological and legal consultations) for employees and family members, and much more; Philip Morris Kazakhstan is the holder of Top Employer Kazakhstan & Global award for 10 consecutive years as well as the only Equal Pay certificate holder in Kazakhstan, which proves our commitment to highest working standards. *Relocation support is not available for this job",,,3–6 лет,,https://almaty.hh.kz/vacancy/132533447
Аналитик данных,,Астана,АО Центр электронных финансов,,"Аналитик данных проекте Data Fabrica играет ключевую роль в создании надежного фундамента для анализа данных, проектируя модели данных для последующего использования в клиентских приложениях для визуализации и построения отчетов Навыки и знания: 1. Опыт работы с монолитными, микросервисными архитектурами, event-driven; 2. Опыт работы с интеграциями (API, очереди, шины); 3. Технологии (REST API, SOAP, Apache Kafka) 4. Знания в областях UML, BPMN, ER- диаграммы 5. Работа с данными, участие в проектировании структуры данных, глубокое понимание SQL (JOIN, агрегаты, оптимизация) для извлечения, трансформации и загрузки данных из различных источников. 6. Базы данных: Опыт работы с реляционными и NoSQL базами данных. 7. Моделирование данных: Понимание концепций звездной схемы, снежинки, OLAP-кубов, cоздание многомерных моделей данных, оптимизированных для аналитики. 8. Создание мер и измерений: Определение ключевых показателей эффективности (KPI) и создание соответствующих мер и измерений. 9. Управление задачами (Agile / Scrum / Kanban, приоритезация (MVP, backlog)).",,,1–3 года,,https://almaty.hh.kz/vacancy/132243405
Data Analyst,,Алматы,ТОО Мобайл Телеком-Сервис (Объединенная Компания Tele2/Altel) | IT,,"Мы верим, что новое качество жизни можно нести через реализацию потенциала современных цифровых услуг. Мы первые третий год подряд по скорости и покрытию связи среди операторов Казахстана по версии Ookla. Мы также лучший работодатель страны по версии премии «HR-бренд Центральная Азия». Мы не боимся менять правила и ставить амбициозные задачи. Всегда требовательны к себе: результатом нашей работы пользуются друзья, близкие, миллионы абонентов по всей стране — и мы сами. У нас принято делиться знаниями, подходами в работе и удачными решениями. Поэтому мы устраиваем внутренние и внешние митапы, ездим с докладами по разным городам и странам. НУЖНО УМЕТЬ: Разрабатывать и реализовывать стратегий анализа данных для оптимизации работы с клиентской базой. Анализировать сложные данные, интерпретировать результаты и предоставлять стратегические рекомендаций. Работать с ключевыми заинтересованными сторонами для понимания бизнес-потребностей и формулирования аналитических запросов. Разрабатывать и внедрять усовершенствованные методы анализа данных, включая машинное обучение и предиктивную аналитику. Должность предполагает работу с конфиденциальной абонентской информацией НАС ИНТЕРЕСУЕТ: Опыт работы в области анализа данных не менее 3 лет. Глубокие знания SQL, опыт работы с большими и сложными базами данных. Продвинутые навыки в использовании инструментов визуализации данных (например, Tableau, Power BI). Опыт программирования Python для анализа данных. Опыт создания и управления моделями предсказательной аналитики и статистического анализа. Желательно иметь опыт работы в телекоммуникационной отрасли и знание специфики работы с клиентскими базами. ЗАРПЛАТА - ЭТО ЕЩЕ НЕ ВСЁ: Гибридный формат работы и гибкое начало рабочего дня; Профессиональное развитие: участие в митапах, тренингах, конференциях, демо-днях и хакатонах; Дополнительные 4 дня отпуска — итого 28 календарных дней за год; Годовой бонус по результатам достижения KPI; Корпоративная сотовая связь; Добровольная медицинская страховка со стоматологией и лекарствами с возможностью бесплатно добавить двух близких родственников; Фитнес-абонементы со скидкой и в рассрочку; Онлайн-платформа бесплатной психологической помощи; Доступ к корпоративной онлайн-библиотеке MyBook.",,,1–3 года,,https://almaty.hh.kz/vacancy/132186379
System/Business Analyst,,,Andersen,,"Andersen is hiring a System/Business Analyst for a project developing mobile banking transfers, ensuring secure, reliable transactions and seamless integration with payment systems. The customer is an established company operating within the financial domain, offering a range of consumer-oriented services. It shows consistent performance, supported by a mature operational setup, a scalable infrastructure, and a geographically distributed team. The organization is integrated into a wider international structure with diversified activities, which supports its stability and continuous evolution in a dynamic market environment. The project is focused on developing and enhancing money transfer functionality within a mobile banking application. It covers P2P and interbank transfers, integrations with internal systems and external payment services, and ensures secure, reliable transactions with a strong emphasis on user experience and microservices architecture. Responsibilities: Gathering, analyzing, and formalizing business and system requirements from stakeholders. Preparing and maintaining project documentation: technical specifications, User Stories, Use Cases, and specifications. Modeling business processes (AS-IS / TO-BE) using BPMN, UML, and other notations. Describing integration interactions between systems (REST/SOAP APIs, message queues — RabbitMQ, Kafka). Participating in the design of architectural solutions and integration scenarios. Collaborating with development, QA, and product management teams to specify requirements and ensure their proper implementation. Creating tasks for developers, supporting the development process, and participating in the acceptance of deliverables. Preparing test scenarios, participating in testing and validation of implemented functionality. Analyzing data and working with databases (SQL) to verify the correctness of requirement implementation. Participating in system support: analyzing and resolving incidents, interacting with technical teams. Consulting users and internal teams on system functionality. Participating in the improvement and optimization of business processes and existing solutions. Working in an Agile team (Scrum/Kanban): participating in planning, refinement, and daily meetings. Learning new technologies and applying best practices within projects. Supporting and substituting other analysts when necessary. Must-haves: Experience as a System and/or Business Analyst for 3+ years. Experience in the fintech domain. Strong business and system analysis skills. Experience in gathering, analyzing, and formalizing requirements. Ability to write technical documentation (SRS). Experience working with Use Cases and User Stories. Skills in business process modeling (BPMN). Knowledge of UML and ability to create diagrams. Understanding of and experience with REST and SOAP APIs. Experience working with message brokers (RabbitMQ, Kafka). SQL knowledge at the level of writing queries. Experience participating in testing and requirements validation. Experience in preparing and maintaining project documentation. Understanding of system architecture principles. Participation in designing architectural solutions. Experience working in Agile (Scrum/Kanban). Participation in incident analysis and resolution. Ability to mentor and consult other analysts. Willingness to back up fellow analysts when needed. Strong communication skills. Ability to quickly learn new technologies and apply them in practice. Level of English – from Intermediate and above. Reasons why this job would be interesting to you: Experience in teamwork with leaders in FinTech, Healthcare, Retail, Telecom, and others. Andersen cooperates with such businesses as Samsung, Siemens, Johnson & Johnson, BNP Paribas, Ryanair, Mercedes, TUI, Verivox, Allianz, T-Systems, etc. The opportunity to change the project and/or develop expertise in an interesting business domain. Job conditions – you can work both fully remotely and from the office or can choose a hybrid variant. Guarantee of professional, financial, and career growth! The company has introduced systems of mentoring and adaptation for each new employee. The opportunity to earn up to an additional 1,000 USD per month, depending on the level of expertise, which will be included in the annual bonus, by participating in the company's activities. Access to the corporate training portal, where the entire knowledge base of the company is collected and which is constantly updated. Bright corporate life (parties / pizza days / PlayStation / fruits / coffee / snacks / movies). Certification compensation (AWS, PMP, etc). Referral program. English courses. Private health insurance and compensation for sports activities.",,,3–6 лет,,https://almaty.hh.kz/vacancy/132429821
Risk Analyst,,Алматы,АО Alatau City Bank,,"Опыт работы от 3 лет; Навыки программирования Python – продвинутый, SQL – продвинутый; Умение анализировать данные – продвинутый; Знания CI/CD – средний; Построение моделей в Python или R.","разрабатывать, внедрять аналитические инструменты для мониторинга и контроля финансовых рисков; построение моделей по кредитам и депозитам; оценка рыночного риска посредством моделей VaR, в том числе применение EWMA и GARCH подходов; Взаимодействие с аналитиками и дата-сайентистами по вопросам качества и структуры данных",,3–6 лет,,https://almaty.hh.kz/vacancy/130971220
Middle/Senior Data analyst в Kaspi shop,,Алматы,Kaspi.kz,,"Kaspi — крупнейшая технологическая и финтех-экосистема Казахстана, объединяющая более 10 000 сотрудников. Мы создаем продукты, которыми ежедневно пользуются миллионы людей, и ищем аналитика, который поможет находить точки роста и усиливать бизнес-решения на основе данных.  Вам предстоит: • Погрузиться в экосистему Kaspi Магазина – крупнейшего e-commerce РК; • Проверять продуктовые гипотезы и готовить аналитику для поддержки принятия бизнес решений; • Искать точки роста продаж, продуктов и сервисов Kaspi Магазина за счет анализа данных юридических лиц (продавцов), физических лиц (покупателей) и ассортимента (товаров, размещенных в Kaspi Магазине); • Автоматизировать витрины данных, отчетность и расчеты бизнес-показателей; • Разрабатывать детализированные дэшборды и data-продукты; • Заниматься предиктивным анализом / сегментациями; • Построение моделей для увеличения вовлеченности в продукты и сервисы Kaspi Магазина.   Что мы ожидаем: • Опыт работы аналитиком данных от 2 лет (желательно: e-commerce, fintech, telecom и др.) • Уверенные навыки работы с SQL (JOIN, GROUP BY, оконные функции) • Опыт работы с Excel (сводные таблицы, визуализация) • Опыт работы с воронками, сегментацией и событийной аналитикой — обязательно • Понимание статистики и продуктовой аналитики  Будет плюсом: • Python (анализ данных) • BI-инструменты (Power BI / Tableau / Qlik) • SAS Enterprise Guide / Miner • Опыт построения ML моделей (регрессия, деревья, бустинг, кластеризация)  В какие направления рассматриваем: • Clients Team — работа с направлениями: Подарки, Отзывы, Трафик, Поиск, Cross-border (Hepsi) • Categories Team — фокус на вертикалях: Fashion и Home & DIY  Что мы предлагаем: • Работа в одной из сильнейших продуктовых команд страны • Возможность влиять на продукт с миллионами пользователей • Профессиональный и карьерный рост • Конкурентную заработную плату • Обучение и развитие  Если хотите присоединиться к нашей команде, оставляйте отклик:)",,,1–3 года,,https://almaty.hh.kz/vacancy/131815959
Администратор Big Data,,Алматы,АО Казахтелеком,,"Казахтелеком — крупнейший оператор телекоммуникаций Казахстана, лидер в сфере цифровых решений и инфокоммуникаций. Работа в Казахтелеком — это не просто стабильность и надежность, а возможность внести вклад в развитие цифрового будущего страны и раскрыть свой профессиональный потенциал. Big Data Administrator Ищем Big Data Administrator для эксплуатации, сопровождения и масштабирования нашей Big Data платформы. Роль предполагает полную ответственность за стабильность, производительность, безопасность и развитие инфраструктуры, включая работу с кластерами, БД и контейнерной инфраструктурой. Обязанности Администрирование и эксплуатация Big Data платформ: Hadoop (HDFS, YARN) ClickHouse (MergeTree, репликация, шардирование) PostgreSQL Apache Airflow Управление контейнерной инфраструктурой на базе Kubernetes Настройка, масштабирование и сопровождение кластеров Мониторинг нагрузки и производительности: вычислительных ресурсов хранилищ данных баз данных Управление доступами и учётными записями пользователей: создание и удаление учёток предоставление/отзыв прав контроль ролей и привилегий Администрирование серверов и операционных систем: Linux (CentOS / Ubuntu) файловые системы, сетевые настройки Работа с логами, алертами и инцидентами Взаимодействие с командами разработки, аналитики и DevOps Обязательные требования Опыт администрирования Hadoop-кластеров Опыт работы с ClickHouse (шардирование, репликация, KafkaEngine) Опыт работы с PostgreSQL (индексы, JSONB, materialized views) Опыт эксплуатации Apache Airflow Опыт работы с Kubernetes (развёртывание сервисов, namespaces, управление ресурсами) Отличное знание Linux и администрирование серверов Опыт мониторинга и оптимизации производительности систем и баз данных Опыт управления пользователями и доступами в корпоративной среде Опыт работы в production-системах под нагрузкой Английский на уровне чтения технической документации Плюсом будет Опыт работы с Apache Spark Опыт с Kafka (конфигурация, администрирование) Опыт работы с инструментами мониторинга (Prometheus, Grafana) Опыт резервного копирования и восстановления данных Готовы к новым вызовам и карьерным достижениям? Присоединяйтесь к Казахтелеком и станьте частью инновационной команды, которая формирует цифровое будущее Казахстана!",,,1–3 года,,https://almaty.hh.kz/vacancy/131898369
AI Engineer / LLM Engineer,,Алматы,ТОО Globerce Inc.,,"Опыт работы AI Engineer / Data Scientist / ML Engineer от 3 лет, с фокусом на NLP и LLM. Отличное знание Python. Практический опыт работы с: PyTorch, Hugging Face Transformers, LangChain / LangGraph или аналогами. Реальный опыт: дообучения LLM, построения RAG-систем, работы с embedding-моделями. Понимание принципов работы агентных систем (tool calling, planning, memory). Опыт работы с векторными БД: FAISS, Chroma, Milvus (или аналоги). Умение работать с текстовыми данными: подготовка датасетов, аугментация, генерация synthetic data. Понимание математических основ ML и DL.  Наши бенефиты: Удобный гибкий график работы. Трудоустройство по ТК РК. ДМС для сотрудников и их близких. Материальная помощь в различных жизненных ситуациях (рождение ребенка, свадьба, утрата близкого и тому подобное). Прозрачная система грейдирования. Бесплатное корпоративное обучение. Соревнования по кибер и спортивным дисциплинам. Тимбилдинги вне Алматы. Корпоративная техника (ноутбуки/мониторы). Технологичный офис в сердце Алматы.  Будем ждать ваших откликов!","Проектирование RAG-архитектур: разработка и оптимизация пайплайнов извлечения данных (chunking strategies, embedding selection, re-ranking). Prompt Engineering & Optimization: создание сложных системных инструкций, использование техник Chain-of-Thought, Few-shot, ReAct. Работа над воспроизводимостью ответов. Разработка AI-агентов: создание автономных систем на базе LangGraph, CrewAI или Haystack, способных планировать действия и использовать внешние API/инструменты. Оценка качества (Evaluation): внедрение метрик для измерения качества ответов и точности поиска (используя RAGAS, DeepEval или кастомные LLM-as-a-judge подходы) Обязательные",,3–6 лет,,https://almaty.hh.kz/vacancy/132283800
