title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Дизайнер,,село Байсерке,ТОО Шин-Лайн,,"Компания ""Шин -Лайн"" - Производитель мороженого №1 в Казахстане и Центральной Азии, а также полуфабрикатов и других продуктов питания (shin-line.com), приглашает в команду отдела маркетинга - Дизайнера! Если вы имеете опыт работы в рекламных агентствах, дизайн студиях, FMCG компаниях от 2х лет и свободно владеете графическими программами, то мы вас с удовольствием примем в нашу команду! У нас вы сможете получить очень хороший и интересный опыт работы, т.к. в Компании постоянно производятся новые продукты и реализуются новые проекты! Вы будете: - Разрабатывать дизайн упаковки мороженого, лапши, полуфабрикатов; - Разрабатывать дизайн рекламных материалов, плакатов, листовок, рекламных баннеров, каталогов; - Работать с существующими дизайнерами, корректировать тексты, размеры и т.д.; - При необходимости взаимодействовать с типографиями по вопросам печати упаковки и рекламных материалов;  Вы должны: Свободно владеть графическими редакторами: Adobe Photoshop, Adobe illustrator, Corel. Мы предлагаем: Официальное оформление согласно ТК РК. Стабильная, конкурентная заработная плата. График работы с 08:00 до 17:00, понедельник-пятница (5/2). Развозку с Саяхата Комплексный обед за счёт компании. Место работы находится в Алматинской обл. Илийский р-он. с.Байсерке ул.Султана Бейбарса,58 (Напротив Даму логистик). И еще один момент. Вам обязательно нужно будет иметь портфолио с вашими работами, а также выполнить небольшое задание. Жду ваши резюме!!!",,,3–6 лет,,https://almaty.hh.kz/vacancy/132603962
Ландшафтный дизайнер,от 500 000 до 700 000 ₸ за месяц,Астана,ТОО Park Service Astana,,"профессиональное использование средств офисной оргтехники, профессиональное использование пакета программ MS Word, MS Excel, графических программ 3ds Max, CorelDRAW, Photoshop, Autocad и др.; творческое мышление; - навыки графического дизайна; - навыки эскизных зарисовок; - характеристики древесно-кустарниковых насаждений свойства материалов, применяемых в проектируемых проектах; - передовой отечественный и зарубежный опыт по озеленению и ландшафтному дизайну;","осуществлять разработку проектов по ландшафтному дизайну, эскизов, ландшафтно-планировочных и архитектурных решений вести разработку проектов по ландшафтному дизайну, эскизных проектов в соответствии с ассортиментом посадочного материала, рекомендуемого для использования в проектах; составление графического и наглядного визуального плана работ, дизайна проекта разработка концепции благоустройства с учётом пожеланий заказчика знание разных видов декоративных и культурных садовых растений; выбор наиболее оптимальных решений для конкретного участка с учётом климата и типа грунта; зонирование и функциональная разбивка участка; подбор материалов, участие в реализации проекта, контроль и обслуживание.",,3–6 лет,,https://almaty.hh.kz/vacancy/131920090
Дизайнер интерьера (Interior Designer / Архитектор-дизайнер),,Алматы,ТОО Pomo Design Center,,"О компании  Metropolis - архитектурно-проектная компания с устойчивой репутацией и высоким уровнем реализуемых проектов.  Мы работаем с коммерческими и административными объектами, формируя не только визуальные решения, но и полноценную архитектурную среду. Компания объединяет экспертов в области архитектуры, дизайна и проектирования, обеспечивая системный подход и контроль качества на всех этапах реализации проектов.  Обязанности Разработка концепций интерьеров административных и коммерческих пространств Создание визуализаций (3ds Max) высокого уровня качества Подготовка коллажей, мудбордов и концептуальных решений Разработка планировочных решений с учетом эргономики пространства Выполнение рабочей документации (чертежи) Постановка задач смежным специалистам (визуализаторы, инженеры и др.) Сопровождение проекта на всех этапах разработки  Требования Опыт работы от 2 лет в сфере дизайна интерьеров Уверенное владение 3ds Max Развитое чувство вкуса, композиции и пропорций Понимание эргономики и функционального зонирования пространства Опыт работы минимум с одним проектом административного здания Наличие не менее одного реализованного проекта Навыки разработки рабочей документации Умение самостоятельно формировать концепции и визуальные решения  Мы предлагаем Работу в стабильной компании с сильной профессиональной средой Участие в масштабных и значимых проектах Прямое взаимодействие с архитекторами и руководителями проектов Возможность профессионального роста и расширения зоны ответственности Конкурентоспособный уровень дохода (обсуждается индивидуально) Официальное трудоустройство",,,1–3 года,,https://almaty.hh.kz/vacancy/132562268
Полиграфический дизайнер (с навыками работы с нейросетями),от 600 000 до 1 200 000 ₸ за месяц,Алматы,ТОО LIBERTY SPACE,,"В связи с расширением компании, открываем вакансию: Полиграфический дизайнер (со знанием нейросети). Самое важное о нас: 35+ лет командной экспертизы в Восточной Европе и Центральной Ази 1 736 PR-проектов международного и локального уровня; Более 3,8 млн клиентов; 478 ведущих партнеров в портфеле компании. Наши проекты — это живая визуальная коммуникация, энергия, которая соединяет клиентов, бренды и эмоции. Стань частью наше команды! Если ты, талантливый дизайнер полиграфии, который: умеешь создавать яркие, чистые и живые макеты для сертификатов, меню, баннеров, карточек и постеров; уверенно работаеешь в CorelDraw или Adobe Illustrator; уверено работаешь с нейросетью (Midjourney, Firefly, Leonardo, Runway, ChatGPT Vision) как инструмент; чувствуешь эстетику HoReCa — рестораны, семейные пространства, парки, фуд-корты. А еще, очень важно что бы ты был позитивный, многозадачный и исполнительным! 🔹 Принципы работы (коротко)  • Тренды 2025–2026: минимализм, clean aesthetic, контрастные акценты, динамика, объёмный свет, air-space; • Гармоничное смешение AI-графики с фото/иллюстрацией, визуальный сторителлинг; • Композиция на сетке, аккуратные акценты, «воздух» и читабельность. • Вместо эффектов ради эффекта — осмысленные решения, чистая типографика и свет/тень.  🔹 Техническая часть (кратко)  • Печать-ready: макеты передаются в пресс-качестве с припусками; полные параметры (размеры, профиль, экспорт) — в ТЗ; • Типографика: современные sans-serif/variable; в макете 2–3 гарнитуры с выстроенной иерархией; • Цвет и фон: фирменная палитра бренда; градиенты/прозрачности/лёгкий шум — как аккуратные акценты; • Изображения: AI-генерация и обязательная постобработка; единый тон (тёплый молочный или нейтрально-серый), объём, мягкий свет и тени.  💼 Условия Удалённо (Zoom / Telegram / WhatsApp); Гибкий график по загрузке; 600 000 – 1 200 000 ₸ / месяц (по результатам проектов); официальное оформление и стабильность; Тёплая, энергичная команда — с юмором и любовью к дизайну Юридическая поддержка сотрудников; Система compliance и стандарты безопасности. Почему Liberty Space Создаём рабочие места в Казахстане, Узбекистане, Кыргызстане и Азербайджане. Усиливаем локальные бренды в HoReCa. Каждая афиша, баннер и VIP-карта — эмоция, которая привлекает и возвращает гостя. Рост, вдохновение и яркие проэкты каждый день. Отправляй резюме, возможно именно ты, тот кого мы ищем!",,,3–6 лет,,https://almaty.hh.kz/vacancy/132647470
Торговый представитель/дизайнер,от 500 000 до 1 000 000 ₸ за месяц,Алматы,ИП Мечта,,• Коммуникабельность и навыки продаж • Чувство стиля и базовые знания дизайна • Ответственность и пунктуальность • Опыт в продажах или дизайне будет преимуществом,"• Выезд к клиенту на замер и консультацию • Подбор дизайна (ролл-шторы, жалюзи, текстиль) • Презентация материалов и вариантов оформления • Расчет стоимости заказа • Закрытие сделки и передача заказа в производство • Ведение клиента до завершения заказа",,1–3 года,,https://almaty.hh.kz/vacancy/131963944
Product дизайнер,до 900 000 ₸ за месяц,Нур-Султан (Астана),ТОО Documentolog,,"В Documentolog мы строим продукты нацеленные на цифровизацию документооборота и других бизнес-процессов, которыми пользуются сотни тысяч людей. Дизайнер у нас — совладелец пользовательского опыта: от гипотезы до результата в метриках ⚠️ Без портфолио заявка не рассматривается Покажи процесс в любом виде: Figma-файл, презентация, личный сайт — без разницы :) Чем будешь заниматься ▸ Проектировать решения с опорой на данные — метрики фиксируются и учитываются в решениях ▸ Работать в дизайн-системе и развивать её — соблюдать паттерны, предлагать новые компоненты, документировать ▸ Держать высокую визуальную планку — чистый UI как база. Важно, так как 20% времени занимаемся промо задачами: сайт, баннеры и презентации ▸ Знать платформенные гайдлайны — iOS HIG и Material Design ▸ Глубоко прорабатывать решения — юзерфлоу, анализ референсов, понимание бизнес-процессов ▸ Расти вместе с продуктом — следить за индустрией, инициировать улучшения Условия 🗂 Оформление по ТК Республики Казахстан 🕘 График 5/2, 09:00–18:30, обед 13:00–14:30 📅 Гибрид после испытательного срока (3/2) 📚 Обучение за счёт компании по профилю 📈 Ежегодная индексация зарплаты 🎁 После года в компании: беспроцентные займы + премии каждые полгода",,,1–3 года,,https://almaty.hh.kz/vacancy/131221889
Менеджер-дизайнер по продажам корпусной мебели,от 400 000 ₸ за месяц,Астана,ИП Space Office,,"* Опыт в продажах корпусной мебели или в смежной сфере — желательно * Владение программами проектирования * Навыки продаж и ведения переговоров * Коммуникабельность, ответственность, ориентация на результат * Грамотная речь (русский/казахский — желательно) * Умение работать с возражениями и доводить клиента до сделки Будет плюсом: * Опыт работы дизайнером мебели * Знание материалов, фурнитуры и конструктивных особенностей мебели Условия (пример): * з/п от 400 000 тг * График работы: 5/2","* Консультация клиентов в салоне и онлайн (WhatsApp, Instagram и др.) * Выявление потребностей, подбор решений под запрос клиента * Разработка дизайн-проектов (кухни, шкафы, гардеробные и т.д.) * Подготовка коммерческих предложений, расчет стоимости * Сопровождение клиента на всех этапах сделки (от обращения до установки) * Заключение договоров, контроль оплат * Взаимодействие с производством и замерщиками * Ведение клиентской базы (CRM)",,1–3 года,,https://almaty.hh.kz/vacancy/132798559
Design Trainee,,,Andersen,,"International company Andersen, one of the leaders in the outsource production market, is recruiting for traineeships: Ui/Ux Design Graphic Design with further employment in Kazakhstan (in the office: Almaty or Kazakhstan remote). Andersen Company is interested in the rapid professional development of employees and improvement of their skills, is ready to invest funds and time. Therefore, our competitive advantage is considered to be rapid growth, in terms of salaries, among other things. Requirements: Intermediate+ or higher level of English (verbal communication); for Ui/Ux Design - completed UI/UX Design courses (if you are interested in our free online courses “UI/UX Design Intensive”, please indicate “Courses” in the response); for Graphic Design - design education is obligatory; confident knowledge of design tools: Adobe XD / Sketch / Figma / Adobe Illustrator, Photoshop; for Graphic Design - experience in illustration (non digital drawing) and with a graphics tablet; portfolio made out on Behance/Dribble is obligatory; communication skills, motivation, high speed of assimilation of new knowledge; will be a plus: Intermediate or higher level of German. Conditions: practice on a training project under the guidance of experienced tutors; control of the trainee's knowledge mastery and feedback; office-based format of training; corporate English language courses at the office or online; access to the corporate internal training programme (own educational platform); participation in the company's vibrant corporate life. An Andersen trainee can confidently count on: high professionalism of mentors; careful and attentive attitude during training; assistance and support during the training process and when entering a commercial project afterwards; guaranteed employment upon successful completion of training. Andersen is a great opportunity to start and grow in IT!",,,не требуется,,https://almaty.hh.kz/vacancy/132227181
Motion/AI-дизайнер,,Алматы,ТОО Starcom Kazakhstan,,"уверенный моушн (2D / базовый 3D — плюс) понимание ритма, композиции и динамики опыт работы с Adobe After Effects, Adobe Photoshop, Adobe Illustrator умение работать с AI (Midjourney, Runway ML, ChatGPT и др.) самостоятельность и умение доводить задачу до финала","создание моушн-контента для соцсетей и рекламных кампаний разработка визуалов с использованием AI-инструментов анимация креативов, адаптация под разные форматы участие в разработке идей вместе с креативной командой сборка быстрых прототипов и сторибордов работа с видео, графикой, генерацией и постпродакшеном Ожидания: уверенный моушн (2D / базовый 3D — плюс) понимание ритма, композиции и динамики опыт работы с Adobe After Effects, Adobe Photoshop, Adobe Illustrator умение работать с AI (Midjourney, Runway ML, ChatGPT и др.) самостоятельность и умение доводить задачу до финала",,1–3 года,,https://almaty.hh.kz/vacancy/132010596
Графический дизайнер,,Алматы,ТОО OFFICESQUARED,,Обязанности Разработка брендинга магазинов Создание баннеров и POS-материалов Дизайн стендов и визуализация мероприятий Подготовка печатной продукции Требования Опыт работы с брендингом и рекламными материалами Уверенное владение графическими редакторами Креативность и внимание к деталям Умение работать в рамках проекта и соблюдать сроки Наличие портфолио Условия Проектная работа с гибким графиком Оплата договорная Возможность удалённой работы,,,1–3 года,,https://almaty.hh.kz/vacancy/132308037
