title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
QA Engineer (Тестировщик),,Алматы,АО Нурбанк,,"Понимание методологий тестирования. Опыт тестирования mobile/web. Навыки тестирования API (REST, JSON). Умение работать с Jira, TestRail/Qase. Понимание API и клиент-серверной архитектуры. Готовность тестировать как UI, так и backend-процессы. Умение работать в условиях неполных требований.","Тестирование мобильных (iOS/Android) и web-приложений. Разработка тест-кейсов, проведение функционального и регрессионного тестирования. Проверка API через Postman. Анализ требований, поиск и документирование дефектов. Тестирование KYC, авторизации, платежей, переводов. Работа с Charles/Proxyman, логами, Sentry/Firebase. Участие в анализе требований. Подготовка тестовой документации (Test Plan, Test Report). Совместная работа с аналитиками и разработчиками для уточнения логики. Тестирование взаимодействия нескольких систем (end-to-end). Участие в улучшении QA-процессов. Работа с логами (Kibana/ELK), анализ ошибок и поиск первопричин. Оформление дефектов в баг-трекинговой системе (Jira/YouTrack), контроль их исправления. Взаимодействие с разработчиками, аналитиками, дизайнерами, DevOps и командой мобильной разработки.",,1–3 года,,https://almaty.hh.kz/vacancy/131942017
Junior QA Engineer (Manual),,,ТОО Playrix,,,"анализ механик и пользовательского опыта, формулирование предложений по улучшению; активное участие в командных обсуждениях фич и изменений; ручное тестирование новых фич игры на платформах iOS, Android, MacOS, UWP; тестирование проекта в рамках регрессионных проверок; своевременное и качественное заведение дефектов в баг-трекер с описанием причин и влияния на продукт. Мы ожидаем: быстрый рост в геймдизайн, продюсирование или менеджмент; мобильный игровой опыт и искренний интерес к gamedev; проактивную позицию: умение не только находить проблему, но и предлагать решение; коммерческий опыт ручного тестирования от 6 месяцев; высшее образование; знание теории тестирования; Будет плюсом: понимание основ геймдизайна и аналитики; опыт работы с AI-инструментами; интерес к аналитике и продуктовым показателям. Мы предлагаем: Гибкость в работе: Для большинства позиций у нас гибкий график и удалённый формат работы. Мы ориентируемся на результат, а не на место или способ выполнения задач. Забота о здоровье и well-being: Предоставляем ДМС для сотрудников, их партнеров и детей, компенсируем онлайн-сессии с психологом. Сохраняем 100% зарплату во время отпуска или больничного без лишних справок. А для особых случаев предоставляем дополнительные выходные. Поддерживаем здоровый образ жизни и компенсируем покупку спортивных абонементов и подписку на фитнес-приложения. Развитие и обучение: Оплачиваем участие в профильных конференциях и курсах, проводим внутренние конференции. Компенсируем изучение иностранного языка. Ивенты и мерч: Регулярно проводим развлекательные и рабочие мероприятия в офлайн режиме: встречи команд, крупные корпоративные вечеринки и более лайтовые пати в офисах. Также регулярно проводим развлекательные конкурсы, квизы, хакатоны, спортивные челленджи в режиме онлайн. Собственный магазин мерча с внутренней валютой, где можно купить уникальные подарки. Валюту дарим на значимые даты, также ее можно заработать, участвуя в мероприятиях и брендовых активностях Отправляя отклик на нашу вакансию, вы соглашаетесь, что ваши персональные данные, собранные во время собеседований в Playrix, будут обрабатываться компанией.",,1–3 года,,https://almaty.hh.kz/vacancy/132247282
IOS/ANDROID Разработчик,от 250 000 ₸ за месяц,Алматы,ИП FoodCloud,,"Опыт разработки мобильных приложений для платформ iOS и Android. Знание языков программирования Swift (для iOS) и Kotlin (для Android). Опыт работы с инструментами разработки, такими как Xcode и Android Studio. Понимание основных принципов проектирования интерфейсов (UI/UX) и опыт создания удобных и интуитивно понятных пользовательских интерфейсов. Навыки взаимодействия с внешними API и умение интегрировать их в приложение. Готовность работать в оффлайн-режиме и обеспечивать стабильную работу приложения в условиях недоступности сети. Способность работать в команде и эффективно коммуницировать с другими членами проекта. Желание учиться и развиваться в области мобильной разработки.","Разработка и поддержка существующего мобильного приложения для платформ iOS и Android. Оптимизация приложения для работы в оффлайн-режиме, обеспечивая стабильную и безотказную функциональность. Взаимодействие с другими членами команды разработки для улучшения пользовательского опыта и расширения функционала приложения. Работа с внешними API и интеграция внешних сервисов в приложение. Тестирование, отладка и оптимизация кода для обеспечения высокой производительности и надежности приложения.",,3–6 лет,,https://almaty.hh.kz/vacancy/131869501
Kotlin Multiplatform разработчик,от 3 000 до 4 500 $ за месяц,Алматы,Meltory LTD,,,"Проектировать и реализовывать кроссплатформенную бизнес-логику на KMM Писать чистый, тестируемый код, расположенный под нативными UI-слоями Принимать ранние архитектурные решения, обеспечивающие масштабируемость Работать полностью автономно: UI разрабатывается отдельно, вы отвечаете за core-логику Поставлять рабочий код, а не прототипы Что нам нужно Отличное знание Kotlin — глубокое понимание, а не «я его использовал» Корутины и потоки: вы корректно работаете с конкурентностью под нагрузкой Реальный продакшн-опыт с KMM — вы выпускали общий код, а не только читали документацию Знание экосистемы KMM: Ktor, Room KMP или аналогов Автономия уровня senior: вы находите проблемы, предлагаете решения и реализуете их Стартап-мышление: быстрые релизы, ответственность за результат, отсутствие ожидания «идеальных условий» Что нам не нужно: Люди, которым требуются пошаговые инструкции на каждом этапе Те, кто ожидает зрелую, стабильную и уже сложившуюся кодовую базу Разработчики, которым нужна помощь в принятии архитектурных решений Те, кто считает интеграцию «чужой задачей» Это ранняя, хаотичная и требовательная стадия продукта. Знание английского на уровне В2 обязательно. Если вы хотите реально влиять на разрабатываемый продукт, подавайте заявку.",,3–6 лет,,https://almaty.hh.kz/vacancy/131944408
Graphic & Motion Designer (Performance & Digital Marketing),,Алматы,ТОО GREEN AND SMART MOBILITY KAZAKHSTAN,,"Обзор роли Мы ищем графического дизайнера с фокусом на перформанс-маркетинг и конверсионный дизайн. Роль предполагает создание высокоэффективных визуалов для платных кампаний, магазинов приложений и цифровых точек контакта. Ключевые обязанности 1. Перформанс-креативы Разработка рекламных креативов для: Meta, Google, TikTok, Programmatic-платформ, социальных сетей Производство вариаций для A/B-тестирования 2. Ассеты для магазинов приложений и конверсии Дизайн скриншотов и визуалов для App Store (iOS и Android) Постоянная оптимизация для повышения конверсии 3. Лендинги и цифровые материалы Создание визуалов для: Лендингов Баннеров на сайте In-app промоакций 4. Поддержка креативного тестирования Тесное взаимодействие с командой перформанс-маркетинга: тестирование концепций, быстрые итерации на основе результатов Требования 2–4 года опыта в графическом дизайне Сильное портфолио в digital-маркетинге / перформанс-креативах Опыт дизайна для mobile-first среды Понимание конверсионного дизайна (не только брендинг) Уверенное владение Figma, Adobe Suite или аналогичными инструментами Критерии успеха Высокоэффективные рекламные креативы, улучшающие результаты кампаний Быстрое производство множества вариаций Тесная связь между дизайном и перформанс-целями",,,3–6 лет,,https://almaty.hh.kz/vacancy/132796858
IOS Trainee,,,Andersen,,"уровень знания английского языка Intermediate и выше; знание основ языка Swift (минимум на уровне ""прочитал книжку SwiftBook несколько раз""); знание принципов ООП; базовое понимание систем контроля версий (Git); базовое понимание распространенных методологий разработки (SCRUM); логическое, аналитическое мышление; наличие учебных/тестовых проектов в портфолио; коммуникабельность, мотивированность, высокая скорость усвоения новых знаний; уровень знания немецкого языка Intermediate и выше будет плюсом.",,,не требуется,,https://almaty.hh.kz/vacancy/132249901
Product Owner (Delivery Focus),,Алматы,ТОО ДиджиталБизФэктори,,"Привет! Мы - команда Digital Biz Factory, эксперты в области финтеха. Наша основная задача - создание высокопроизводительных IT-команд. Мы стремимся к оперативному развитию и расширению решений, чтобы адаптировать его под уникальные задачи и бизнес-архитектуру каждого заказчика. Мы работаем по модели Time&Material, что позволяет нам быстро и эффективно адаптироваться к потребностям наших клиентов.  О роли: Мы ищем Product Owner’а, который возьмёт на себя ответственность за эффективную доставку ценности (delivery) в уже сформированной и сработанной команде. Это роль на стыке delivery и product thinking: не только «делать быстрее», но и доставлять правильную ценность в нужный момент с предсказуемым результатом. Роль сфокусирована на: донесении реальной ценности исходя из потребностей клиентов, ускорении поставки, повышении предсказуемости, улучшении качества, системной работе с процессами и метриками. Перед командой стоит задача создать новый продукт с нуля — универсальный сценарий оплат и переводов для физических лиц с использованием QR (разные типы QR в едином клиентском опыте в мобильном приложении). Зона ответственности 1. Delivery и поток ценности Обеспечение стабильной и предсказуемой поставки продуктовых инкрементов Управление backlog’ом с фокусом на бизнес-ценность и time-to-market Баланс между скоростью, качеством и техническим долгом Обеспечение прозрачности планирования и выполнения (commitment vs fact) 2. Работа с командой Работа с уже сформированной кросс-функциональной командой (SA, iOS, Android, Backend, QA, Product designer) Поддержка и развитие автономности команды Снятие блокеров и организационных ограничений Ключевой фокус роли Delivery без хаоса Скорость без потери качества Предсказуемость без бюрократии Продуктовое мышление внутри delivery Мы предлагаем: Конкурентоспособную оплату труда. Мы ориентируемся на верх рынка и обсуждаем условия индивидуально. Гибкий формат работы. Официальное трудоустройство и прозрачные условия сотрудничества. Интересные проекты. Вам предстоит работа с масштабной инфраструктурой и сложными инженерными задачами. Влияние на продукт и процессы. Мы открываем возможность предлагать решения и внедрять изменения. Профессиональный рост. Поддержка развития, возможность расти до лид/экспертных ролей Сильная команда. Вам предстоит работа с опытными инженерами, обмен знаниями и best practices. Адекватный менеджмент. Мы работаем по принципу доверия к команде. Комфортная рабочая среда. У нас открытая коммуникация и здоровая атмосфера.  Уважаемый кандидат, пожалуйста, в сопроводительном письме укажите также актуальные ожидания по уровню дохода (net) в тенге.",,,более 6 лет,,https://almaty.hh.kz/vacancy/132157368
QA Automation Engineer (Mobile),,,Itransition,,"We are looking for a QA Automation Engineer to join our team, ensuring top-notch software quality, documenting issues, and working closely with international teams on projects for European clients. Requirements: Knowledge of testing tools such as Appium, Webdriverio, Browserstack and coding using Javascript Knowledge of Page Object Model API testing using Postman Experience with testing native apps on Android/iOS Ability to work as part of a team or as an individual Self-starter and quick learner Excellent communication skills English level B2+ Experience of the agile software project life cycle and where testing fits into it Experience with JIRA and Confluence Experience with Git/GitHub Nice to have: Knowledge of mobile automation frameworks (for example Appium) Postgres/SQL Heroku console Circle CI Expo We offer: Projects for such clients as PayPal, Wargaming, Xerox, Philips, adidas and Toyota Competitive compensation that depends on your qualification and skills Career development system with clear skill qualifications Flexible working hours aligned to your schedule Options to work remotely Compensation for medical expenses English courses online Corporate parties and events for employees and their children Internal conferences, workshops and meetups for learning and experience sharing Gym membership compensation, corporate sport competitions (cybersport included) 5 days of paid sick leave per year with no obligation to submit a sick-leave certificate",,,1–3 года,,https://almaty.hh.kz/vacancy/130787325
Lead Unity Software Engineer (Gameplay),,,ТОО Playrix,,"Playrix — одна из самых успешных компаний по разработке мобильных игр в мире. По доходам среди всех мобильных приложений мы входим в топ-3 в мире, а в Европе мы первые. Наши игры установили 2,3 миллиарда раз (треть населения Земли), каждый день в них играет более 30 миллионов людей по всему миру! У нас большие планы на развитие и рост наших проектов, именно поэтому мы ищем сильнейших экспертов в наши команды разработки. Если ты работаешь с Unity, но хотел бы попробовать свои силы в С++, мы готовы тебе помочь. Команды разработки для нас - ядро компании, благодаря которому наши игры растут и развиваются уже 21 год. Lead Software Engineer – драйвер технического развития продукта, который ведет и развивает команду с точки зрения архитектуры, качества, культуры разработки и инженерных практик. В каждом проекте у нас есть основные направления: Фичевое: разработка событий и мини-игр с нуля (от различных соревнований до мини-игр типа Merge); Техническое: оптимизация, поддержка технической стабильности, SDK (сокращение скорости загрузки, потребление памяти и др.); Match-3 и мета: работа с графикой и основной механикой игры (добавление нового функционала, рефакторинг и оптимизация). Задачи, которые предстоит решать: People management: ответственность за развитие, найм/увольнение, оценку команды; Развитие процессов внутри команд (как на уровне команды, так и на уровне всей разработки на проекте); Продюсирование: решение сложных технических проблем на проектах, разработка архитектуры решения и обеспечение быстрой реализации; Контроль стабильности и качества программной части игры; Code review и design review; Программирование и рефакторинг игровой логики. Наш стек: Языки: С++, для единичных задач Lua и Python; Графика: OpenGL ES и Metal; Собственный движок, похожий на Unity или Unreal, который мы постоянно развиваем; Продвинутый CI/CD, автоматическое тестирование, процессы code review и многое другое; AI-ассистенты: используем Cursor для автоматизации и ускорения разработки (от рутинных задач до планирования и декомпозиции). Мы ожидаем: Опыт разработки коммерческих проектов на С++ и/или Unity не менее 3 лет; Опыт разработки проектов, выпущенных в production; Опыт управления командой программистов (3+ человек) не менее года. Будет плюсом: Уверенное владение современными стандартами С++ 14/17, а также STL; Опыт работы с популярными игровыми движками (Unity, Unreal, Godot, Cocos2D, Defold и т.д.); Опыт работы с AI-помощниками для разработки (Cursor, Copilot и др.); Опыт разработки мобильных казуальных игр. У нас классно, потому что у нас есть: Открытая коммуникация и прозрачность в принятии решений, обмен опытом внутри команд. Фокус на качестве и надежности кода. Упор на развитие продуктового видения у каждого специалиста в компании. Наши разработчики представляют, как та или иная фича будет работать у пользователя, и сами играют в игры, которые разрабатывают. Возможность менять процессы и подходы на более эффективные без долгих согласований и бюрократии. Понятные возможности развития в технического директора, программинг менеджера или проджект менеджера. Мы активно используем Cursor и другие AI-инструменты в процессе разработки — у тебя будет возможность работать на переднем крае технологий, делиться опытом и формировать лучшие практики их применения. Мы предлагаем: Гибкость в работе: Для большинства позиций у нас гибкий график и удалённый формат работы. Мы ориентируемся на результат, а не на место или способ выполнения задач. Забота о здоровье и well-being: Предоставляем ДМС для сотрудников и их детей, компенсируем онлайн-сессии с психологом. Сохраняем 100% зарплату во время отпуска или больничного без лишних справок. А для особых случаев предоставляем дополнительные выходные. Поддерживаем здоровый образ жизни и компенсируем покупку спортивных абонементов и подписку на фитнес-приложения. Развитие и обучение: Оплачиваем участие в профильных конференциях и курсах, проводим внутренние конференции. Компенсируем изучение иностранного языка. Ивенты и мерч: Регулярно проводим развлекательные и рабочие мероприятия в офлайн-режиме: встречи команд, крупные корпоративные вечеринки и более лайтовые пати в офисах. Также регулярно проводим развлекательные конкурсы, квизы, хакатоны, спортивные челленджи в режиме онлайн. Собственный магазин мерча с внутренней валютой, где можно купить уникальные подарки. Валюту дарим на значимые даты, также ее можно заработать, участвуя в мероприятиях и брендовых активностях. Отправляя отклик на нашу вакансию, вы соглашаетесь, что ваши персональные данные, собранные во время собеседований в Playrix, будут обрабатываться компанией.",,,более 6 лет,,https://almaty.hh.kz/vacancy/107216642
Flutter-разработчик (Mobile) / GeOnline,,Астана,ТОО БІЛІМ CONSULTING,,"О компании GeOnline — образовательная EdTech-платформа для подготовки к ЕНТ. У нас активное мобильное приложение, которое собирает все необходимое для ученика в одном месте Задачи Разработка мобильного приложения на Flutter (iOS + Android) Реализация геймификации Улучшение существующего функционала Интеграция с backend (REST API) Участие в проектировании архитектуры приложения Оптимизация производительности и стабильности Подготовка и публикация приложения в App Store и Google Play Требования Опыт коммерческой разработки на Flutter от 2 лет Уверенное владение Dart и Flutter SDK Опыт разработки и поддержки мобильных приложений (iOS + Android) Понимание архитектур (MVVM / Clean Architecture / BLoC / Provider) Опыт работы с REST API, JSON Уверенное владение Git Опыт публикации приложений в App Store и Google Play Будет плюсом Опыт работы с Firebase (Auth, FCM и др.) Опыт реализации push-уведомлений Опыт работы с платежными системами Базовые знания CI/CD Опыт в EdTech или продуктовой разработке Мы ищем человека, который Умеет доводить задачи до результата, а не просто писать код Готов работать в условиях быстро меняющегося продукта Думает не только как разработчик, но и как продуктовый специалист Умеет самостоятельно принимать решения и предлагать улучшения Условия Офис в Астане Формат: full-time Конкурентная заработная плата (обсуждается по результатам собеседования) Возможность влиять на продукт и архитектуру Рост до ведущего разработчика / mobile lead Работа в быстрорастущем EdTech-проекте",,,1–3 года,,https://almaty.hh.kz/vacancy/132803228
