title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Старший специалист финансового отдела,от 650 000 до 1 000 000 ₸ за месяц,Алматы,Частная компания “Automated Communication Solutions Ltd.”,,"Частная компания “Automated Communication Solutions Ltd.” Мы — динамично развивающаяся IT-компания, которая преобразует бизнес-коммуникации с помощью AI-технологий. Наша миссия — создавать инновационные решения, повышающие эффективность компаний по всему миру. Для усиления нашей команды мы ищем опытного специалиста, который возьмет на себя координирование финансово-бухгалтерской командой. Чем вы будете заниматься: Финансовый и управленческий анализ: Анализ финансовых показателей (P&L, CF, BS). Выявление отклонений, рисков и точек роста. Подготовка аналитики для руководства и собственников. Составление финансовой и управленческой отчетности: Формирование регулярной отчетности в соответствии с требованиями компании. Консолидация данных для предоставления руководству. Составление бюджета: Участие в разработке бюджетов и прогнозов. Контроль исполнения бюджета, анализ отклонений. Управление денежными потоками: Мониторинг и планирование денежных потоков. Оптимизация платежных процессов. Координация работы отдела/менторство: Координация взаимодействия внутри команды. Наставничество для младших специалистов, помощь в решении сложных задач. Участие в оптимизации процессов отдела. Наш идеальный кандидат: Опыт в финансах / учете от 3 лет (важно: управленческий учет, не только бухгалтерия) Уверенные знания: управленческой отчетности бюджетирования анализа финансовых показателей Продвинутый уровень 1С, Excel (сводные таблицы, формулы) Навыки координации или неформального лидерства Системное мышление, инициативность, ответственность за результат Мы предлагаем: Работа в быстрорастущей IT-компании (AI-продукты) Реальное влияние на финансовые процессы и решения Перспектива роста до Руководителя направления Обучение и развитие за счет компании Современный офис в Алматы (пр. Достык 132) Официальное трудоустройство График: 5/2, 9:00–18:00",,,3–6 лет,,https://almaty.hh.kz/vacancy/132075191
IT-специалист,,Алматы,ТОО Crowe Outsourcing KZ (Кроу Аутсорсинг КЗ),,,"Техническая поддержка пользователей; Работа с системами мониторинга и HelpDesk; Возможность активно участвовать в новых IT проектах; Выполнение обменов данными между базами 1С (загрузка/выгрузка реализаций, справочников и документов); Поддержка пользователей 1С (бухгалтеры): приём обращений и передача технической задачи подрядчиками по сопровождению 1С; Помощь с настройка пользователей, прав доступа. Требования к кандидату: Ответственность; Уверенное знание ОС Windows на уровне администратора; Базовые знания 1с; Грамотная деловая письменная и устная грамотность, умение работать с поставщиками и клиентами; Знание английского будет плюсом; Пунктуальность, опрятный внешний вид.",,1–3 года,,https://almaty.hh.kz/vacancy/132650452
"Специалист технической поддержки (GPS-мониторинг, Wialon)",от 300 000 до 400 000 ₸ за месяц,Алматы,ТОО DELTA CONTROL SYSTEMS,,"Опыт работы от 1 года в технической поддержке или IT. Знание и опыт работы с Wialon. Навыки работы с Service Desk. Уверенный пользователь ПК. Понимание принципов GPS-мониторинга. Будет плюсом: Опыт работы с конфигураторами устройств (Navtelecom, GalileoSky, Umka, ArNavi). Опыт взаимодействия с клиентами в режиме техподдержки. Высшее/незаконченное высшее или среднее специальное образование. оборудования. Ожидаемые результаты: * Через 1 месяц — самостоятельное сопровождение монтажей. * Через 3 месяца — решение нестандартных запросов клиентов. * Через 6 месяцев — подбор оборудования под задачи клиента, получить сертификат Wialon. * Через 12 месяцев — умение составлять ТЗ и самостоятельно решать не стандартные задачи, проводить технический анализ","Принимать обращения клиентов через систему заявок, почту и мессенджеры. Настраивать и сопровождать работу GPS/Глонасс-терминалов. Подключать объекты и пользователей в Wialon (Hosting/Local), настраивать отчёты и ретрансляцию данных. Консультировать клиентов по работе в Wialon, Fleetrun, Logistics, Omnicomm Online, Gelios, ГЛОНАССSoft. Проводить анализ достоверности данных (скорость, пробег, топливо). Сопровождать монтаж оборудования у клиентов.",,1–3 года,,https://almaty.hh.kz/vacancy/132008421
Специалист по закупкам,,Нур-Султан (Астана),ТОО Logitex,,"Опыт работы с 1С (обязательно) Понимание первичной бухгалтерской документации; Опыт в закупках / снабжении / складе / бухгалтерии — будет преимуществом; Внимательность, ответственность, системность; Готовность обучаться и развиваться в IT-сфере.","Организовывать закуп оборудования под проекты (видеонаблюдение, кабельная продукция, контроллеры и др.) Взаимодействовать с поставщиками: запросы, согласование цен, сроки; Контролировать поставки: от заказа до поступления на склад; Вести учёт в 1С (приходы, перемещения, документы); Следить за остатками на складах и вовремя пополнять запасы; Участвовать в мониторинге цен и поиске выгодных условий; Работать с первичной документацией; Контролировать дебиторскую задолженность.",,1–3 года,,https://almaty.hh.kz/vacancy/132718123
Video Editor (AI-Enabled & Social Media Specialist),от 1 000 до 2 000 $ за месяц,Майами,SCOAST,,"About the Role We're seeking a talented Video Editor to join our fast-growing direct-to-consumer ecommerce brand. This is not your typical editing role—we need someone who combines exceptional video editing skills with cutting-edge AI expertise and a deep understanding of social media content creation. You'll be responsible for producing high-engagement content that drives conversions and builds our brand across multiple platforms. Key Responsibilities Video Production & Editing • Edit high-quality video content for paid ads, organic social media, website, and email campaigns • Create compelling UGC-style content that resonates with our target audience • Produce scroll-stopping social media content optimized for TikTok, Instagram Reels, YouTube Shorts, and other platforms • Edit B-roll footage and integrate it seamlessly into final productions • Maintain brand consistency while adapting content for different platforms and formats • Collaborate with creative and marketing teams to bring campaign visions to life AI-Powered Content Creation • Leverage AI video generation tools (Veo 3, Sora, or similar) to create supplementary content and B-roll • Utilize 11 Labs for AI voiceovers, dubbing, and audio enhancement • Integrate AI-generated assets into video productions to enhance efficiency and creativity • Stay current on emerging AI video and audio tools and implement them into workflows • Use ChatGPT, Claude, Gemini, Perplexity, or other AI tools for research, scripting, and optimization Strategy & Optimization • Understand platform-specific best practices for maximum engagement • Analyze performance metrics and iterate on content strategy • Conduct research using AI tools to stay ahead of trends and competitor strategies • Work closely with creative and marketing teams to align video content with campaign goals Required Skills & Qualifications Technical Expertise • Expert proficiency in Adobe Premiere Pro, Final Cut Pro, or DaVinci Resolve • Strong skills in After Effects for motion graphics and visual effects • Proven experience editing UGC (User Generated Content) and social-first video • Portfolio demonstrating high-engagement social media content • Strong attention to detail and commitment to quality AI & Emerging Technology • Hands-on experience with AI video generation tools (Veo 3, Sora, or similar platforms) • Proficiency with 11 Labs or similar AI audio/voice tools • Comfortable using ChatGPT, Claude, Gemini, Perplexity, or other LLMs for research and workflow optimization • Eagerness to adopt and master new AI tools as they emerge • Understanding of how to blend AI-generated content with traditional editing Social Media & Content Strategy • Deep understanding of TikTok, Instagram Reels, YouTube Shorts formats and best practices • Experience creating high-performing UGC-style ads and organic content • Knowledge of platform-specific optimization (aspect ratios, captions, hooks, CTAs) • Understanding of direct-response marketing principles for ecommerce Professional Skills • Excellent time management with ability to handle multiple projects • Self-motivated and able to work independently in a remote environment • Strong communication skills for collaboration with creative and marketing teams • Creative problem-solver who takes initiative • Reliable internet connection and professional home setup for remote work  How to Apply Please submit your resume and a cover letter. Mandatory: Your cover letter must include a direct link to your portfolio showcasing your video editing work, AI-integrated content, and high-engagement social media examples. Applications submitted without a portfolio link in the cover letter will not be reviewed.",,,3–6 лет,,https://almaty.hh.kz/vacancy/132443725
Специалист по работе с лидами / первичными продажами (SDR),,,,,,"Поиск и привлечение лидов (B2B, англоязычные рынки). Разработка и запуск outreach-кампаний (email, LinkedIn). Обработка входящих откликов, работа с возражениями. Квалификация лидов, передача их в работу sales-команде. Анализ ключевых метрик, A/B-тестирование стратегий. Оптимизация процессов генерации лидов, работа с автоматизацией. Ожидаемые результаты: Автоматизированные и эффективные процессы генерации лидов. Выстроенный pipeline качественных SQL-лидов. Повышенная конверсия из первого касания в встречу. Оптимизированные метрики outbound-кампаний. Улучшенная предсказуемость воронки продаж. Что важно для этой роли Опыт от 3 лет в B2B lead generation на англоязычных рынках. Умение разрабатывать и реализовывать стратегии генерации лидов в соответствии с бизнес-целями. Опыт работы с автоматизированными инструментами для email и LinkedIn outreach. Навыки составления списков лидов на основе гипотез. Отличные коммуникативные навыки (устные и письменные). Глубокое понимание внутренних структур организаций и трендов в IT. Развитые аналитические навыки. Способность оптимизировать и автоматизировать процессы генерации лидов. Глубокое понимание ключевых метрик lead generation. Английский на уровне C1. Мы предлагаем: Возможность создать и развивать аналитическую функцию компании с нуля. Участие в формировании стратегии и принятии ключевых продуктовых решений. Сильную команду профессионалов и амбициозные задачи на международных рынках. Гибкий график и удалённый формат работы Оформление через Service Agreement.",,1–3 года,,https://almaty.hh.kz/vacancy/132808727
Senior Salesforce & Amazon Connect Specialist,,,Itransition,,"We are looking for a high-level strategist who can design, implement, and deploy Salesforce Service Cloud implementation with Amazon Connect from the ground up and enforce best-in-class standards for telephony and Salesforce development. What we expect from you: 5+ years of experience in IT, specifically focusing on Salesforce and Cloud Telephony. Proven expertise in planning and implementing Salesforce Service Cloud with Amazon Connect. Advanced hands-on experience with the Salesforce Service Console, CTI integration, and Omni-Channel. Deep understanding of Amazon/Salesforce best practices. English skills should be sufficient for leading technical discussions and presenting architectural decisions. It would be a plus to have: Relevant certifications such as Salesforce Service Cloud Consultant or AWS Certified Solutions Architect. Experience in setting up automated testing for voice paths and CI/CD for AWS/Salesforce deployments. Experience in creating high-level technical documentation, including data flow diagrams and ERDs. We can offer: Projects for such clients as PayPal, Wargaming, Xerox, Philips, adidas and Toyota Competitive compensation that depends on your qualification and skills Career development system with clear skill qualifications Options to work remotely Compensation for medical expenses English courses online Corporate parties and events for employees and their children Internal conferences, workshops and meetups for learning and experience sharing Gym membership compensation, corporate sport competitions (cybersport included) 5 days of paid sick leave per year with no obligation to submit a sick-leave certificate",,,3–6 лет,,https://almaty.hh.kz/vacancy/132447525
Системотехник / IT-специалист,450 000 ₸ за месяц,Караганда,ТОО Карагандинское горно-строительное предприятие,,Опыт работы системотехником / системным администратором. Знание сетей и Windows. Умение работать самостоятельно и выезжать на объекты. Техническое мышление.,"Обслуживание и настройка компьютеров (Windows, офисные программы). Поддержка пользователей (ПК, интернет, почта, периферия). Настройка локальной сети, роутеров и доступа в интернет. Администрирование Kerio Control. Резервное копирование и обновление ПО. Установка и контроль антивирусов. Поддержка 1С. Видеонаблюдение и видеорегистраторы на технике. Радиосвязь и GPS-трекеры. Интернет на удалённых объектах (Starlink / 4G). Инвентаризация и учет IT-оборудования.",,3–6 лет,,https://almaty.hh.kz/vacancy/130462311
Специалист по переписке с клиентами,от 135 000 до 350 000 ₸ за месяц,,Частная компания “Automated Communication Solutions Ltd.”,,"Способность к быстрому обучению Хорошие навыки работы на компьютере и знание ПО (MS Office, Google Workspace); Знание русского языка (грамотная устная и письменная речь) Активность и ответственность Мы предлагаем: Перспективы роста в позиции и зарплате: Старший специалист / Team Lead Официальное трудоустройство Сопровождение наставниками, которые помогают на всех этапах адаптации к работе Работу в комфортной и дружелюбной среде Если эта вакансия Вам интересна, пишите на указанный номер телефона в контактах (Ватсап, Телеграм) или откликайтесь тут","Рассылка сообщений потенциальным клиентам по шаблонам, ведение переписки с клиентами, предоставление необходимой информации (только письменная работа); Организация встреч менеджеров по продажам и потенциальных клиентов (письменно) Поддержание связи с клиентом до назначенной встречи Формирование базы данных клиентов",,не требуется,,https://almaty.hh.kz/vacancy/132714459
Специалист по государственным закупкам/Сотрудник отдела договоров,от 350 000 ₸ за месяц,Петропавловск,ТОО Центр информационных отраслевых решений ИНТЕГРО,,"• Опыт работы в сфере государственных закупок (от 1–2 лет) • Знание законодательства РК о государственных закупках • Владение казахским и русским языками (устно и письменно) — обязательно • Уверенное владение ПК, опыт работы с электронными торговыми площадками • Внимательность, ответственность, умение работать с большими объёмами информации • Желательны базовые знания в сфере IT или опыт работы с IT-проектами","• Участие в тендерах и конкурсах по государственным закупкам (электронные площадки, в том числе goszakup.gov.kz) • Подготовка, оформление и подача тендерной документации • Мониторинг государственных закупок и поиск релевантных тендеров • Взаимодействие с заказчиками и поставщиками, ведение переговоров • Разработка, согласование и контроль исполнения договоров • Сопровождение контрактов на всех этапах (от подписания до закрытия) • Ведение внутреннего документооборота по закупкам • Контроль сроков, качества и условий поставки товаров/услуг",,1–3 года,,https://almaty.hh.kz/vacancy/132183694
