title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
"Senior Data Scientist, Отдел развития и внедрения AI",,Алматы,АО KMF Банк,,"Что делать? Разрабатывать модели и аналитические решения для бизнес задач, такие как: churn prediction, propensity to buy / respond / convert, next best action, и других прикладных ML-задач. Проводить полный цикл работы над моделью Определять подход к выбору модели, метрик и дизайну экспериментов. Оценивать бизнес эффект моделей и формировать понятную логику использования результата в процессах банка. Совместно с бизнесом и аналитиками переводить бизнес-вопрос в измеримую DS-задачу. Работать с ML Engineers над выводом моделей в production. Контролировать качество признаков, данных и методологии моделирования. Проводить углубленный анализ результатов модели Наставлять middle и junior специалистов, помогать им по методологии, качеству анализа и постановке задач. Участвовать в защите решений перед бизнес-заказчиками и внутренними командами. Если у вас: Опыт работы Data Scientist от 4–6 лет. Уверенное владение Python и основными библиотеками для анализа данных и ML. Сильная база в классическом machine learning Опыт решения прикладных бизнес-задач на данных. Умение самостоятельно вести проект от постановки задачи до внедрения. Опыт работы с табличными данными, клиентской аналитикой, маркетинговыми или риск-моделями. Понимание метрик качества моделей и их связи с бизнес-результатом. Опыт оценки бизнес-эффекта ML-решений. Хорошие навыки коммуникации с бизнесом и техническими командами. Умение структурировать задачу и принимать методологические решения. Ключевые навыки: Разработка ML-моделей под бизнес-задачи банка Постановка DS-задач совместно с бизнесом Построение моделей churn / next best action Клиентская сегментация Feature engineering Валидация и сравнение моделей, back-testing Подбор метрик под бизнес-задачи Оценка бизнес-эффекта моделей Анализ стабильности и деградации моделей Интерпретация результатов Подготовка рекомендаций для бизнеса Наставничество middle специалистов Стек: Языки: Python, SQL Анализ и ML: pandas, numpy, scikit-learn, xgboost, lightgbm, catboost Визуализация: matplotlib, seaborn, plotly Эксперименты и трекинг: MLflow Среда работы: Jupyter Notebook / JupyterLab Данные: PostgreSQL, object storage, feature datasets Инженерное взаимодействие: Git Дополнительно: A/B analysis, campaign analytics, uplift-related approaches Что мы предлагаем: Официальное трудоустройство в соответствии с Трудовым кодексом РК; График работы на выбор: 08:30–17:30 / 09:00–18:00 / 09:30–18:30; Ежегодный оплачиваемый отпуск — 28 календарных дней; После прохождения испытательного срока: Кафетерий льгот на сумму 250 000 тг. в год (медицинское страхование, обучение, спорт, развитие детей, авиа- и ж/д билеты); 2 дополнительных дня Day Off в год; Дополнительно: Лечебное пособие в размере одного оклада при выходе в отпуск (после 1 года работы, при отпуске от 14 дней).",,,3–6 лет,,https://almaty.hh.kz/vacancy/132346002
Специалист по внедрению ИИ,,Астана,ПК AKASHI Data Center PLC,,"Обязательные профессиональные навыки * Понимание принципов машинного обучения, NLP, LLM Опыт внедрения AI-решений в реальных бизнес-процессах Умение формализовывать бизнес-задачи в технические требования Опыт работы с Python Понимание API, REST-сервисов, интеграций Навыки работы с базами данных (SQL, NoSQL) Опыт использования AI-платформ и фреймворков (OpenAI API, LangChain, Hugging Face, AutoML и др.) Базовые знания DevOps-подходов (Docker, CI/CD — на уровне взаимодействия) Желательные навыки / Будет плюсом Опыт внедрения корпоративных AI-ассистентов и чат-ботов Знание MLOps-подходов Опыт работы с RPA (UiPath, Power Automate и аналоги) Навыки data engineering / data analytics Опыт работы с облачными платформами (AWS, Azure, GCP) Опыт управления AI-проектами или участия в кросс-функциональных команда Личные качества Аналитическое мышление Умение объяснять сложные технические вещи простым языком Инициативность и ориентация на результат Самостоятельность и ответственность Готовность работать в условиях неопределённости Коммуникабельность и навыки командной работы","Анализ бизнес-процессов компании и выявление задач, подходящих для внедрения ИИ-решений Проектирование и внедрение AI/ML-решений (включая LLM, RPA, интеллектуальные ассистенты, аналитические модели) Взаимодействие с бизнес-подразделениями для сбора требований и формализации задач Подбор инструментов, платформ и архитектуры AI-решений Интеграция AI-моделей с существующими ИТ-системами (CRM, ERP, BI, внутренние сервисы) Настройка, тестирование и сопровождение AI-систем на этапе внедрения и эксплуатации Оценка эффективности внедрённых решений (ROI, KPI, метрики качества) Подготовка технической и пользовательской документации Участие в обучении сотрудников работе с AI-инструментами Мониторинг новых технологий и практик в области ИИ и их адаптация под задачи компании",,3–6 лет,,https://almaty.hh.kz/vacancy/132222465
Senior Machine Learning Engineer,,Алматы,АО KMF Банк,,"Что делать? Проектировать и развивать production-среду для ML-решений банка. Строить end-to-end пайплайны обучения, валидации, деплоя и переобучения моделей. Обеспечивать промышленный вывод моделей, разработанных Data Science / CV / NLP командами, в production Обеспечение промышленного развертывания, развития, и поддержки моделей Настраивать и сопровождать MLflow, model registry, версионирование моделей и артефактов. Развивать feature store на базе Feast: структура фичей, доступ, онлайн/оффлайн контуры, переиспользование признаков. Строить сервисы для инференса моделей и AI-решений через API. Обеспечивать разделение test/prod среды и понятный процесс вывода решений в production. Настраивать мониторинг качества моделей и сервисов: Определять инженерные стандарты: Участвовать в проектировании архитектуры AI/ML-платформы и помогать выбирать технологический подход. Если у вас: Опыт работы в ML Engineering / MLOps / Production ML от 4–6 лет. Опыт работы с MLflow, feature store, model deployment. Понимание CI/CD для ML-сервисов. Опыт упаковки моделей и сервисов в API. Опыт работы с Docker / Kubernetes / KServe или аналогичным стеком. Понимание, как переводить notebook/data science разработку в production. Опыт построения мониторинга моделей и inference-сервисов. Понимание архитектуры ML-систем: batch, near real-time, online inference. Будет плюсом: Опыт в банковской сфере или финтехе. Опыт с Feast. Опыт с LLM-сервисами и inference для генеративных решений. Опыт работы с on-prem платформами. Опыт проектирования test/prod окружений для ML. Опыт работы с документной обработкой, OCR, AI-assistants. Стек: Языки: Python, SQL ML/MLOps: MLflow, Feast Сервинг и API: FastAPI, REST API, KServe Инфраструктура: Docker, Kubernetes Хранилища и данные: PostgreSQL, S3 / object storage, Redis CI/CD и разработка: Git, GitLab CI/CD Что мы предлагаем: Официальное трудоустройство в соответствии с Трудовым кодексом РК; График работы на выбор: 08:30–17:30 / 09:00–18:00 / 09:30–18:30; Ежегодный оплачиваемый отпуск — 28 календарных дней; После прохождения испытательного срока: Кафетерий льгот на сумму 250 000 тг. в год (медицинское страхование, обучение, спорт, развитие детей, авиа- и ж/д билеты); 2 дополнительных дня Day Off в год; Дополнительно: Лечебное пособие в размере одного оклада при выходе в отпуск (после 1 года работы, при отпуске от 14 дней).",,,3–6 лет,,https://almaty.hh.kz/vacancy/132317273
Data engineer (Middle),,Алматы,АО Банк ЦентрКредит,,,"Разработка и сопровождение ETL/ELT-процессов Нормализация, дедупликация, унификация и консолидация данных из разных источников. Разработка схем данных и построение связей между сущностями. Работа с Greenplum, PostgreSQL, Oracle Оптимизация SQL-запросов и создание представлений (views, materialized views). Настройка оркестрации и автоматизации пайплайнов (Airflow и др.). Контроль качества данных (Data Quality) Поддержка интеграций с аналитическими, ML- и LLM-сервисами. Опыт работы с микросервисной архитектурой и шлюзами данных API Gateway. Технические требования Основной стек: Python: опыт написания production-скриптов SQL уверенные знания PostgreSQL, Greenplum, Oracle ETL-инструменты: Airflow Базы данных: опыт проектирования и администрирования реляционных БД. Работа с API: REST, JSON, XML. Инфраструктура опыт работы в *Linux / nix-среде, знание Docker, Git. Мониторинг и логи: Grafana. Будет плюсом: Опыт построения хранилищ данных (Data Lake, Data Warehouse). Опыт интеграции с ML/LLM-сервисами или аналитическими платформами. Знание архитектуры DWH (ODS, DDS, Staging). Опыт работы с Kafka, Redis, MinIO, ClickHouse. Опыт и квалификация От 2 до 4 лет опыта работы на позиции Data Engineer / ETL Developer / Python Developer. • Практический опыт создания или оптимизации ETL-пайплайнов. Участие в проектах по интеграции данных из нескольких источников. • Понимание принципов качества, надёжности и воспроизводимости данных (DQ, lineage, validation)",,1–3 года,,https://almaty.hh.kz/vacancy/132119356
Data Scientist,,Алматы,ТОО Freedom Holding Operations,,,"Разработка и внедрение ML-моделей для решения бизнес-задач компании (регрессия, классификация, рекомендательные системы); Проведение полного цикла работы с данными: сбор, очистка, feature engineering, построение pipeline; Проектирование и проведение A/B-тестов, анализ результатов экспериментов; Выбор и оптимизация метрик качества моделей, настройка гиперпараметров; Разработка и поддержка инференса моделей в продакшене (API, скрипты); Мониторинг качества работающих моделей, выявление деградации и своевременное переобучение; Работа с SQL-запросами для извлечения и анализа данных; Визуализация результатов анализа и подготовка презентаций для стейкхолдеров; Перевод бизнес-требований в технические задачи Data Science; Приоритизация задач в бэклоге, управление сроками и рисками мини-проектов; Документирование кода, моделей и процессов; Командная работа с аналитиками, инженерами и продакт-менеджерами; Поддержка code review и соблюдение best practices разработки. Мы ожидаем от кандидата: Образование и опыт: Высшее образование (бакалавр/магистр) в области математики, статистики, Computer Science или инженерных специальностей; Опыт работы Data Scientist/ML Engineer от 2 лет в продуктовой компании или консалтинге; Опыт участия в полном цикле разработки ML-решений: от работы с данными до внедрения модели в продакшен. Технические навыки: Уверенное владение Python и основными библиотеками: NumPy, pandas, scikit-learn; Базовые знания PyTorch или TensorFlow; Уверенное владение SQL: написание JOIN, CTE, базовая оптимизация запросов; Опыт работы с инструментами визуализации данных (matplotlib, seaborn, plotly); Владение Git, написание чистого кода, базовые знания pytest. ML-компетенции: Практический опыт работы с задачами регрессии, классификации, кластеризации; Навыки подготовки данных и feature engineering (работа с пропусками, категориальными признаками, масштабирование); Опыт тюнинга гиперпараметров (Grid/Random Search, early stopping); Понимание принципов A/B-тестирования и основных статистических тестов (t-test, χ²); Опыт разработки рекомендательных систем. Аналитические навыки: Опыт дизайна экспериментов, проведения статистических тестов и power-анализа; Умение работать с продуктовыми метриками (CR, ARPU, LTV, retention); Грамотный выбор и интерпретация метрик качества моделей (ROC-AUC, PR-AUC, F1, calibration, uplift). Продакшен и инфраструктура: Опыт разворачивания моделей в продакшен (скрипты, API на Flask/FastAPI); Навыки логирования и базового мониторинга метрик моделей. Soft skills: Умение переводить бизнес-задачи в ML-постановки. Четкая коммуникация результатов для нетехнических аудиторий. Навыки визуального сторителлинга; Самостоятельность в ведении задач и управлении мини-проектами; Ответственность за сроки и результаты. Будет плюсом: Опыт работы с gradient boosting библиотеками (XGBoost, LightGBM, CatBoost); Опыт работы с большими данными (Spark, Dask); Знание deep learning архитектур (CNN, RNN, трансформеры); Опыт работы с MLflow, DVC, Docker, Airflow/Prefect.",,3–6 лет,,https://almaty.hh.kz/vacancy/131591146
Middle/Senior NLP Engineer,,Алматы,Kaspi.kz,,"Мы Kaspi.kz - крупнейшая технологическая компания в Казахстане, миссия которой - улучшать людям жизнь. Ежемесячно нашим супер приложением пользуются более 14 млн казахстанцев. Сейчас мы рассматриваем кандидатов на роль Middle/ Senior NLP Engineer. Работа в офисе Алматы, удаленку не рассматриваем! Основные направления, которые мы развиваем: Модерация контента/ отзывов/объявлений; Обогащение контента Магазина; Авто подбор HR; Анализ отзывов; Автоматизация классификации обращений; Виртуальный консультант; Развитие поиска в приложении Kaspi.kz. Основные задачи ML engineer: Подготовка данных для обучения модели; Эксперименты и обучения моделей; Выкатка модели в продакшн (в большинстве случае в виде сервиса); Анализ отработки модели, ее улучшений; Настройка системы мониторинга качества модели. Смело откликайся на вакансию, если уже погружался в NLP ML и подошел хотя бы по 3 параметрам: Есть опыт разработки и запуска в production на трансформерных (BERT, Sentence-BERT, T5) или традиционных архитектурах (fasttext, word2vec), Архитектуры LLM, генеративные LLMs & Написание промптов (Prompt Engineering); Опыт работы с Python (Numpy, Pandas,PyTorch, HuggingFace transformers); Оценка моделей. Метрики (Классификация: precision, recall, F1, ROC AUC, Ранжирование: NDCG, Recall@K, MRR, Генерация: BLEU, ROUGE, BERTScore); RAG (Комбинации LLM и поиска в БД, Векторные БД, ранжирование, Метрики (factual accuracy, grounding)) Уверенно пишешь SQL (если работал в SAS Enterprise Guide вольёшься в поток еще быстрее); Был опыт настройки CI\CD пайплайнов для ML моделей в среде GitLab, Docker, Kubernetes; Делал продуктовую аналитику (преимущество для телефонных переговоров операторов и голосовых ассистентов); Умеешь проводить A/B тесты; Мы предлагаем: Развитие и карьерный рост- грейдинг+ адаптация; Обучение, тренинги и курсы за счет компании; Бесплатный тренажерный зал в офисе; Электронная библиотека - Kaspi Books и доступное приложение к нему; Премия в виде оклада по результатам работы; Клубы по интересам (настолки, киберспорт);",,,3–6 лет,,https://almaty.hh.kz/vacancy/132195684
AI Engineer / LLM Engineer,,Алматы,ТОО Globerce Inc.,,"Опыт работы AI Engineer / Data Scientist / ML Engineer от 3 лет, с фокусом на NLP и LLM. Отличное знание Python. Практический опыт работы с: PyTorch, Hugging Face Transformers, LangChain / LangGraph или аналогами. Реальный опыт: дообучения LLM, построения RAG-систем, работы с embedding-моделями. Понимание принципов работы агентных систем (tool calling, planning, memory). Опыт работы с векторными БД: FAISS, Chroma, Milvus (или аналоги). Умение работать с текстовыми данными: подготовка датасетов, аугментация, генерация synthetic data. Понимание математических основ ML и DL.  Наши бенефиты: Удобный гибкий график работы. Трудоустройство по ТК РК. ДМС для сотрудников и их близких. Материальная помощь в различных жизненных ситуациях (рождение ребенка, свадьба, утрата близкого и тому подобное). Прозрачная система грейдирования. Бесплатное корпоративное обучение. Соревнования по кибер и спортивным дисциплинам. Тимбилдинги вне Алматы. Корпоративная техника (ноутбуки/мониторы). Технологичный офис в сердце Алматы.  Будем ждать ваших откликов!","Проектирование RAG-архитектур: разработка и оптимизация пайплайнов извлечения данных (chunking strategies, embedding selection, re-ranking). Prompt Engineering & Optimization: создание сложных системных инструкций, использование техник Chain-of-Thought, Few-shot, ReAct. Работа над воспроизводимостью ответов. Разработка AI-агентов: создание автономных систем на базе LangGraph, CrewAI или Haystack, способных планировать действия и использовать внешние API/инструменты. Оценка качества (Evaluation): внедрение метрик для измерения качества ответов и точности поиска (используя RAGAS, DeepEval или кастомные LLM-as-a-judge подходы) Обязательные",,3–6 лет,,https://almaty.hh.kz/vacancy/132283800
ML Engineer (NLP / RAG),от 400 000 до 800 000 ₸ за месяц,Астана,ТОО Dreamlab Technologies Ltd,,"• Уверенный Python • RAG-архитектуры, LangGraph, векторные БД • Интеграция LLM, промптинг • ML-сервинг (vLLM, LoRA, квантизация) • FastAPI (async) • MCP-серверы и tool-архитектуры","• Разработка и улучшение NLP/LLM решений (RAG, поиск, суммаризация, извлечение данных) • Реализация агентных сценариев на LangGraph и MCP • Создание продакшн-API на FastAPI • Оптимизация скорости и стоимости инференса",,1–3 года,,https://almaty.hh.kz/vacancy/130648164
Начальник отдела аналитики (DWH),,Алматы,ТОО Микрофинансовая организация ФРИДОМ ФИНАНС Кредит,,"Высшее образование: математика, статистика, экономика, IT или смежные направления Опыт работы с DWH от 3+ лет Опыт управления командой (от 1–2 лет) Глубокое понимание архитектуры DWH (MPP системы, принципы распределённых вычислений) Уверенный SQL (оптимизация, сложные запросы, оконные функции) Понимание ETL/ELT процессов и инструментов оркестрации Опыт работы с: Python (data pipelines, обработка данных) Greenplum BI-инструментами системами мониторинга и логирования — Опыт в банке или финтехе будет плюсом","Руководить направлением DWH: команда data engineers и аналитиков. Развивать архитектуру хранилища данных: проектирование, масштабирование, отказоустойчивость Обеспечивать стабильную и своевременную доставку данных. Отвечать за производительность DWH. Развивать инструменты оркестрации (например, Apache Airflow), мониторинга и алертинга Выстраивать процессы Data Governance: контроль качества данных (DQ) lineage и прозрачность потоков управление доступами и безопасностью Формировать витрины данных (data marts) под аналитические и ML-задачи Обеспечивать интеграцию с BI и DS-инфраструктурой Взаимодействовать с командами DS, риск-блоком и бизнесом Участвовать в выборе технологического стека и развитии платформы данных Готовить архитектурные решения и материалы для топ-менеджмента Обеспечивать соответствие требованиям регулятора (в части хранения, качества и доступности данных) Развивать культуру данных в компании — от постановки гипотез до интерпретации результатов",,3–6 лет,,https://almaty.hh.kz/vacancy/131990614
Senior GenAI Engineer,,Астана,ЧК «SHAI Ltd.»,,"О компании  SHAI.PRO — казахстанская AI-компания, создающая интеллектуальных агентов и GenAI-платформы для крупных организаций. Мы строим не чат-ботов, а production-grade AI-системы: агенты с памятью, RAG-архитектуры, multi-agent orchestration, интеграции с корпоративными системами и безопасные AI-решения для enterprise. Наша цель — стать ключевым AI-игроком в регионе и экспортировать AI-продукты за пределы Казахстана. ⸻ Задачи • Проектирование и разработка production-систем на базе LLM (RAG, tool-calling, agent workflows) • Реализация retrieval-пайплайнов (embeddings, vector DB, hybrid search, reranking) • Интеграция AI-агентов в backend-системы (REST API, CRM, ERP и др.) • Оптимизация latency, качества ответов и стоимости inference • Разработка и поддержка backend-сервисов (Python, FastAPI) • Работа с базами данных (PostgreSQL, Redis, vector DB) • Внедрение базовых MLOps-практик (логирование, мониторинг, версионирование моделей) • Code review и участие в инженерных обсуждениях ⸻ Требования • 5–7+ лет опыта в backend / ML / AI • Уверенный Python (async, API design, clean architecture) • Практический опыт работы с LLM API (OpenAI, Anthropic, open-source) • Опыт построения RAG-систем • Понимание embeddings и vector search • Опыт работы с PyTorch / HuggingFace • Опыт работы с Docker и деплоем в облаке • Понимание принципов масштабируемых систем ⸻ Будет плюсом • Опыт разработки multi-agent систем • Опыт fine-tuning (LoRA, adapters) • Опыт работы с LangChain / LlamaIndex • Опыт оптимизации inference-cost • Понимание AI security и governance ⸻ Условия • Работа над реальными AI-продуктами, а не прототипами • Быстрые итерации и живые клиенты • Минимум бюрократии • Прямая коммуникация с технической командой • Возможность профессионального роста",,,3–6 лет,,https://almaty.hh.kz/vacancy/132192532
