title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Project Manager,,Алматы,Andersen,,"Andersen is hiring a Project Manager for a project launching a POS financing solution, coordinating integrations, real-time workflows, and cross-team delivery to ensure smooth rollout and operations. The customer is a company operating in the financial domain, focused on building digital platform solutions that support transaction processing and customer interactions across various channels. The company develops configurable tools that can be adapted to different business needs, aiming to improve user experience, streamline operations, and enhance overall efficiency through data-driven approaches. The project is focused on launching and integrating a point-of-sale financing solution that enables customers to pay for services over time. It includes API-based workflows, underwriting logic, and customer communication, with an emphasis on real-time operations, issue resolution, and coordination across teams during rollout. Responsibilities: Serving as the primary point of contact for the airline partner during the rollout of the POS financing flow. Monitoring daily performance, managing requests, and providing timely updates on active issues. Ensuring stable operation of customer financing workflows, including application submissions, decisions, and payment steps. Investigating API/Webhook failures, integration inconsistencies, and transaction-level issues. Reviewing logs, analyzing error patterns, and identifying the root causes of technical incidents. Validating fixes and coordinating resolution with engineering, QA, and product teams. Owning the full incident lifecycle: triage → investigation → communication → resolution → post-incident summary. Maintaining clarity on SLAs and ensuring proper escalation of issues when required. Preventing temporary “band-aid” fixes by driving root-cause resolution and ensuring long-term stability. Must-haves: Experience in Project Management for 3+ years. Solid technical background. Strong understanding of API integrations, webhooks, authentication, and error handling. Experience in FinTech, payments, POS systems, loan/credit decisioning, or transactional platforms. Ability to analyze logs, trace errors, and identify root‑cause in distributed systems. Experience working with cloud platforms (Azure, AWS, or GCP). Familiarity with CRM tools (Salesforce preferred). Solid understanding of incident management and SLA‑based support Level of English – from Upper-Intermediate and above. Reasons why this job would be interesting to you: Experience in teamwork with leaders in FinTech, Healthcare, Retail, Telecom, and others. Andersen cooperates with such businesses as Samsung, Siemens, Johnson & Johnson, BNP Paribas, Ryanair, Mercedes, TUI, Verivox, Allianz, T-Systems, etc.. The opportunity to change the project and/or develop expertise in an interesting business domain. Job conditions – you can work both fully remotely and from the office or can choose a hybrid variant. Guarantee of professional, financial, and career growth! The company has introduced systems of mentoring and adaptation for each new employee. The opportunity to earn up to an additional 1,000 USD per month, depending on the level of expertise, which will be included in the annual bonus, by participating in the company's activities. Access to the corporate training portal, where the entire knowledge base of the company is collected and which is constantly updated. Bright corporate life (parties / pizza days / PlayStation / fruits / coffee / snacks / movies). Certification compensation (AWS, PMP, etc). Referral program. English courses. Private health insurance and compensation for sports activities. Join us!",,,3–6 лет,,https://almaty.hh.kz/vacancy/132619802
Logistics Manager,,Алматы,ТОО Хуавей Текнолоджиз Казахстан,,"Scenario-based logistics solution design: Take the lead in designing scenario-based logistics solutions based on customer, project, and product requirements, build and optimize logistics business standards and models, and schedule logistics resources to support the achievement of logistics service/delivery goals. (e.g. tower and DC scenarios) Logistics business management: Focus on the key points of logistics fulfillment, promote the on-site operation standardization solution, ensure the security and quality of physical goods, analyze and resolve the pain points in logistics business, promote the use of logistics management tools and IT platforms, improve the efficiency and accuracy of logistics operations, and continuously improve the logistics cost, cycle, and quality. Respond to customers' logistics requirements in a timely manner to ensure customer satisfaction. Cooperation resource management: ① Take charge of logistics bidding and resource strategy; be able to adapt and optimize the transaction units, quantity and price models, and responsibility framework of cooperation resources based on logistics business characteristics and industry regulations, and implement the implementation in bidding based on actual business. ② Take the lead in resource planning for logistics partners, assess resource capabilities and identify risks, participate in developing resource strategies and solutions, take the lead in effectively evaluating suppliers' capabilities and risks, qualify new suppliers, and participate in developing business cooperation strategies for cooperation resources. ③ Manage logistics expenses, and ensure the authenticity, reasonableness, and timeliness of transportation/warehousing expenses and completeness of supporting documents. ④ Manages LSPs' daily business and performance, and guides LSPs to improve their service quality through performance. Security compliance and regional logistics continuity management (CIAG/security/internal control/continuity, etc.): Customize and optimize the Manage Logistics and Return Process based on the country logistics business, adhere to the business redline, and ensure the compliance and continuous operation of the country logistics business. Improvement of logistics resilience capabilities: ① Key ports: Sort out the China-Kazakhstan port rail transportation and steam transportation entry and customs transfer declaration processes, identify resource and capability bottlenecks and decision-making roles at the Horgos, Alashan Pass, and Dostock stations, and establish cooperative relationships and influence. Establish communication mechanisms with key ministries of the General Administration of Customs, Ministry of Trade and Integration, and Caspian Sea Transport Alliance to support smooth operation of import, export, and transit business. ② Strengthen the trunk aorta, realize flexible scheduling, open up capillary channels, expand Kazakh ""one car to the end"" line, optimize the steam transportation period from 14 days to 7-10 days, and improve the project competitiveness. Build north-south routes, support the improvement of corporate-level logistics resilience, and realize flexible scheduling of north-south routes. ③ Investigate and regularly share the policies related to the transit scenario, and enable regions and partners. Routinely gain insights into the non-tariff measures of the Eurasian Economic Union and Kazakh policies related to specific goods, and build a capability sharing mechanism from relying on Country R to taking advantage of Kazakhstan's advantages. Team management: Improve the capability and atmosphere of the logistics team, take charge of the logistics team building, personnel management, and capability improvement of the rep office, and build an efficient national logistics team.",,,3–6 лет,,https://almaty.hh.kz/vacancy/132510679
Sales Manager,,Тимирязева 2д,ТОО КОНТИНЕНТ ИНВЕСТ ГРУПП ГОСТИНИЦА HOLIDAY INN ALMATY,,"At Holiday Inn® Hotels & Resorts our job is to bring the joy of travel to everyone. That’s where you come in. When you’re part of the Holiday Inn Hotels & Resorts brand you’re more than just a job title. At Holiday Inn we look for people who are friendly, welcoming and full of life; people who are always finding ways to make every guest’s experience an enjoyable one. Join us as Sales Manager in Holiday Inn Almaty. You’ll have ambition, talent and obviously, some key skills. We’re looking for someone who can: manage sales activities and events in line with the annual sales and marketing plan and to achieve/exceed budget and sales strategy monitor competitors’ activities and assist in marketing intelligence sell to new, existing, and prospective customers considering goals set forth in the sales strategy, negotiating an optimum rate for the benefit of the business develop and maintain contact with business generators, meeting, and convention planners, visitors, travel agents, tour operators, airlines, corporate accounts, Government plan and conduct familiarization tours and site inspections asist with the preparation of new products and services implement direction from Director of Sales and Marketing and Regional Managers work with DOSM in the preparation and management of the Department’s budget provide guests with information (example: loyalty programs, area attractions, restaurants, facility information) to enhance guest experience develop awareness and reputation of the hotel and the brand in the local community In return for your hard work, you can look forward to a highly competitive salary and benefits package – including Employment according to Labour Code of Republic of Kazakhstan Excellent opportunities for professional and career development Corporate training programs Attractive employee rates in all the IHG hotels worldwide Requirements: - high education (bachelor degree) - experience in hospitality business - fluent English Join us and you’ll become part of the global IHG family – and like all families, all our individual team members share some winning characteristics. As a team, we work better together – we trust and support each other, we do the right thing and we welcome different perspectives. You need to show us you care: that you notice the little things that make a difference to guests as well as always looking for ways to improve",,,1–3 года,,https://almaty.hh.kz/vacancy/131560588
Logistic Manager,от 500 000 до 700 000 ₸ за месяц,Алматы,ТОО ЯR Group,,"Aerospace Support International is a leading player in the aviation industry, specializing in buying & selling commercial aircraft parts worldwide. We are proud to be in this trade for over 32 years providing outstanding service and comprehensive support to a diverse range of clients, including airlines, aviation training schools, Maintenance and Repair organizations. As we expand our company, we offer you the opportunity to join our thriving team and play a key role in our growth. If you are: An energetic and motivated individual Eager to develop expertise in this field (comprehensive training will be provided from the ground up) Seeking a long-term, dedicated team member Patient, adaptable, and capable of learning quickly Comfortable with handling a variety of tasks and managing large volumes of information We are happy to have you on board! Qualifications required (preferably but not essential): Degree in Business, Supply Chain Management, or a related field Strong in English language Keen Eye to detail Strong skills in negotiation and communication Proficient in procurement software and Microsoft Office Key Responsibilities: Vendor Management: Find and negotiate with suppliers to get the best deals on materials and services. Compliance: Ensure all purchasing follows industry regulations and company policies. Contract Management: Prepare and handle contracts and agreements with suppliers. Market Analysis: Keep up with market trends, pricing, and new aviation products. System Proficiency: Use systems for raising purchase orders and pro forma invoices. Why Join Us? Competitive salary and benefits package. Travel opportunities to Europe & USA Opportunities for professional growth and development. Be part of a dynamic team in a fast-paced, innovative industry. Work with cutting-edge technology and industry leaders Schedule: 5/2 Working hours: 8 hours (from 2:00 PM to 11:00 PM; office hours from 2:00 PM to 8:00 PM, remaining hours can be worked remotely).",,,3–6 лет,,https://almaty.hh.kz/vacancy/132096601
E-comm Traffic Manager,,Алматы,ТОО Хайер Мидл Эйжа,,"Responsibilities: Digital Advertising Management (End-to-End); Full-cycle management of paid advertising for: e-commerce website, marketplaces; Control of all stages: planning → launch → optimization → scaling → reporting; Setting up tools to increase traffic on the website and marketplaces; Channels and Advertising Platforms Website (D2C)Meta Ads (Facebook / Instagram)Google Ads (Search, Display, Shopping, Performance Max)YouTube / TikTok Ads; Retargeting (site visitors, cart abandoners) Sales Funnel ManagementAnalysis and optimization of the entire funnel:impressions → clicks → PDP → add to cart → purchase; Optimization of: website landing pages marketplace product pages; Monitoring the impact of advertising on: conversion rate; Audiences and Segmentation; Creation and testing of: cold / warm / hot audiences look alike audiences (based on orders)retargeting (view, cart, purchase)A/B Testing creatives offers CTAs Analytics and Performance Monitoring; Working with analytics tools:GA4ad platforms BI / ExcelKey metrics: ROASCPA / CPO - to check revenue from AdsOrdersShare of Paid Traffic. Requirements: Experience as an e-commerce Traffic Manager; English proficiency is preferred. English can be used as working language; Be good at teamwork, cross-departmental communication skills and project management. Terms: Work in a successful international company with employment under the Labor Code of the Republic of Kazakhstan. Competitive salary. Friendly team. Corporate mobile communications.",,,3–6 лет,,https://almaty.hh.kz/vacancy/132509923
Computing product expert,,Астана,ТОО Хуавей Текнолоджиз Казахстан,,"Job Responsibilities: 1. Market insight of IT industry, co-work with account, partner team to achieve sales target. 2. Manage customer requirements: Understand customer strategies and pain points through strategic dialogue, business consultation, and customer insights. 3. Manage customer relationship: Manage relationship with technical members of customers, and support activities to develop organizational relationship. 4. Lead sales projects: Manage landscape, and opportunities, match corporate products/solution strategies, display solution value, and achieve sales targets. 5. Manage customer satisfaction: Manage customers' satisfaction with solutions. 6. Offer solution support for the senior management communication.  Requirements: 1. Deep knowledge in IT and AI related hardware technologies, such as server equipment HPE, Dell, storage, virtualization, with server working experience is preferred. 2. Fluent English communication, writing skills. 3. Readiness for occasional business trips",,,более 6 лет,,https://almaty.hh.kz/vacancy/131580828
Digital Manager,,Алматы,ТОО Smart Solutions Personnel,,"Mid-level experience or higher Preferably background in digital on the client side or within creative agencies English proficiency at B2+ Strong emphasis on reputation and cultural awareness Ability to think strategically, generate ideas, and see the bigger picture","Development and implementation of digital promotion strategies Content management across key platforms (YouTube, TikTok, Instagram, website, TV, etc.) Participation in offline activities and content creation at events Working on creative and strategic tasks within a team Ability to independently organize shoots and oversee production when necessary",,3–6 лет,,https://almaty.hh.kz/vacancy/131421686
Product Manager (Distribution),,,Genesis Group AG,,"🌍 We’re Hiring: Product Manager – Distribution 📍Location: Remote 💡 About Us Yesim is an international product IT company operating in the global eSIM and digital connectivity market. We are a fast-growing business with a strong focus on unit economics, scalability, and long-term value creation. At this stage of growth, we are strengthening our Product Line team to work on our connectivity domain, which includes Mobile Data (eSIM), Virtual Numbers, Voice, SMS, VPN, and bundled communication products. ✨ About the Role We are looking for a Product Manager – Distribution who will be responsible for developing and scaling additional sales channels outside of direct web and app sales. This includes partner distribution, embedded sales, platform integrations, and indirect sales channels. The role focuses on expanding product distribution through external platforms, partner ecosystems, and alternative sales channels to drive incremental revenue and user growth. 📝 Responsibilities Distribution Channels Launch and scale new indirect and alternative sales channels Expand product distribution through external platforms and partner ecosystems Develop reseller and partner distribution channels Support embedded and white-label distribution models Identify new distribution opportunities and channels Work on bundles and joint partner offers Expand product reach through partner-driven distribution Integrations & Embedded Distribution Define partner and platform integrations required for distribution Work with engineering on partner integrations Reduce integration time for new partners and platforms Define embedded purchase and distribution flows Support white-label and embedded product distribution Revenue & Performance Grow revenue from indirect sales channels Monitor performance by channel and partner Optimize pricing, bundles, and partner offers Analyze performance of distribution channels Improve conversion in partner and embedded channels You will focus on building and scaling new distribution channels, strategic partnerships, and platform-based product distribution to drive incremental growth and revenue. 🌍 Languages Russian — Native or fluent English — C1 🎁 What We Offer Remote-first culture with a high degree of autonomy. A chance to shape the connectivity framework of a company competing with the biggest players in the travel-tech space. Direct impact: Your work will directly influence product performance, market expansion, and financial success every single week. Let’s drive incremental growth together — send your CV! 🚀📈",,,3–6 лет,,https://almaty.hh.kz/vacancy/132419321
Продакт-менеджер,,Астана,Филиал Акционерного общества АКГЮН (КОМПЬЮТЕРНОЕ ПРОГРАММИРОВАНИЕ КОММЕРЧЕСКАЯ ФИРМА) в РК,,"Знание турецкого языка приветствуется; Опыт работы в медицинской организации приветствуется; Высшее медицинское образование (обязательно); Дополнительное образование в области IT / менеджмента / product management будет преимуществом; Умение работать в команде, хорошие коммуникативные и презентационные навыки, аналитический склад ума, клиентоориентированность; Пунктуальность; Ответственность.","Взаимодействие с реанимационными отделениями и ключевыми пользователями Участие в демонстрациях продукта для руководства клиник (главные врачи, заместители); Сбор и анализ обратной связи от пользователей; Участие в адаптации продукта под реальные клинические процессы; Поддержка пилотных проектов и сопровождение внедрений; Формирование клинической экспертизы и кейсов использования продукта; Формирование и развитие продуктовой стратегии медицинского продукта/сервиса; Анализ рынка медтех и потребностей медицинских организаций; Определение требований к продукту (roadmap, backlog); Проверка корректности медицинской логики в системе; Консультирование команды разработки по клиническим и медицинским вопросам; Адаптация продукта под медицинские стандарты и протоколы; Сбор обратной связи от врачей, клиник, лабораторий; Проведение интервью с медицинскими специалистами; Анализ пользовательского опыта (UX) в медицинском контексте; Постановка задач разработчикам и аналитикам; Подготовка медицинской и продуктовой документации; Учет требований законодательства в сфере здравоохранения; Поддержка соответствия стандартам (если есть сертификация МИС).",,1–3 года,,https://almaty.hh.kz/vacancy/132583262
Product Marketing Specialist,,Астана,АО Astana International Financial Centre Authority,,"We are seeking an experienced and results‑driven Senior Manager of the Marketing Department to support the execution of marketing strategies that promote AIFC Authority products and strengthen brand positioning locally and internationally. This role plays a pivotal part in driving integrated marketing initiatives, developing compelling content, leveraging digital channels, and working closely with internal stakeholders to support business growth. The successful candidate combines strategic thinking with hands‑on execution, strong analytical capabilities, and the ability to continuously optimize marketing performance to maximize ROI. Responsibilities: Develop and execute marketing strategies supporting AIFC Authority products and strategic initiatives. Define product positioning, value propositions, and key messaging to ensure market differentiation. Lead go‑to‑market (GTM) strategies for new and existing products in collaboration with product teams. Align marketing initiatives with sales and business development teams to drive lead generation and engagement. Plan and implement integrated, multi‑channel marketing campaigns (digital, content, partnerships). Drive content marketing initiatives (white papers, blogs, newsletters, webinars) to strengthen thought leadership. Support co‑marketing initiatives and strategic partnerships to expand visibility and credibility. Utilize CRM, marketing automation, email marketing, SEO/SEM, and paid media tools to increase efficiency and performance. Manage external agencies, freelancers, and internal resources to ensure timely, on‑budget execution. Track, analyze, and report on marketing performance, ROI, and key success metrics. Use market research, customer insights, and competitor analysis to continuously optimize strategies. Monitor and optimize marketing budgets to maximize impact and cost efficiency. Conduct audience research and develop customer personas to inform targeting and messaging. Adapt marketing strategies for international markets, ensuring cultural and legal alignment. Identify emerging trends, tools, and best practices, and perform other duties assigned by the Line Manager. Requirements: Bachelor’s degree in Marketing, Business Administration, Communications, or a related field (Master’s degree preferred). 3–5 years of progressive experience in marketing or related roles. Proven experience in executing marketing strategies for product promotion and brand awareness. Strong knowledge of digital marketing, content marketing, and lead generation. Experience working closely with sales teams to support business objectives. Solid analytical skills with the ability to interpret data and improve marketing performance. Experience in budget management and performance measurement. Proficiency with CRM systems, marketing automation tools, and digital analytics platforms. Excellent communication, project management, and stakeholder engagement skills. Fluency in English, Russian, Kazakh.",,,3–6 лет,,https://almaty.hh.kz/vacancy/132272344
