title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Software Engineer in Test,,,Andersen,,"The international IT сompany Andersen invites a Software Engineer in Test to join our dynamic and highly skilled professional team. Andersen is a pre-IPO software development company providing a full cycle of services. For over 18 years, we have been helping enterprises and middle-sized firms worldwide transform their businesses by creating effective digital solutions using innovative technologies. Today, we are working with organizations from various parts of the world, including North America, Western Europe, Israel, Australia, and the UAE. Our expertise covers FinTech, Healthcare, Retail, Telecom, Media & Entertainment, Logistics, Travel & Hospitality, eCommerce, and other industries. Responsibilities: Designing and developing automated tests for web, API, or mobile applications. Maintaining and improving test automation frameworks and tools. Creating test plans, test cases, and automation coverage strategies. Integrating automated tests into CI/CD pipelines and monitoring test execution. Performing code reviews and collaborating with developers to ensure testability and quality. Analyzing failures, identifying root causes, and improving automation stability. Supporting manual testing when needed to ensure full coverage. Contributing to overall quality engineering practices and process improvements. Must-haves: Experience in QA for 2,5+ years. Strong programming skills in one or more languages (e.g., Java, Python, JavaScript, C#). Experience with test automation frameworks (e.g., Selenium, Playwright, Cypress, Appium). Solid understanding of testing methodologies, SDLC, and automation best practices. Hands-on experience with CI/CD tools (Jenkins, GitLab CI, GitHub Actions). Knowledge of API testing tools and automation (Postman, REST Assured). Familiarity with version control (Git) and code review processes. Level of English – from Upper-Intermediate+ and above. Reasons why this job would be interesting to you: Experience in teamwork with leaders in FinTech, Healthcare, Retail, Telecom, and others. Andersen cooperates with such businesses as Samsung, Siemens, Johnson & Johnson, BNP Paribas, Ryanair, Mercedes, TUI, Verivox, Allianz, T-Systems, etc.. The opportunity to change the project and/or develop expertise in an interesting business domain. Job conditions – you can work both fully remotely and from the office or can choose a hybrid variant. Guarantee of professional, financial, and career growth! The company has introduced systems of mentoring and adaptation for each new employee. The opportunity to earn up to an additional 1,000 USD per month, depending on the level of expertise, which will be included in the annual bonus, by participating in the company's activities. Access to the corporate training portal, where the entire knowledge base of the company is collected and which is constantly updated. Bright corporate life (parties / pizza days / PlayStation / fruits / coffee / snacks / movies). Certification compensation (AWS, PMP, etc). Referral program. English courses. Private health insurance and compensation for sports activities. Join us!",,,1–3 года,,https://almaty.hh.kz/vacancy/132201109
Специалист технической поддержки,до 730 000 ₸ за месяц,,ТОО БетаТрансфер,,"* Обязательное знание казахского и русского языков для общения с клиентами * Опыт в поддержке или работе с клиентами от 1 года * Коммуникабельность, умение грамотно и понятно объяснять сложные вещи * Спокойное отношение к большому количеству коммуникации * Базовые знания SQL * Желание разбираться в технической части и расти в этом направлении Будет плюсом * Опыт работы с логами или системами мониторинга * Знакомство с инструментами вроде Postman, Grafana, Kibana * Понимание, как устроены веб-сервисы и API","* Общаться с клиентами и партнерами, помогать решать их вопросы и сопровождать до результата (общение в почте, чаты) * Разбирать обращения, уточнять детали и брать на себя ответственность за решение * Эскалировать задачи в разработку или другие команды, если требуется * Работать с инцидентами, быстро реагировать и помогать в их диагностике * Постепенно подключаться к техническому анализу: проверка данных, логов, баз данных * Участвовать в улучшении базы знаний: обновлять инструкции, сценарии и документацию * Предполагается фокус на первую линию поддержки, небольшое участие в простых вопросах второй линии поддержки Наши ожидания: * Обязательное знание казахского и русского языков для общения с клиентами * Опыт в поддержке или работе с клиентами от 1 года * Коммуникабельность, умение грамотно и понятно объяснять сложные вещи * Спокойное отношение к большому количеству коммуникации * Базовые знания SQL * Желание разбираться в технической части и расти в этом направлении Будет плюсом * Опыт работы с логами или системами мониторинга * Знакомство с инструментами вроде Postman, Grafana, Kibana * Понимание, как устроены веб-сервисы и API",,1–3 года,,https://almaty.hh.kz/vacancy/132678882
1. QA Automation Engineer (Banking / Mobile / API),,Алматы,ТОО Agile Soft,,"Мы ищем QA Automation Engineer для участия в проектах в сфере банкинга и финтеха. Нам нужен специалист, который умеет выстраивать и развивать автоматизацию тестирования, уверенно работает с API, понимает клиент-серверную архитектуру и имеет опыт в web/mobile testing. В зависимости от проекта задачи могут быть связаны с мобильным банкингом, backend-сервисами, интеграциями и автоматизацией регресса. Чем предстоит заниматься Разрабатывать и поддерживать автотесты для API, web и mobile. Проводить функциональное, интеграционное и регрессионное тестирование. Развивать framework автоматизации тестирования. Тестировать backend-сервисы, REST API и интеграционные сценарии. Анализировать результаты тестов, заводить и сопровождать дефекты. Подготавливать тестовую документацию и тестовые сценарии. Взаимодействовать с разработчиками, аналитиками и DevOps-инженерами. Интегрировать автотесты в CI/CD-процессы. Участвовать в повышении качества процессов тестирования в команде. Наши ожидания Опыт работы в QA Automation от 2 лет. Знание одного из языков программирования: Java / Kotlin / Python. Опыт автоматизации тестирования API и UI. Практический опыт работы с инструментами: Selenium / Appium / RestAssured / Postman / Playwright. Понимание принципов тест-дизайна и SDLC/STLC. Опыт тестирования REST API. Знание SQL на рабочем уровне. Опыт работы с Git, Jira, Confluence. Понимание HTTP, JSON, клиент-серверного взаимодействия и интеграций. Умение разбираться в логах и воспроизводить сложные дефекты. Будет плюсом Опыт в проектах banking / fintech / payments. Опыт тестирования мобильных приложений. Знание BDD. Опыт работы с CI/CD. Практика работы в интеграционных проектах. Мы предлагаем Участие в крупных и интересных проектах в финтехе. Сильную профессиональную команду. Конкурентный уровень дохода. Возможность профессионального роста. Формат работы в зависимости от проекта: удаленно / гибрид / офис. Ключевые навыки: QA Automation, Java, Kotlin, Python, Selenium, Appium, RestAssured, Postman, Playwright, API Testing, Mobile Testing, SQL, Jira, Git, Banking, Fintech",,,3–6 лет,,https://almaty.hh.kz/vacancy/132049193
Full Stack Test Engineer Trainee,,Астана,Andersen,,"International company Andersen, one of the leaders in the outsource production market, is recruiting for Full-stack QA traineeship with further employment in Kazakhstan (in the office: Almaty, or Astana remote). Andersen Company is interested in the rapid professional development of employees and improvement of their skills, is ready to invest funds and time. Therefore, our competitive advantage is considered to be rapid growth, in terms of salaries, among other things. Under the guidance of Andersen specialists, you will learn modern testing tools and master automation, expanding your skills across all levels of the product. A traineeship at Andersen is a confident start toward a highly demanded profession that will help you unlock your potential as a full‑stack engineer. Requirements: Intermediate or higher level of English (verbal communication); good knowledge of testing theory; understanding of SQL; understanding of WEB / Mobile apps; work experience is not required; will be a plus: technical background, any experience in programming, completed courses in testing area; will be a plus: Intermediate or higher level of German; will be a plus: basic knowledge of programming languages. Conditions: practice on a training project under the guidance of experienced tutors; control of the trainee's knowledge mastery and feedback; office-based format of training, or remote for Astana residents; corporate English language courses at the office or online; access to the corporate internal training programme (own educational platform); participation in the company's vibrant corporate life. An Andersen trainee can confidently count on: high professionalism of mentors; careful and attentive attitude during training; assistance and support during the training process and when entering a commercial project afterwards; guaranteed employment upon successful completion of training. Andersen is a great opportunity to start and grow in IT!",,,не требуется,,https://almaty.hh.kz/vacancy/132244282
Business Analyst,,Астана,ТОО Freedom Telecom Operations,,,"- Собирать, анализировать и формализовывать функциональные и технические требования; - Проектировать логику взаимодействия фронта и бэка, учитывать нефункциональные требования; - Моделировать процессы в BPMN 2.0, системные взаимодействия - в UML; - Описывать и согласовывать интеграции (REST, SOAP, Webhook); - Готовить спецификации API по OpenAPI/Swagger; - Прорабатывать форматы данных (JSON, XML), ошибки, статусы, retry-сценарии; - Проектировать модели данных, строить ER-диаграммы, работать с SQL; - Участвовать в проектировании решений совместно с архитекторами и разработкой; - Поддерживать документацию в Confluence, задачи - в Jira; - Участвовать в приемке решений и поддержке команды QA; - Сопровождать реализацию задач, разъяснять логику и сценарии; - Работать в проектной команде с архитекторами, разработчиками, тестировщиками, DevOps и бизнесом. Знания, навыки, важные для этой позиции: - Опыт системного анализа и взаимодействия с командами разработки; - Знание BPMN 2.0 и UML (Use Case, Sequence, Component, ERD); - Владение инструментами: Jira, Confluence, Draw.io/Lucidchart; - Базовое понимание интеграционных подходов (REST, SOAP, Webhook); - Знание форматов данных: JSON, XML; - Понимание принципов работы SQL и различий между реляционными/нереляционными БД; - Умение ясно оформлять техническую документацию и описывать логику API; - Навыки коммуникации с архитекторами, QA и разработкой.",,более 6 лет,,https://almaty.hh.kz/vacancy/131747480
Инженер отдела контроля качества/тестировщик,,Алматы,ТОО Фромтек,,,"-Имитация разговора с голосовым роботом по заранее написанному сценарию; -Прослушивание аудиозаписей разговоров голосового робота; -Выявление ошибок в ходе диалога с голосовым роботом и занесение этих ошибок в файл Exсel; -Самостоятельное устранение найденных багов;  -Наполнение базы знаний робота разными выражениями и словами, чтобы бот мог понимать контекст разговора с абонентом; -Мониторинг качества диалогов с пользователями (просмотр аналитики, прослушивание записей разговоров, составление отчетов, устранение ошибок). Необходимые навыки: - ЗНАНИЕ РУССКОГО/КАЗАХСКОГО ЯЗЫКОВ ОБЯЗАТЕЛЬНО (если вы не владеете одним из языков, указанном в критерии, просьба - не беспокоить и не тратить ваше время); -Грамотность, навыки ведения диалога (умение формулировать разные варианты одного запроса и предвидеть возможные пути развития диалога); -Навыки работы с регулярными выражениями; -Общее представление об устройстве чат-ботов и голосовых помощников (опыт взаимодействия или создания) приветствуется; -Опыт работы в роли менеджера контроля качества в КЦ приветствуется.  Знание Excel; Грамотная письменная речь; Быстрая обучаемость; Внимание к деталям; Общительность; Инициативность.",,1–3 года,,https://almaty.hh.kz/vacancy/131909727
QA Engineer,,Алматы,ТОО IT Space Apps,,"Опыт ручного тестирования API используя инструменты Postman/Insomnia/Swagger и т.д. Опыт работы в продуктовой команде; Понимание процессов разработки и тестирования (SDLC, STLC), подходов и практик Agile, Kanban, Scrum, etc.; Опыт работы с баг-трекинговыми системами (Jira, YouTrack, etc.); Знание SQL на уровне простых запросов, умение работать с СУБД PostgreSQL; Анализ логов Умение работать с TestFlight, AppTester, XCode; Работа с инструментами мониторинга HTTP/HTTPS трафика (Charles, Fiddler, etc.).","Проведение ручного функционального, smoke и регрессионного тестирования WEB и мобильных приложений; Создание, актуализация и сопровождение тестовой документации (чек-листы, тест-кейсы, тест-планы) Анализ требований, спецификаций и участие в планировании спринтов - выявление потенциальных рисков и точек отказа ещё на стадии проектирования; Тестирование API (REST/GraphQL); Анализ и воспроизведение багов, сбор логов, трассировок и другой технической информации; Мониторинг исправления дефектов в баг-трекинговой системе Jira; Взаимодействие с разработчиками, аналитиками и DevOps-инженерами для обеспечения высокого качества продукта на всех этапах; Участие в ретроспективах и QA-груммингах, предоставление предложений по улучшению процессов тестирования и разработки.",,1–3 года,,https://almaty.hh.kz/vacancy/132750601
Инженер по качеству,,Алматы,ТОО GOLDCARD SMART GROUP KAZAKHSTAN,,"Высшее образование (бакалавр и выше), предпочтительно по специальностям: машиностроение, электроника, управление качеством. Опыт работы в области управления качеством не менее 5 лет. Знание базовых принципов управления качеством; опыт участия в проектной деятельности. Владение инструментами управления качеством и способность самостоятельно реализовывать проекты по улучшению качества. Развитое логическое мышление, принципиальность, способность самостоятельно решать нестандартные и проблемные ситуации.","Контроль качества продукции на всех этапах жизненного цикла — от опытного производства (образцов) до серийного выпуска; улучшение качества продукции за счёт тестирования, контроля и оптимизации процессов. Анализ и решение проблем качества, возникающих в процессе производства; обработка отклонений по качеству и внедрение корректирующих мер. Взаимодействие с поставщиками с целью повышения уровня качества поставляемой продукции (повышение процента приемки партий и уровня соответствия при запуске в производство). Мониторинг показателей качества продукции; участие в расследовании, анализе и улучшении процессов по жалобам клиентов. Разработка инспекционной документации для новых продуктов: IQC (входной контроль качества) IPQC (контроль качества в процессе производства) OQC (выходной контроль качества) Участие в проверке технологической документации; при необходимости — разработка планов контроля качества. Анализ показателей First Pass Yield (FPY) на производственных линиях и внедрение мероприятий по их улучшению.",,3–6 лет,,https://almaty.hh.kz/vacancy/132745547
Project Manager,,Алматы,Andersen,,"Andersen is hiring a Project Manager for a project launching a POS financing solution, coordinating integrations, real-time workflows, and cross-team delivery to ensure smooth rollout and operations. The customer is a company operating in the financial domain, focused on building digital platform solutions that support transaction processing and customer interactions across various channels. The company develops configurable tools that can be adapted to different business needs, aiming to improve user experience, streamline operations, and enhance overall efficiency through data-driven approaches. The project is focused on launching and integrating a point-of-sale financing solution that enables customers to pay for services over time. It includes API-based workflows, underwriting logic, and customer communication, with an emphasis on real-time operations, issue resolution, and coordination across teams during rollout. Responsibilities: Serving as the primary point of contact for the airline partner during the rollout of the POS financing flow. Monitoring daily performance, managing requests, and providing timely updates on active issues. Ensuring stable operation of customer financing workflows, including application submissions, decisions, and payment steps. Investigating API/Webhook failures, integration inconsistencies, and transaction-level issues. Reviewing logs, analyzing error patterns, and identifying the root causes of technical incidents. Validating fixes and coordinating resolution with engineering, QA, and product teams. Owning the full incident lifecycle: triage → investigation → communication → resolution → post-incident summary. Maintaining clarity on SLAs and ensuring proper escalation of issues when required. Preventing temporary “band-aid” fixes by driving root-cause resolution and ensuring long-term stability. Must-haves: Experience in Project Management for 3+ years. Solid technical background. Strong understanding of API integrations, webhooks, authentication, and error handling. Experience in FinTech, payments, POS systems, loan/credit decisioning, or transactional platforms. Ability to analyze logs, trace errors, and identify root‑cause in distributed systems. Experience working with cloud platforms (Azure, AWS, or GCP). Familiarity with CRM tools (Salesforce preferred). Solid understanding of incident management and SLA‑based support Level of English – from Upper-Intermediate and above. Reasons why this job would be interesting to you: Experience in teamwork with leaders in FinTech, Healthcare, Retail, Telecom, and others. Andersen cooperates with such businesses as Samsung, Siemens, Johnson & Johnson, BNP Paribas, Ryanair, Mercedes, TUI, Verivox, Allianz, T-Systems, etc.. The opportunity to change the project and/or develop expertise in an interesting business domain. Job conditions – you can work both fully remotely and from the office or can choose a hybrid variant. Guarantee of professional, financial, and career growth! The company has introduced systems of mentoring and adaptation for each new employee. The opportunity to earn up to an additional 1,000 USD per month, depending on the level of expertise, which will be included in the annual bonus, by participating in the company's activities. Access to the corporate training portal, where the entire knowledge base of the company is collected and which is constantly updated. Bright corporate life (parties / pizza days / PlayStation / fruits / coffee / snacks / movies). Certification compensation (AWS, PMP, etc). Referral program. English courses. Private health insurance and compensation for sports activities. Join us!",,,3–6 лет,,https://almaty.hh.kz/vacancy/132619802
Бизнес-аналитик (Middle),до 2 000 $ за месяц,Худжанд,ОАО Банк Эсхата,,,"сбор, анализ и формализация требований от заинтересованных сторон (бизнес, заказчики, технические команды).; разработка и согласование технической документации, включая функциональные и нефункциональные требования, спецификации, схемы взаимодействия; описание и оптимизация бизнес-процессов, пользовательские и клиентские сценарии; анализ текущих информационных систем: выявление узких мест, дублирования функций, технических и бизнес-рисков; поддержка команды разработки на всех этапах SDLC, включая анализ изменений, уточнение требований и приоритетов Наши пожелания к кандидатам: умение собирать и формализовывать требования; навыки описания бизнес-процессов с использованием BPMN/UML, составление Use Cases, User Stories, Acceptance Criteria; умение структурировать информацию и логически мыслить способность задавать уточняющие вопросы и выявлять скрытые требования; коммуникабельность и умение работать с разными ролями (разработчики, тестировщики, владельцы продуктов); ответственность, самоорганизация, готовность к командной работе и взаимодействию в Agile-среде. опыт участия в Agile/Scrum/Kanban процессах опыт работы с базами данных SQL",,3–6 лет,,https://almaty.hh.kz/vacancy/132800372
