title,salary,city,job,publish_date,requirements,responsibilities,url,source
Работа Специалистом по продажам в Казахстане,От           40 000 ₸           80 000 ₸           120 000 ₸           200 000 ₸           300 000 ₸           400 000 ₸,Астана,"Abris Distribution Kazakhstan, Филиал Компании в Казахстане                  Астана",,,×                                                   ×                                            Найти работу,https://qyzmet.kz/вакансии/Специалист-по-продажам,qyzmet_parser
Работа Оператором call-центра в Казахстане,От           40 000 ₸           80 000 ₸           120 000 ₸           200 000 ₸           300 000 ₸           400 000 ₸,Костанай,Beauty-NUR        До 200 000 ₸                 Костанай,,,×                                                   ×                                            Найти работу,https://qyzmet.kz/вакансии/Оператор-call-центра,qyzmet_parser
Работа в Петропавловске,От           40 000 ₸           80 000 ₸           120 000 ₸           200 000 ₸           300 000 ₸           400 000 ₸,Петропавловск,Народный банк Казахстана                  Петропавловск,,,×                                                   ×                                            Найти работу,https://qyzmet.kz/вакансии/Петропавловск,qyzmet_parser
"Работа в ГК ""KAZ Minerals""",От 100 000 ₸,Экибастуз,"Работа в ГК ""KAZ Minerals""                KAZ Minerals          192 вакансии                                                       ул. Ж.Омаровой, 8, Алматы                                        https://www.kazminerals.com                                                               Facebook                                   192 вакансии                                 О компании                KAZ Minerals - крупнейший производитель меди в Казахстане, медедобывающая компания с высоким потенциалом роста, ориентированная на развитие масштабного низкозатратного производства карьерного типа. Операционная деятельность Группы:- Актогай, рудник открытого типа в Восточном Казахстане- Бозшаколь, рудник открытого типа в Павлодарской области- три рудника в Восточном Казахстане: Артемьевский, Орловский, Иртышский- две обогатительные фабрики в Восточном Казахстане: Николаевская, Орловская- медно-золотой рудник Бозымчак в Кыргызстане.                                            Показать",,,×                                                   ×                                            Найти работу,https://qyzmet.kz/вакансии/KAZ-Minerals,qyzmet_parser
Работа в Усть-Каменогорске,От           40 000 ₸           80 000 ₸           120 000 ₸           200 000 ₸           300 000 ₸           400 000 ₸,Усть-Каменогорск,УМС-1                  Усть-Каменогорск,,,×                                                   ×                                            Найти работу,https://qyzmet.kz/вакансии/Усть-Каменогорск,qyzmet_parser
Работа Грузчиком разнорабочим в Казахстане,От           40 000 ₸           80 000 ₸           120 000 ₸           200 000 ₸           300 000 ₸           400 000 ₸,"Алматы, Жетысуский район","Free Style, ТОО, мебельная компания        250 000 - 300 000 KZT                 Алматы, Жетысуский район",,,×                                                   ×                                            Найти работу,https://qyzmet.kz/вакансии/Грузчик-разнорабочий,qyzmet_parser
Работа Менеджером по сбыту в Казахстане,От           40 000 ₸           80 000 ₸           120 000 ₸           200 000 ₸           300 000 ₸           400 000 ₸,Караганда,Филип Моррис Казахстан                  Караганда,,,×                                                   ×                                            Найти работу,https://qyzmet.kz/вакансии/Менеджер-по-сбыту,qyzmet_parser
Работа Sales manager в Казахстане,От           40 000 ₸           80 000 ₸           120 000 ₸           200 000 ₸           300 000 ₸           400 000 ₸,Казахстан,Match me        2 000$ - 5 000$                 Казахстан,,,×                                                   ×                                            Найти работу,https://qyzmet.kz/вакансии/Sales-manager,qyzmet_parser
Работа Менеджером по продажам в Казахстане,От           40 000 ₸           80 000 ₸           120 000 ₸           200 000 ₸           300 000 ₸           400 000 ₸,Алматы,Витамины        5 000 - 200 000 KZT                 Алматы,,,×                                                   ×                                            Найти работу,https://qyzmet.kz/вакансии/Менеджер-по-продажам,qyzmet_parser
Работа Руководителем строительного проекта в Казахстане,От           40 000 ₸           80 000 ₸           120 000 ₸           200 000 ₸           300 000 ₸           400 000 ₸,Карасайский район,Bmg Metal Construction        От 500 000 ₸                 Карасайский район,,,×                                                   ×                                            Найти работу,https://qyzmet.kz/вакансии/Руководитель-строительного-проекта,qyzmet_parser
