title,salary,city,job,publish_date,requirements,responsibilities,url,source
Backend-разработчик,,,,,,"Backend-разработчик ТОО ""Аманат"" Зарплата	от 300000 до 410000 KZT Занятость	Полная занятость Адрес	Казахстан, Алматы, микрорайон Астана, 6 Описание вакансии  ТОО «Аманат Логитрэйд» - мы динамичный стартап в сфере e-commerce (интернет-магазин). У нас автоматизированные процессы и амбициозные цели. В нашу команду требуется активный и ответственный back end разработчик который хочет расти. Нам нужен человек в команду который будет работать с нами в офисе ( удаленно только по необходимости),полностью удаленный формат не рассматриваем.  Обязанности:  Разработка backend части интернет-магазина Проектирование архитектуры и бизнес-логики проекта Разработка и поддержка REST API Интеграция с внешними API поставщиков и сервисов Работа с каталогом товаров, заказами, пользователями, оплатами Оптимизация производительности приложения и базы данных Написание чистого, масштабируемого и поддерживаемого кода Участие в проектировании архитектурных решений Требования: Уверенное знание PHP Отличное знание Laravel Опыт работы с REST API Уверенное знание MySQL Опыт работы с Vue.js Опыт работы с Nuxt Опыт проектирования архитектуры БД Понимание OOP, SOLID, Design Patterns Опыт работы с Git  Будет плюсом:  Docker Redis Queue / Jobs CI/CD Опыт работы с high-load проектами Опыт интеграции marketplace / supplier API  Условия:  Работа в офисе с 09.00-18.00 Дружный коллектив,кофемашина,чай-вкусняшки Современный стек технологий, минимум рутины за счет автоматизации. Требования Опыт	От 3 до 6 лет Условия работы График работы	Полный день Добавлено вчера Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20645548,qyzmet_deep_parser
Backend-разработчик,,,,,,"Backend-разработчик Зарплата	Договорная Адрес	Астана, ул. Сыганак, 64 Описание вакансии Требования и обязанности:  Даулет айна400000мыннан  Требования Опыт	Нет опыта Условия работы График работы	Сменный график Добавлено вчера Пожаловаться Отклик на jumys.kaspi.kz Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/jobdesc?id=20647274&src=js,qyzmet_deep_parser
"Senior backend-разработчик (Python, PHP)",,,,,,"Senior backend-разработчик (Python, PHP) Arbuz Group (Арбуз Груп) Занятость	Полная занятость Адрес	Казахстан, Алматы, улица Климента Тимирязева, 42 РЕКЛАМА Описание вакансии  Arbuz.kz — онлайн-супермаркет с ассортиментом в 20 тыс. товаров и доставкой в 1-2 часовые слоты. Наш фокус на качественных продуктах питания и отличном сервисе.  Мы на рынке Казахстана с 2011 года и представлены в городах Алматы и Астана.  С 2018 года растем каждый год в 5 раз по обороту и развиваемся в рамках экосистемы Freedom Lifestyle Team. Команда — опытные предприниматели и менеджеры с такими проектами как Тикетон, Freedom travel, Найми и др.  Пишем собственные IT продукты — WMS (система управления складом), маршрутизацию, сайт/приложения и рекомендательные системы.  Мы ищем Senior Backend разработчика с высокой автономностью и готовностью быстро вливаться в проект, тот кто готов взять на сложные интересные задачи.  Цель команды на год: распилить монолит на устойчивые домены и подготовить платформу к росту х27 без деградации качества. Оптимизация существующих API.  Зачем тебе к нам:  Влиять на развитие Arbuz.kz. Мы — продуктовая компания. Если у тебя есть идеи по развитию, можешь предлагать их и внедрять. В отличии от больших компаний у нас намного меньше согласований, проекты не отменяются. Работаем быстро и дружно;  Принимать стратегические решения по внедряемым и имеющимся технологиям;  Будешь бок о бок работать с основателями и понимать как принимаются бизнес решения.  Что ожидаем от кандидата:  Опыт коммерческой backend разработки от 5 лет Разработка и поддержка backend сервисов Arbuz.kz на PHP (Phalcon) и Python (FastAPI) Проектирование и оптимизация API для веб и мобильных приложений Разработка новой функциональности согласно бизнес-требованиям Рефакторинг и улучшение существующего кода Проектирование и оптимизация структуры базы данных MySQL Написание unit-тестов и интеграционных тестов  Чем ты будешь заниматься:  Разработка и поддержка backend сервисов Arbuz.kz на PHP (Phalcon) и Python (FastAPI). Проектирование и оптимизация API для веб и мобильных приложений. Разработка новой функциональности согласно бизнес-требованиям. Рефакторинг и улучшение существующего кода. Проектирование и оптимизация структуры базы данных MySQL. Написание сложных SQL запросов. Оптимизация производительности запросов и индексов. Работа с монолитной базой данных (миграции, поддержка целостности данных).  Что мы за это предлагаем:  Конкурентную заработную плату; Возможность расти технически и вертикально, perfomance review за полугодие; Оформление по ТК РК, full time; Работа по Agile; Интересная и сильная команда; По-настоящему интересные задачи которые напрямую влияют на физический мир; Комфортный офис в центре города; Оплату профильных курсов, участие в конференциях; Корпоративные предложения по фитнесу от Freedom Holding; Участие в акциях и конкурсах, получения подарков от Freedom Holding; Корпоративные скидки - 20% на онлайн обучение на платформе «Lerna Corp»; Корпоративные скидки - 20% на курсы онлайн-школы «Skyeng»; 20% скидка на психологическую поддержку (сессию с психологом) от партнера компании Harmonia.kz; Скидки на мероприятия/концерты от компании Ticketon.kz; Подписка Arbuz friends, которая дает нам до 28% кэшбека в FreedomSA. Промокоды на дни рождения и многое другое. Требования Опыт	От 3 до 6 лет Условия работы График работы	Полный день Добавлено вчера Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20642881,qyzmet_deep_parser
Senior Kotlin/Java Developer (Backend),,,,,,"Senior Kotlin/Java Developer (Backend) Быстрый отклик ТОО ""Ракетная фирма"" Занятость	Полная занятость Адрес	Казахстан, Алматы, улица Бегалина, 103 РЕКЛАМА Описание вакансии  Привет, мы Rocket Tech!  Уже 14 лет мы специализируемся на создании цифровых продуктов, мобильных приложений и сложных внутренних систем, которыми хочется пользоваться.  Сейчас мы развиваем направление FinTech и ищем в команду активного Senior Kotlin/Java Developer.  Локация: Алматы, Казахстан  Работа в офисе (гибрид), удалённый формат не предусмотрен.  Обязанности:  Разрабатывать и развивать высоконагруженные серверные системы на Kotlin и Java;  Проектировать архитектуру микросервисов с нуля и принимать ключевые технические решения;  Оптимизировать производительность систем: от тюнинга JVM до оптимизации сложных SQL-запросов;  Проводить код-ревью, менторить коллег и развивать инженерную культуру в команде;  Взаимодействовать с инфраструктурой: настраивать деплой в Kubernetes и работать с CI/CD пайплайнами;  Обеспечивать observability: внедрять мониторинг, логирование и распределенную трассировку;  Работать в команде по Agile/Scrum, активно участвуя в планировании и жизни продукта;  Соблюдать и совершенствовать внутренние процессы разработки и стандарты качества кода.  Требования:  Опыт: коммерческая разработка на Java/Kotlin от 3+ лет;  Backend: Глубокий Kotlin/Java Core, Spring Boot (WebFlux, Data, Security), микросервисы, Kafka;  Architecture: SOLID, Clean Architecture, DDD, паттерны проектирования, Event-driven architecture;  Data: PostgreSQL (query optimization, scaling, sharding), Redis, Liquibase/Flyway;  Infrastructure: Docker, Kubernetes (настройка deployments, services), GitLab CI/CD;  Monitoring: Prometheus, Grafana, Micrometer, Distributed tracing;  Testing: Юнит и интеграционные тесты (JUnit, Kotest, MockK, Testcontainers).  Будет плюсом:  Опыт работы в финтехе или банковских системах;  Практическое знакомство с Camunda BPM или аналогами;  Опыт реализации распределенных транзакций.  Условия:  Участие в финтех-проектах;  Возможность влиять на архитектурные решения и развитие продукта;  Работа в гибридном формате (3 дня в офисе, 2 — удалённо);  График: с 9:00 до 18:00;  Оформление с первого дня;  Команду, где ценят инициативу, прозрачность и развитие;  Внутренние и внешние обучающие ресурсы, карьерный рост.  Требования Опыт	От 3 до 6 лет Условия работы График работы	Полный день Посмотреть контакты Добавлено сегодня Пожаловаться Быстрый отклик Отклик на HeadHunter",https://qyzmet.kz/redir?id=20480441,qyzmet_deep_parser
Backend Developer (Kotlin) in Kazakhstan,,,,,,"Backend Developer (Kotlin) in Kazakhstan Andersen Занятость	Полная занятость Адрес	Казахстан, Алматы РЕКЛАМА Описание вакансии  Andersen is hiring a Backend Developer (Kotlin) in Kazakhstan to build scalable backend solutions and support international digital projects across multiple industries.  Andersen is a pre-IPO software development company providing a full cycle of services. For over 19 years, we have been helping enterprises and middle-sized firms worldwide transform their businesses by creating effective digital solutions using innovative technologies.  Today, we are working with organizations from various parts of the world, including North America, Western Europe, Israel, Australia, and the UAE. Our expertise covers FinTech, Healthcare, Retail, Telecom, Media & Entertainment, Logistics, Travel & Hospitality, eCommerce, and other industries.  The project is focused on developing a next-generation business banking mobile application based on microservices architecture. It includes building new features, integrating modern technologies, and preparing the migration of corporate clients from the legacy platform to the new solution.  ​​​​​​​ Responsibilities:  Developing and maintaining a microservices architecture. Optimizing database performance and queries. Configuring monitoring, logging, and alerting. Handling deployment and infrastructure management. Conducting code reviews, mentoring, and designing architecture from scratch.  Must-haves:  Experience in Backend development for 3+ years. Strong proficiency in Kotlin and Java, including Kotlin data classes, sealed classes, extension functions, scope functions, Coroutines & Flow (structured concurrency, error handling, Flow operators), as well as Java Collections, Generics, and Stream API. Deep understanding of multithreading and JVM internals, including garbage collection, memory model, and performance tuning. Extensive hands-on experience with Spring Framework, including Spring Boot (auto-configuration, custom starters, profiles), Dependency Injection / IoC, Spring Data (R2DBC and JPA), Transaction Management, and Spring AOP. Advanced knowledge of PostgreSQL and SQL, including query optimization, EXPLAIN ANALYZE, indexing, complex queries, window functions, and CTEs. Proven production experience with Kafka, including producers, consumers, partitions, and offsets. Strong expertise in REST API design, including versioning, pagination, and error handling. Solid practical experience with Docker (optimized images) and advanced Git workflows (rebase, cherry-pick, conflict resolution). Hands-on experience with monitoring and observability tools such as Prometheus, Grafana, and Micrometer, including structured logging, correlation IDs, and alerting best practices. Strong understanding of microservices architecture, including patterns, anti-patterns, high availability, fault tolerance, and scalability. Good knowledge of software design principles, including SOLID, GoF patterns, and DDD basics. Experience with testing practices, including unit testing, integration testing, JUnit / Kotest, MockK, and Testcontainers. Level of English – from Intermediate+ and above.  Nice to haves:  Experience with database migration tools such as Liquibase or Flyway. Experience with Java 17+ features, including records, pattern matching, and sealed classes. Strong knowledge of Spring WebFlux / Reactive programming, including Mono, Flux, and backpressure principles. Experience with Spring Security, including OAuth2 and JWT authentication/authorization flows. Understanding of distributed transactions and consistency patterns. Practical experience with database scaling, including replication, sharding, and partitioning. Hands-on experience with Redis, including caching strategies, pub/sub, and distributed locks. Experience with Kubernetes, including deployments, services, ConfigMaps, and Secrets configuration. Practical experience building and maintaining CI/CD pipelines using Jenkins, GitLab CI, or GitHub Actions. Experience with distributed tracing tools such as Jaeger or Zipkin. Knowledge of event-driven architecture principles and patterns. Understanding of API lifecycle management. Experience with contract testing using Pact or Spring Cloud Contract. Experience with Camunda BPM or similar workflow/orchestration platforms. Background in fintech or banking systems.  Reasons why this job would be interesting to you:  Andersen cooperates with such companies as Siemens, Johnson & Johnson, AstraZeneca, BNP Paribas, Allianz, Ryanair, TUI, Verivox, Media Markt, etc.. For the past four years, our company has been growing annually by 60–100%, and we constantly involve top-notch specialists in our team. Andersen has mentoring and adaptation systems for new employees, and transparent performance review and assessment systems will allow you to determine your development path and plan your growth. The most important thing that we value in our employees is a commitment to continuous learning. The company supports them in this and gives them access to the best educational platforms, seminars, and practices. In addition, for over 19 years, Andersen has assembled a huge knowledge base and established a robust resource management institution. We have been strengthening our expertise since 2007. During this time, we have formed excellent teams with streamlined processes, where you can learn something new from your colleagues every day and enjoy your work. We are a cool young team of like-minded people communicating informally. You'll have a stable and competitive salary and an extensive benefits package. At Andersen, we have many different ways to grow. You can improve as a specialist or a manager, and all your activities will be decently rewarded.  Join us!  Требования Опыт	От 3 до 6 лет Условия работы График работы	Полный день Добавлено вчера Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20636812,qyzmet_deep_parser
Senior Backend-разработчик в команду Бэкофис,,,,,,"Senior Backend-разработчик в команду Бэкофис Small, ТМ (Скиф Трейд, ТОО) Занятость	Полная занятость Адрес	Казахстан, Алматы РЕКЛАМА Описание вакансии  Высоконагруженные сервисы для ключевых бизнес-процессов ритейла  Мы в Small строим с нуля backend-платформу, которая управляет ассортиментом, ценами, продажами и финансовыми взаиморасчётами. Это не “поддержка легаси”, а разработка критически важной системы, напрямую влияющей на деньги, запасы и операционную эффективность бизнеса.  Какие задачи предстоит решать:  Вы будете разрабатывать сервисы, которые лежат в основе ключевых процессов компании:  управление ассортиментом и товарной матрицей ценообразование и расчёт промо-механик планирование продаж управление ретро-бонусами и взаиморасчётами с поставщиками планирование платежей расчёт товарных остатков и движение стока  Это сложная доменная логика, большие объёмы данных и высокая цена ошибок — идеальная среда для сильного backend-инженера.  Чем вы будете заниматься:  проектировать и разрабатывать backend-сервисы участвовать в проработке архитектуры и технических решений писать чистый, поддерживаемый код и проводить code review оптимизировать производительность и работу с данными взаимодействовать с аналитиками, продуктом и смежными командами  Технологический стек:  Основной:  Python FastAPI PostgreSQL Redis  Kafka  Будет плюсом:  Go  ClickHouse  Наш идеальный кандидат:  5+ лет опыта в роли Senior Backend Developer (Python и/или Go) опыт работы с высоконагруженными системами сервисы с нагрузкой 500+ RPS базы данных объёмом 100+ млн записей  уверенное понимание архитектуры распределённых систем и работы с данными  Дополнительные плюсы:  опыт в ритейле или e-commerce техническое образование (ИТ / математика / физика)  вам интереснее писать и проектировать, чем управлять людьми (это не тимлид-позиция)  Почему работать с нами, интересно:  вы работаете над критически важной системой для бизнеса перспектива роста до TechLead никакого легаси — современная архитектура и разработка с нуля реальное влияние на продукт: от бизнес-логики до технической реализации  минимум бюрократии и быстрые технические решения  Требования Опыт	Более 6 лет Условия работы График работы	Удаленная работа Добавлено вчера Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20640656,qyzmet_deep_parser
Backend-разработчик (язык GO),,,,,,"Backend-разработчик (язык GO) STS Smid Security Зарплата	от 500000 до 1000000 KZT Занятость	Полная занятость Адрес	Казахстан, Алматы, улица Толе би РЕКЛАМА Описание вакансии  Здравствуйте  REST API design • gRPC • Clean Architecture • DDD (желательно) • microservices или modular monolith  WebSocket • event-driven architecture • message brokers  желательно: • Kafka • NATS • RabbitMQ • Redis streams  • PostgreSQL (индексы, транзакции) • Redis (кэш, очереди)  желательно: • ClickHouse (аналитика KPI) • TimescaleDB (таймсерии)  минимум: • Docker • docker-compose • CI/CD  желательно: • Kubernetes • GitHub Actions / Gitlab CI • monitoring  пишите на ​​​what’s app  Требования Опыт	Более 6 лет Условия работы График работы	Полный день Добавлено вчера Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20636579,qyzmet_deep_parser
Back-end разработчик,,,,,,"Back-end разработчик Мэд Профит Групп Занятость	Полная занятость Адрес	Казахстан, Астана, проспект Абая, 24/1 РЕКЛАМА Описание вакансии  Локация: Казахстан (удалённо / офис / гибрид) Зарплата: по результатам собеседования (фикс + бонусы за проекты)  Кого мы ищем: Ищем Back-end разработчика, который умеет создавать надёжную серверную часть для сайтов и web-сервисов любой сложности: высоконагруженных проектов и интеграций.  Обязанности: - Разработка серверной логики сайтов и web-приложений - Проектирование архитектуры backend-части - Работа с базами данных (проектирование, оптимизация, миграции) - Интеграции с внешними сервисами (CRM, платежные системы, API) - Разработка и поддержка REST API - Обеспечение безопасности и производительности проектов - Участие в код-ревью и улучшении архитектуры - Взаимодействие с frontend-разработчиками, дизайнерами и проект-менеджерами - Поддержка и доработка существующих проектов  Требования: - Опыт разработки от 2 лет (backend) - Уверенное знание одного или нескольких языков: PHP / Python / Node.js - Опыт работы с фреймворками: Laravel / Symfony / Django / Express (или аналогичные) - Знание и опыт работы с БД: MySQL / PostgreSQL / MongoDB - Понимание принципов построения REST API - Опыт интеграции сторонних сервисов (CRM, платежи, API) - Понимание принципов безопасности (JWT, OAuth, защита данных) - Опыт работы с Git - Базовое понимание frontend (HTML, CSS, JS) - Умение писать чистый, поддерживаемый код  Будет плюсом: - Опыт работы с 1С-Битрикс, WordPress (backend часть) - Опыт настройки серверов (Linux, Nginx, Docker) - Опыт работы с очередями (RabbitMQ, Redis) - Опыт оптимизации высоконагруженных систем - Понимание CI/CD процессов  Условия: - Интересные проекты разного уровня сложности - Возможность работать с современным стеком - Гибкий график и удалёнка - Команда без бюрократии и лишних созвонов - Возможность роста до Lead / Architect  Присылай резюме + примеры проектов (GitHub / кейсы) на [WhatsApp]  Требования Опыт	От 1 года до 3 лет Условия работы График работы	Удаленная работа Добавлено 2 дня назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20635384,qyzmet_deep_parser
Full-Stack Developer (Python / TypeScript),,,,,,"Full-Stack Developer (Python / TypeScript) Meteoro Platform Занятость	Полная занятость Адрес	Казахстан, Астана РЕКЛАМА Описание вакансии  О роли  Мы ищем Middle/Middle+ Full-Stack разработчика: вы уверенно работаете и с backend, и с frontend, и берёте задачи end-to-end — от требований до прода.  Для нас это действительно full-stack роль 50/50: в зависимости от задач продукта вы одинаково уверенно включаетесь как в backend-, так и во frontend-разработку.  Ваши суперспособности  3+ года в продуктовой разработке: проектируете и выкатываете в прод backend/full-stack фичи Сильный Python: FastAPI, async, Pydantic, SQLAlchemy/asyncpg, строгая типизация (mypy/pyright), pytest Уверенный TypeScript/React: знакомы с современным стеком (Vite, TanStack Query/Router, shadcn, Tailwind, react-hook-form, Zod, i18n) Пишете чистый, тестируемый и поддерживаемый код — тесты для вас часть нормы Уверенно работаете с SQL/NoSQL: PostgreSQL, Redis/Valkey Есть опыт с Kafka или другими брокерами сообщений и очередями Знаете Docker и CI/CD; уверенно работаете с Kubernetes Применяете observability на практике: метрики, логи, трейсы — Grafana, Jaeger, OpenTelemetry Понимаете, как устроены API-гейтвеи (APISIX, Kong, Traefik или аналоги) и умеете с ними работать Понимаете архитектурные подходы и компромиссы между ними: event-driven, CQRS, clean/hexagonal, модульный монолит vs микросервисы Есть опыт с разными типами API: REST, WebSocket, SSE/streaming, gRPC — понимаете, что и когда уместно Есть опыт работы с API современных LLM и его нюансами: токены и контекст, стриминг, ретраи, лимиты, ошибки, prompt caching, structured outputs, tool calling В ежедневной работе на продвинутом уровне используете SWE-агентов и Agent Harness (Claude Code, Codex, OpenCode, Pi и др.) Берёте ownership: ведёте задачу end-to-end — от требований до прода, проактивно снимаете блокеры Обладаете инженерным мышлением: видите компромиссы, быстро разбираетесь в новом и доводите до практики Думаете про пользователя и метрики; общаетесь по делу  Что вы будете делать  Разрабатывать и выкатывать в прод backend-сервисы и API на Python/FastAPI, на которых работает продукт Разрабатывать и развивать frontend-часть продукта на React/TypeScript Брать задачи end-to-end: от требований до прода, включая backend и frontend Проектировать и поддерживать ядро системы: бизнес-логика, интеграции, событийные пайплайны (Kafka), кеши, фоновые задачи, хранилища (S3) Работать с AI/LLM-функциональностью продукта: интеграции с провайдерами, агентные пайплайны, tool use, structured outputs Следить за стабильностью и observability: метрики, трейсы, алерты, разбор инцидентов Плотно сотрудничать с product, ML и инженерной командой, чтобы и UX, и DX были гладкими и предсказуемыми Участвовать в архитектурных решениях и формировании технического направления по мере роста продукта Быстро доводить идеи от прототипа до продакшена, с ответственностью за качество и надёжность  Будет плюсом  Знание Rust (хотя бы на базовом уровне) Hands-on опыт с OIDC/OAuth2-провайдерами: ZITADEL, Keycloak, Auth0, Okta или аналогами Опыт с LLM-фреймворками: LangChain/LangGraph, LlamaIndex, Mastra, DSPy, Pydantic AI и т.п. Понимание внутреннего устройства современных агентов и агентных систем: Agent Loop, эффективная работа с контекстом и context engineering, tool use, prompt caching, structured outputs, MCP, Agent Harness Опыт с RAG не только на векторном поиске: BM25, fuzzy, гибридный поиск, agentic search Собственные pet-проекты и эксперименты с AI/LLM Вклад в open-source Образование в CS или смежной области  Условия и бонусы  Конкурентная зарплата 25 дней отпуска, дополнительные выходные дни и больничный Гибкие варианты работы: удалённо или гибридно Возможности для профессионального и карьерного роста Требования Опыт	От 3 до 6 лет Условия работы График работы	Удаленная работа Добавлено 2 дня назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20635288,qyzmet_deep_parser
Flutter разработчик (Middle),,,,,,"Flutter разработчик (Middle) Mediana Services Limited Занятость	Полная занятость Адрес	Казахстан, Актау РЕКЛАМА Описание вакансии  Обязанности: • Разработка и сопровождение мобильных приложений на Flutter • Повышение производительности приложений и устранение ошибок • Взаимодействие с дизайнерами и backend-разработчиками • Участие в проектировании и развитии архитектуры • Контроль качества кода и проведение тестирования  Требования: • Коммерческий опыт разработки на Flutter от 2 лет • Уверенное владение Dart и современными мобильными технологиями • Опыт работы с REST API и внешними интеграциями • Опыт работы с BLOC, Provider • Понимание принципов Clean Architecture • Опыт работы с WebSocket и реализацией realtime-функционала • Реализация offline-first решений (Hive, sqflite, Drift) • Настройка push-уведомлений (FCM) • Навыки работы как в команде, так и самостоятельно • Внимательность к деталям и высокий уровень ответственности  Условия: • График работы 5/2 • Конкурентная и стабильная заработная плата • Комфортная рабочая атмосфера и поддерживающая команда • Возможности для профессионального и карьерного роста  Требования Опыт	От 1 года до 3 лет Условия работы График работы	Полный день Добавлено сегодня Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20648659,qyzmet_deep_parser
