title,salary,city,job,publish_date,requirements,responsibilities,url,source
Data Engineer,,,,,,"Data Engineer ТОО ""Eurasia Group Kazakhstan"" Занятость	Полная занятость Адрес	Казахстан, Астана, улица Казанат, 1/1 Описание вакансии Обязанности: Проектирование, разработка и поддержка потоков данных (ETL / ELT); Сбор, обработка и трансформация данных из различных источников; Разработка и сопровождение витрин данных, слоёв DWH и data-мартов; Настройка и поддержка пайплайнов передачи данных в DWH. Интеграция источников данных (CRM, ERP, BI, внешние сервисы); Разработка и поддержка внутренних сервисов и API на Python (FastAPI); Мониторинг, логирование и устранение ошибок, мониторинг, логирование и устранение ошибок.  Требования:  - Уровень не ниже strong middle;  - Знание SQL и реляционные СУБД, Airflow и аналоги, Архитектуры DWH, ETL/ELT, Python, FastAP;  - Системный подход к решению задач, внимание к деталям;  - Навыки планирования и соблюдения сроков. Ориентация на качество и масштабируемость решений. Навыки документирования архитектуры, процессов и реализованных решений;  - Наличие сертификатов в области Data Engineering и облачных платформ - будут преимуществом.  Условия: Оформление согласно ТК РК; Социальные гарантии, мотивационная поддержка; Все условия обсуждаются при встрече. Требования Опыт	От 3 до 6 лет Условия работы График работы	Полный день Добавлено 2 дня назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20634192,qyzmet_deep_parser
Data Engineer,,,,,,"Data Engineer Bright Technologies Занятость	Полная занятость Адрес	Казахстан, Астана Описание вакансии Обязанности: Проектирование и поддержка пайплайнов CDC-репликации данных из PostgreSQL/MySQL/MongoDB в хранилище через Debezium + Kafka Разработка и оптимизация хранилища на ClickHouse: схемы, движки таблиц, материализованные представления, шардирование и репликация Оркестрация data-пайплайнов в Apache Airflow: написание DAG'ов, кастомных операторов, мониторинг и алертинг Построение трансформационного слоя на dbt: модели, тесты, документация, инкрементальные стратегии Оптимизация производительности запросов и стоимости хранения Поддержка качества данных: тесты, контракты, observability Code review, менторинг junior-инженеров, развитие инженерной культуры в команде Условия: интересный проект хорошие условия труда Требования Опыт	От 3 до 6 лет Условия работы График работы	Удаленная работа Добавлено 2 дня назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20636892,qyzmet_deep_parser
Data Engineer,,,,,,"Data Engineer Быстрый отклик АО ""Kaspi Bank"" Занятость	Полная занятость Адрес	Казахстан, Алматы, проспект Абая, 26А Описание вакансии  ​​​​​​  Мы Kaspi.kz - крупнейшая технологическая компания в Казахстане, миссия которой - улучшать людям жизнь. Ежемесячно нашим супер приложением пользуются более 14 млн казахстанцев  Обязанности:  Проектирование, создание и поддержка надежных и масштабируемых ETL-процессов для обработки больших объемов данных. Разработка и оптимизация SQL-запросов для извлечения и анализа данных. Сотрудничество с командами аналитиков и разработчиков для определения требований к данным и обеспечению их доступности. Участие в проектировании архитектуры данных и внедрении новых технологий. Обеспечение качества данных и их интеграции из различных источников.  Требования:  Хорошее владение SQL и PL/SQL; Владение Python, Go; Опыт работы с Apache Kafka; Опыт использования Redis.  Условия:  Развитие и карьерный рост; Возможность стать частью профессиональной дружной команды Kaspi; Офис в центре города (г. Алматы, Абая 26а); Обучение, тренинги и курсы за счет компании; Бесплатный тренажерный зал в офисе; Языковые курсы; Электронная библиотека - Kaspi Books и доступное приложение к нему; Chill-зона - уютный дворик, workout-площадка, также удобные скамейки и качели, для полной релаксации :) Отсутствие дресс-кода.  Требования Опыт	От 1 года до 3 лет Условия работы График работы	Полный день Добавлено сегодня Пожаловаться Быстрый отклик Отклик на HeadHunter",https://qyzmet.kz/redir?id=20478598,qyzmet_deep_parser
Инженер по данным и AI (on-premise платформа)/Data & AI Engineer,,,,,,"Инженер по данным и AI (on-premise платформа)/Data & AI Engineer Noventiq Занятость	Полная занятость Адрес	Казахстан, Алматы, проспект Достык, 210 РЕКЛАМА Описание вакансии Обязанности:  1.Архитектура и проектирование  Разработка архитектуры: серверной инфраструктуры (CPU/GPU) GPU / HPC кластеров storage для AI (high-throughput / parallel / object) Ethernet/IP и high-speed сетей (включая low-latency) платформы выполнения AI workloads Проектирование: scalable AI infrastructure multi-tenant environments hybrid/on-prem AI платформ Участие в presale / discovery: анализ текущей инфраструктуры Выполнение: sizing GPU / storage / network / подготовка HLD Участие в: защите решений / PoC и демонстрациях  2.Реализация и внедрение  Внедрение: GPU инфраструктуры (NVIDIA DGX / HGX или аналог) / AI платформ Интеграция: compute + storage + network + AI workloads + инфраструктура Настройка: GPU resource allocation / orchestration платформ / performance tuning  3.Тестирование и запуск  Проведение: performance testing / load testing Оптимизация: throughput / latency Подготовка документации проекта  Желателен опыт работы с:  3–5 лет в инфраструктурных проектах или системной интеграции Опыт реализации: servers + storage + virtualization + network Желателен опыт: HPC / GPU / AI инфраструктуры Серверные платформы (x86, GPU-ready) SAN / NAS / Object Storage Enterprise storage: replication / HA / performance tuning Ethernet/IP сети: L2/L3 / VLAN / routing / VXLAN DC архитектура: leaf-spine High-speed networking / InfiniBand Понимание low-latency сетей VMware / Hyper-V / KVM HA / clustering / Resource management Контейнеризация (Docker / Kubernetes — желательно) NVIDIA AI Enterprise (базовое понимание) Run:AI / GPU orchestration (желательно) Scheduling / workload orchestration  Для нас важен:  Опыт работы с enterprise клиентами Участие в presales активностях Способность вести технические обсуждения Готовность к командировкам  Мы предлагаем:  Работу в международной IT‑компании (более 20 лет на рынке) Оформление по ТК РК, социальный пакет, оплачиваемый отпуск и больничный лист, ДМС, развозка в черте города. График работы: понедельник – пятница, 9:00–18:00 (гибкое начало рабочего дня) Профильное обучение за счет компании Дополнительные корпоративные бонусы: оплачиваемый выходной в День рождения, 3 оплачиваемых days off, оплачиваемый отпуск по уходу за ребёнком для отцов, сокращённый на 1 час рабочий день в пятницу и другие. Требования Опыт	От 3 до 6 лет Условия работы График работы	Полный день Добавлено 2 дня назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20636898,qyzmet_deep_parser
AI Engineer,,,,,,"AI Engineer Andersen Занятость	Полная занятость Адрес	Казахстан, Ремот РЕКЛАМА Описание вакансии  Andersen is hiring an AI Engineer for a project enhancing data and AI platform, improving analytics, data quality, and large-scale supply chain operations.  The customer is a large international company operating in the commodities and supply chain sector, managing complex processes across sourcing, production, logistics, and global distribution. The business is focused on sustainability, efficiency, and innovation, while actively investing in digital transformation, cloud technologies, data platforms, automation, and analytics. It offers opportunities to work on large-scale technology solutions supporting critical operations worldwide.  The project focuses on enhancing and optimizing the client’s existing data and AI platform within the agriculture and commodities domain. The team will work with large-scale datasets related to crop production, supply chains, and sales operations to improve data quality, accessibility, and analytical capabilities.  Responsibilities:  Developing and implementing AI solutions using Azure Machine Learning, including model training, deployment, and pipeline orchestration. Preparing and processing data for machine learning tasks, performing data preprocessing and feature engineering to ensure model quality and performance. Building and maintaining APIs for AI models using Python and .NET, enabling integration with external systems and applications. Collaborating with senior AI specialists and architects to implement technical AI solutions aligned with defined architecture and best practices. Working with Azure Cognitive Services (Vision, Speech, Language) to integrate pre-built AI capabilities into applications where appropriate. Setting up and maintaining AI development workflows in Azure DevOps, supporting CI/CD processes for model training, testing, and deployment. Containerizing AI applications using Docker and supporting deployment in Kubernetes environments on Azure. Monitoring deployed models and services, troubleshoot issues, and contributes to continuous improvement and optimization of AI solutions. Participating in testing, validation, and documentation of AI components to ensure reliability and maintainability of delivered solutions.  Must-haves:  Experience as an AI Specialist or in a similar role for 4+ years. Azure Machine Learning (training, deployment, pipelines). Python & .NET for AI development. Data preprocessing and feature engineering. API development for AI models. Familiarity with Azure DevOps for AI workflows. Knowledge of Cognitive Services (Vision, Speech, Language). Containerization (Docker, Kubernetes on Azure). Level of English – from Upper-Intermediate and above.  Reasons why this job would be interesting to you:  Experience in teamwork with leaders in FinTech, Healthcare, Retail, Telecom, and others. Andersen cooperates with such businesses as Samsung, Siemens, Johnson & Johnson, BNP Paribas, Ryanair, Mercedes, TUI, Verivox, Allianz, T-Systems, etc. The opportunity to change the project and/or develop expertise in an interesting business domain. Job conditions – you can work both fully remotely and from the office or can choose a hybrid variant. Guarantee of professional, financial, and career growth! The company has introduced systems of mentoring and adaptation for each new employee. The opportunity to earn up to an additional 1,000 USD per month, depending on the level of expertise, which will be included in the annual bonus, by participating in the company's activities. Access to the corporate training portal, where the entire knowledge base of the company is collected and which is constantly updated. Bright corporate life (parties / pizza days / PlayStation / fruits / coffee / snacks / movies). Certification compensation (AWS, PMP, etc). Referral program. English courses. Private health insurance and compensation for sports activities.  Your personal data is protected in accordance with GDPR regulations.  Join us!  Требования Опыт	От 3 до 6 лет Условия работы График работы	Удаленная работа Добавлено сегодня Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20649858,qyzmet_deep_parser
Ventilated Façade Design Engineer,,,,,,"Ventilated Façade Design Engineer Orlanda Engineering OÜ Занятость	Полная занятость Адрес	Казахстан, Алматы Описание вакансии  Ventilated Façade Design Engineer / Инженер-проектировщик вентилируемых фасадов (НВФ)  Orlanda Engineering OÜ is an international engineering company specializing in ventilated façade systems and building envelopes. We deliver projects across Estonia, Ireland, Poland, Israel, and Turkmenistan. Our fully remote team of more than 25 professionals combines flexibility with technical expertise.  Key Responsibilities:  Design ventilated façade systems based on architectural drawings and technical requirements. Work with point cloud data to ensure precise alignment with existing building geometry. Prepare technical drawings and documentation in compliance with international standards. Optimize material and technology selection for cost-effective solutions. Collaborate with architects, engineers, and contractors to ensure high-quality project delivery.   Requirements:  3–6 years of relevant experience.  Proficiency in AutoCAD, Revit, Civil 3D (or similar), Autodesk Inventor.  Strong knowledge of ventilated façade systems and installation technologies.  Experience with point cloud data and façade modeling.  English proficiency at B1 level or higher ( speaking ability)   We Offer:  100% remote work: work where you're most effective , reclaim your time  Competitive salary (negotiable)  Professional growth and training opportunities  Supportive international team  No bureaucracy, focus on results, large-scale tasks  Требования Опыт	От 3 до 6 лет Условия работы График работы	Удаленная работа Добавлено сегодня Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20648676,qyzmet_deep_parser
QA Engineer in Almaty,,,,,,"QA Engineer in Almaty Andersen Занятость	Полная занятость Адрес	Казахстан, Алматы, проспект Юрия Гагарина, 124 РЕКЛАМА Описание вакансии  Andersen is hiring a QA Engineer in Almaty for a project developing mobile and web banking apps, ensuring quality, reliability, and scalability of modular digital financial solutions.  The customer is a large financial institution serving millions of retail and corporate clients. It combines a broad physical presence with strong investment in digital platforms, mobile solutions, data infrastructure, cybersecurity, and open integrations. Technology is central to improving customer experience and scaling modern banking services.  The project is focused on developing mobile and web banking applications while transitioning to a modular platform of standardized solutions. It involves packaging core banking products into scalable modules to enable faster integration, expansion, and consistent delivery of digital services.  Responsibilities:  Analyzing requirements and preparing test documentation (checklists, test cases). Testing server-side logic, including validating requests, responses, and data exchange between client and server. Performing functional testing of web and mobile applications across different devices and browsers. Creating clear and reproducible bug reports and tracking defects through resolution. Writing database queries to validate data and identify issues.  Requirements:  Experience in QA (manual testing) for 2+ years. Understanding of SDLC and STLC processes. Experience testing REST APIs (Postman, Swagger). Experience testing web applications (Chrome DevTools). Experience testing mobile applications (emulators and real devices). Ability to write clear, structured, and reproducible bug reports. Basic SQL knowledge (SELECT, JOIN – preferred). Understanding of client-server architecture. Experience working with bug-tracking systems (Jira, YouTrack, or similar). Level of English – from Intermediate and above.  Reasons why this job would be interesting to you:  Experience in teamwork with leaders in FinTech, Healthcare, Retail, Telecom, and others. Andersen cooperates with such businesses as Samsung, Siemens, Johnson & Johnson, BNP Paribas, Ryanair, Mercedes, TUI, Verivox, Allianz, T-Systems, etc.; The opportunity to change the project and/or develop expertise in an interesting business domain; Guarantee of professional, financial, and career growth! The company has introduced systems of mentoring and adaptation for each new employee; The opportunity to earn up to an additional 1,000 USD per month, depending on the level of expertise, which will be included in the annual bonus, by participating in the company's activities; Access to the corporate training portal, where the entire knowledge base of the company is collected and which is constantly updated; Bright corporate life (parties / pizza days / PlayStation / fruits / coffee / snacks / movies); Certification compensation (AWS, PMP, etc); Referral program; English courses; Private health insurance and compensation for sports activities.  Требования Опыт	От 1 года до 3 лет Условия работы График работы	Полный день Добавлено вчера Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20639545,qyzmet_deep_parser
QA Automation Engineer (Kotlin\Java),,,,,,"QA Automation Engineer (Kotlin\Java) Andersen Занятость	Полная занятость Адрес	Казахстан, Алматы, проспект Юрия Гагарина, 124 Описание вакансии  Andersen is hiring a QA Automation Engineer (Kotlin) for a project developing a mobile banking platform with modular solutions for scalable and efficient digital financial services.  The customer is a large financial institution serving millions of retail and corporate clients. It combines a broad physical presence with strong investment in digital platforms, mobile solutions, data infrastructure, cybersecurity, and open integrations. Technology is central to improving customer experience and scaling modern banking services.  The project is focused on developing a mobile banking application for retail customers and transitioning to a platform of standardized, modular banking solutions. It involves packaging core products such as cards, loans, accounts, and investments into scalable modules to enable faster integration and product expansion.  Responsibilities:  Developing and maintaining automated tests for a mobile application. Testing an off the shelf solution in the retail banking domain, including functional and integration testing. Creating and maintaining test documentation: test cases, test plans, checklists. Developing and enhancing automated tests (UI and API), ensuring stable test coverage. Participating in requirements analysis and designing test scenarios. Performing regression, integration, and end to end testing. Integrating automated tests into CI/CD pipelines. Collaborating with developers, analysts, and other team members. Contributing to the improvement of testing processes and product quality.  Requirements  Experience in QA Automation for 2.5+ years. Experience with Kotlin (or Java with willingness to switch to Kotlin). Knowledge of testing theory and QA methodologies. Experience testing mobile and web applications. Experience in test automation using Appium, Selenium, RestAssured. Experience using Postman for API testing. Ability to work with traffic sniffing tools. Understanding of OOP principles. Experience working with version control systems (Git). Experience working with Jira and Confluence. Experience working in a team and collaborating with developers and analysts. Skills in writing test and project documentation. Level of English – from Intermediate and above.  Reasons why this job would be interesting to you:  Experience in teamwork with leaders in FinTech, Healthcare, Retail, Telecom, and others. Andersen cooperates with such businesses as Samsung, Siemens, Johnson & Johnson, BNP Paribas, Ryanair, Mercedes, TUI, Verivox, Allianz, T-Systems, etc.. The opportunity to change the project and/or develop expertise in an interesting business domain. Job conditions – you can work both fully remotely and from the office or can choose a hybrid variant. Guarantee of professional, financial, and career growth! The company has introduced systems of mentoring and adaptation for each new employee. The opportunity to earn up to an additional 1,000 USD per month, depending on the level of expertise, which will be included in the annual bonus, by participating in the company's activities. Access to the corporate training portal, where the entire knowledge base of the company is collected and which is constantly updated. Bright corporate life (parties / pizza days / PlayStation / fruits / coffee / snacks / movies). Certification compensation (AWS, PMP, etc). Referral program. English courses. Private health insurance and compensation for sports activities.  Join us!  Требования Опыт	От 1 года до 3 лет Условия работы График работы	Полный день Добавлено 2 дня назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20636858,qyzmet_deep_parser
Инженер информационной безопасности (Information Security Engineer),,,,,,"Инженер информационной безопасности (Information Security Engineer) Noventiq Занятость	Полная занятость Адрес	Казахстан, Алматы, проспект Достык, 210 Описание вакансии Обязанности: Анализ текущей инфраструктуры информационной безопасности клиента. Участие в discovery-сессиях совместно с Solution Sales. Подготовка технической части решений: архитектура / HLD. Участие в выборе и сайзинге решений / PoC и демонстрациях. Поддержка подготовки технических разделов коммерческих предложений. Разработка архитектуры, настройка и внедрение решений по направлениям: Network Security (NGFW, IDS/IPS) Identity Security (IAM / PAM / MFA) Application Security (WAF) Endpoint Security (EDR / XDR) SIEM DLP / Data Security Cloud Security Подготовка: LLD / спецификаций и технических описаний в проектах. Интеграция решений в инфраструктуру клиента. Проведение тестирования и оптимизации. Передача решения заказчику Желателен опыт работы с: Опыт внедрения решений информационной безопасности. Опыт в области информационной безопасности или системной интеграции. Желателен опыт участия в presales или проектировании решений Мы предлагаем: Работу в международной IT‑компании (более 20 лет на рынке) Оформление по ТК РК, социальный пакет, оплачиваемый отпуск и больничный лист, ДМС, развозка в черте города. График работы: понедельник – пятница, 9:00–18:00 (гибкое начало рабочего дня) Профильное обучение за счет компании Дополнительные корпоративные бонусы: оплачиваемый выходной в День рождения, 3 оплачиваемых days off, оплачиваемый отпуск по уходу за ребёнком для отцов , сокращённый на 1 час рабочий день в пятницу и другие. Требования Опыт	От 3 до 6 лет Условия работы График работы	Полный день Добавлено 2 дня назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20636920,qyzmet_deep_parser
MLOps/DevOps Specialist,,,,,,"MLOps/DevOps Specialist АО ""ForteBank"" Занятость	Полная занятость Адрес	Казахстан, Алматы, улица Зеина Шашкина, 1/1 РЕКЛАМА Описание вакансии  Задачи, которые ты будешь выполнять:  Развёртывание, автоматизация и поддержка инфраструктуры для AI/ML-проектов (на базе Kubernetes, Docker). Настройка CI/CD-конвейеров для сервисов машинного обучения и API. Оптимизация и мониторинг вычислительных ресурсов (GPU/CPU-кластеры, облачные и on-prem решения). Поддержка MLOps-процессов: версионирование моделей, управление пайплайнами обучения и деплоя (MLflow, Airflow, Kubeflow). Настройка логирования, алертинга и мониторинга (Prometheus, Grafana, ELK). Обеспечение безопасности, отказоустойчивости и масштабируемости AI-инфраструктуры. Развёртывание и сопровождение MCP-серверов и Agentic AI-систем (LangGraph, MCP, multi-agent orchestration). Взаимодействие с командами Data Science и backend-разработки для ускорения релизов и стабильной работы сервисов.  Требования:  Опыт работы DevOps / Cloud / System Engineer от 3 лет. Уверенные знания Python, Linux, Docker, Kubernetes. Опыт работы с CI/CD-инструментами (GitLab CI, Jenkins, ArgoCD и др.). Опыт использования Terraform, Ansible, Helm. Навыки автоматизации и написания скриптов на Python или Bash. Опыт настройки мониторинга и логирования (Prometheus, Grafana, Loki, ELK).  Будет плюсом:  Опыт работы с MLflow, DVC, Kubeflow, Airflow. Понимание CI/CD-процессов для ML-моделей. Опыт оптимизации GPU-ресурсов и контейнеризации AI-моделей. Практический опыт с Agentic AI-архитектурами (LangGraph, MCP, multi-agent pipelines).  Мы предлагаем тебе:  Конструктор льгот OLZHA: кэшбек на здоровье, спорт, путешествия и саморазвитие в рамках утвержденных лимитов.  Продукты компании для сотрудников на выгодных условиях.  Внутреннее и внешнее обучение, корпоративный доступ к образовательной платформе Udemy.  Merch Store: брендированная продукция с корпоративной символикой.  Отсутствие дресс-кода.  Ультрасовременный и уютный офис HCB HUB.  Йога-классы, корпоративные скидки в фитнес-клубы, клиники, магазины.  Яркая корпоративная жизнь: мероприятия, клубы по интересам.  Требования Опыт	От 1 года до 3 лет Условия работы График работы	Полный день Добавлено вчера Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20642558,qyzmet_deep_parser
