title,salary,city,job,publish_date,requirements,responsibilities,url,source
Data Scientist,,,,,,"Data Scientist Match me Зарплата	до 1400000 KZT Занятость	Полная занятость Адрес	Казахстан, Астана, проспект Туран, 42 РЕКЛАМА Описание вакансии  Наш клиент - аутсорсинговая IT-компания. Работаем сейчас над мобильными приложениями для клиентов. Текущий проект: мобильное приложение для покупки и управления недвижимостью. Продукт интегрируется с CRM/ERP, работает с реальными транзакциями и персональными данными.  Команда расширется, и сейчас мы ищем data scientist.  Задачи:  Сбор, очистка и анализ больших объёмов данных из различных источников.  Построение и валидация статистических моделей, проведение A/B-тестов и экспериментов.  Разработка моделей машинного обучения (классификация, регрессия, кластеризация, рекомендательные системы, временные ряды).  Работа с Generative AI: использование LLM для анализа текста, генерации фич, summarization и agentic решений.  Создание дашбордов и визуализаций для презентации результатов стейкхолдерам.  Перевод бизнес-задач в формулировки data science проектов и наоборот.  MLOps: подготовка моделей к продакшену (в сотрудничестве с инженерами), мониторинг качества моделей, drift detection  Требования:  От 3 лет коммерческого опыта в Data Science / Machine Learning (Senior уровень).  Глубокие знания математики и статистики: теория вероятностей, линейная алгебра, математическая статистика, проверка гипотез, байесовские методы.  Python на экспертном уровне: pandas, NumPy, scikit-learn, SciPy, Matplotlib/Seaborn, Jupyter.  Опыт работы с машинным обучением:  - Классические алгоритмы (XGBoost, LightGBM, CatBoost и др.).  - Deep Learning (PyTorch или TensorFlow/Keras).  - Generative AI и LLM (LangChain, LlamaIndex, prompt engineering, RAG, fine-tuning — обязательно для 2026 года).  SQL на продвинутом уровне (сложные запросы, оптимизация, window functions).  Опыт визуализации данных: Tableau, Power BI, Grafana, Streamlit или Dash.  Понимание MLOps: Docker, MLflow, Airflow, мониторинг моделей, A/B-тестирование в production.  Работа с большими данными: Spark, Hadoop или облачные инструменты (AWS SageMaker, Yandex DataSphere, Google Vertex AI и т.п.)  Умение объяснять сложные технические вещи простым языком бизнесу.  Английский язык на уровне чтения технической документации и научных статей (Upper-Intermediate +)  Условия:  График работы 5/2 с 9:00 до 18:00 Оклад до 1 400 000 тысяч тенге на руки Годовая премия + премии на день рождения Обеды за счет компании Бонусы за проекты Только офис, другие форматы не предусмотрены Требования Опыт	От 3 до 6 лет Условия работы График работы	Полный день Добавлено 4 дня назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20628225,qyzmet_deep_parser
Data Scientist,,,,,,"Data Scientist GetMeGit Занятость	Полная занятость Адрес	Казахстан, Алматы РЕКЛАМА Описание вакансии  Мы - международная аутстафф-команда, внедряющая production-grade AI в строго регулируемые индустрии. Одна из ключевых задач проекта - автоматизировать комплаенс и аналитику рисков/затрат в цепочках поставок с помощью LLM и классического ML. Наша цель? Превратить горы регуляторных документов и данных закупок в надёжные пайплайны, которые проходят аудит с первого раза, не галлюцируют на критических флоу и живут в проде дольше спринта. Старт ASAP, работа онсайт в Абу-Даби, английский B2+.  Если ты понимаешь разницу между настроенным RAG и ""просто поиском по векторам"", выкатываешь модели с мониторингом дрифта и готов к background screening - давай общаться.  Что нужно будет делать:  проектировать и обучать LLM/NLP-решения для сложных технических и регуляторных текстов; строить RAG-пайплайны поверх крупных документальных репозиториев (chunking, embedding, retrieval, reranking); разрабатывать модели прогнозирования, скоринга рисков и классификации для supply chain & spend analytics; деплоить модели в виде продакшен-сервисов (API-интеграция), обеспечивая надёжность, логирование и QA; адаптировать решения под строгие регуляторные требования, участвовать в код-ревью и синках с бизнес-стейкхолдерами.  Что мы ждем от тебя:  senior grade в DS/ML с реальными продакшен-деплоями; уверенный Python и ML-стек (PyTorch/TensorFlow, scikit-learn, Pandas/NumPy); hands-on опыт работы с трансформерами и LLM (fine-tuning, prompt engineering, evaluation, guardrails); практический опыт построения RAG / Information Retrieval систем и структурированного извлечения данных; чёткое понимание MLOps-гигиены: контейнеризация, API-обёртки, версионирование моделей, базовый мониторинг и автоматизация доставки. Требования Опыт	От 3 до 6 лет Условия работы График работы	Удаленная работа Добавлено 6 дней назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20620092,qyzmet_deep_parser
Middle Data Scientist,,,,,,"Middle Data Scientist АО ""Народный банк Казахстана"" Занятость	Полная занятость Адрес	Казахстан, Алматы РЕКЛАМА Описание вакансии  Halyk Банк – это мощная экосистема, где технологии сочетаются с ценностями. Мы гордимся более чем 14 000 работниками, которые делают нас лучшим местом работы. Мы предоставляем услуги во всех сегментах финансового рынка: банковском, страховом, лизинговом и т.д. Мы стремимся стать ведущим цифровым банком, внедряя инновации и предоставляя возможности для роста и развития. Мы ищем талантливых специалистов, готовых развиваться вместе с нами!  Требования: Требования: Высшее техническое, математическое, статистика или Computer Science образование Опыт работы в финансовой или ИТ сфере не менее 3х лет Аналитические способности и понимание бизнес-процессов Банка Знания статистики, опыт работы с большими данными, понимание A/B-тестирования, прогнозирование Опыт работы с базой данных Oracle и поддержки ETL-процессов Опыт работы с BI-инструментами (опыт с Qlik Sense предпочтителен) Машинное обучение (ML): Знание алгоритмов, умение разрабатывать и оптимизировать модели, глубокое обучение (DL) Уверенное владение SQL (запросы, интеграции, JOINs), Python  Обязанности: Обязанности: Участие в процессе автоматизации процесса бюджетирования и других процессов Департамента Разработка моделей прогнозирования, настройка алгоритмов сценарного моделирования Построение дашбордов Оптимизация/доработка отчетов в Qlik Sense Совершенствование/автоматизация управленческой отчетности Департамента  Условия: •Заработная плата и бонусы: конкурентоспособная оплата труда благодаря системе грейдирования, премии ко Дню Независимости и годовой бонус. •Социальный пакет: ДМС и страхование жизни, мобильная связь и скидки от партнеров. •Отпуск и отдых: 26 дней отпуска с возможностью взять дополнительные дни при наступлении важных событий. •Бонусы за рекомендации. •Рабочие условия: льготные условия на паркинг, свободный стиль одежды (smart casual). •Обучение и развитие: тренинги, вебинары и доступ к корпоративной библиотеке, четкая система карьерного роста. •Корпоративная культура: открытая и дружеская рабочая атмосфера, спортивные турниры и активная корпоративная жизнь. •Инициативы и проекты: возможность участия в социальных проектах, реализация идей в новых проектах группы «Halyk» с использованием современных digital-инструментов. •Команда: творческая и поддерживающая команда для реализации ваших идей. Присоединяйтесь к нам и становитесь частью команды «Halyk»!  Требования Опыт	От 3 до 6 лет Условия работы График работы	Полный день Добавлено 5 дней назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20626799,qyzmet_deep_parser
Middle Data Scientist (Отдел развития и внедрения AI),,,,,,"Middle Data Scientist (Отдел развития и внедрения AI) KMF Банк Занятость	Полная занятость Адрес	Казахстан, Алматы, проспект Назарбаева, 50 РЕКЛАМА Описание вакансии  Что делать?  Разрабатывать и улучшать модели для бизнес задач: Проводить анализ данных и проверку гипотез. Готовить датасеты и признаки для обучения моделей. Обучать, валидировать и сравнивать модели. Проводить оценку качества моделей по согласованным метрикам. Анализировать результаты модели на разных сегментах клиентов. Подготавливать выводы, презентации и краткие рекомендации для команды и бизнеса. Совместно с ML Engineers передавать модель в production. Поддерживать уже внедренные модели: анализировать деградацию, предлагать улучшения, обновлять признаки и подходы. Вести документацию по своим моделям и экспериментам.  Если у вас:  Опыт работы Data Scientist от 2–4 лет. Хорошее знание Python, pandas, numpy, scikit-learn и других базовых инструментов DS. Понимание основных алгоритмов ML и принципов их применения. Опыт работы с табличными данными и прикладными задачами бизнеса. Умение проводить feature engineering, обучение и валидацию моделей. Понимание метрик качества классификации, регрессии и сегментации. Навык анализа результатов и формулирования выводов. Умение писать понятный и воспроизводимый код. Опыт взаимодействия с аналитиками, инженерами или бизнес-заказчиками.   Ключевые навыки:  Анализ данных и проверка гипотез Подготовка датасетов и признаков Обучение и сравнение ML-моделей Решение задач churn / segmentation Оценка качества моделей Анализ результатов по сегментам Подготовка понятных выводов Поддержка текущих DS-решений Работа с SQL и табличными данными Документирование экспериментов и моделей  Стек:  Языки: Python, SQL Анализ и ML: pandas, numpy, scikit-learn, xgboost, lightgbm, catboost Визуализация: matplotlib, seaborn Эксперименты: MLflow Среда работы: Jupyter Notebook / JupyterLab Данные: PostgreSQL, object storage, feature datasets Инженерные инструменты: Git  Что мы предлагаем:  Официальное трудоустройство в соответствии с Трудовым кодексом РК; График работы на выбор: 08:30–17:30 / 09:00–18:00 / 09:30–18:30; Ежегодный оплачиваемый отпуск — 28 календарных дней;  После прохождения испытательного срока:  Кафетерий льгот на сумму 250 000 тг. в год (медицинское страхование, обучение, спорт, развитие детей, авиа- и ж/д билеты); 2 дополнительных дня Day Off в год;  Дополнительно:  Лечебное пособие в размере одного оклада при выходе в отпуск (после 1 года работы, при отпуске от 14 дней).  Требования Опыт	От 1 года до 3 лет Условия работы График работы	Полный день Добавлено 8 дней назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20603300,qyzmet_deep_parser
Data Scientist,,,,,,"Data Scientist IT Холдинг Kazdream Занятость	Полная занятость Адрес	Казахстан, Астана, проспект Бауыржана Момышулы, 2/1 РЕКЛАМА Описание вакансии  Обязанности:  Работа с сырыми/обработанными телеком. данными, веб-траффиком; Exploratory Data Analysis; Профилированием пользователей; Кластеризацией динамических текстовых, табулярных и графовых данных; Написание ML/DL Классификаторов. Требования: Знание и понимание технологии Data Science, в том числе ML и DL; Знание основ алгоритмов и структуры данных; Уверенное владение Python (numpy, pandas, pytorch, scikit-learn, networkx); Уверенное владение SQL и опыт работы с базами данных PostgreSQL, ClickHouse, NoSQL БД; Опыт работы с Linux.  Будет плюсом: Знание Golang, R, Scala, Julia, Java.  Условия:  Английский и Казахский языки: бесплатно и удобно, прямо внутри компании; Заботимся о форме и здоровье: компенсируем фитнес и медицинские услуги; Мы за активный отдых: футбол, баскетбол, яркие летний и зимний корпоративы; Корпоративная библиотека для поиска идей и решения рабочих задач; Настольный теннис в офисе для коротких перерывов и заряда энергией. Требования Опыт	Более 6 лет Условия работы График работы	Полный день Добавлено 9 дней назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20598136,qyzmet_deep_parser
Senior Data Scientist,,,,,,"Senior Data Scientist АО ""Народный банк Казахстана"" Занятость	Полная занятость Адрес	Казахстан, Алматы, проспект Аль-Фараби, 40 РЕКЛАМА Описание вакансии  Крупнейший универсальный коммерческий банк Казахстана приглашает тебя в свою команду. Мы ищем талантливых людей, готовых развиваться и расти вместе с нами.  Группа Halyk – это более 17 000 сотрудников в Казахстане и ряде других стран. Наш банк успешно работает на благо своих клиентов уже 100 лет. Мы оказываем услуги во всех сегментах финансового рынка: банковском, страховом, ценных бумаг, лизинговом.  Что ты будешь делать:  Проводить сбор сегментированных выборок для запуска различных кампании, оценку эффективности кампаний, формулировать и проверять гипотезы; Строить дэшборды для визуализации данных. Строить модели предсказания покупки продукта и рекомендательных систем. Общаться с бизнес заказчиками  Что мы ждем от тебя:  Высшее техническое/экономическое образование; Опыт работы в сфере информационных технологий/банковской/финансовой сфере не менее 2,5 года (два года и 6 месяцев) Знания статистики и теории вероятностей; Уверенные знания Python и SQL; Опыт построения классических моделей; Умение пользоваться инструментами gitlab ci/cd, airflow, mlflow, rest api Навыки работы с Hadoop/Spark.  Мы предлагаем:  Уникальный опыт, интересные задачи и проекты; Применение инновационных технологий в работе; Обучение и тренинги; Конкурентная оплата труда в соответствии с международными стандартами.  Заинтересовала вакансия? Откликайся!  Требования Опыт	От 3 до 6 лет Условия работы График работы	Полный день Добавлено 9 дней назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20598554,qyzmet_deep_parser
"Senior Data Scientist, Отдел развития и внедрения AI",,,,,,"Senior Data Scientist, Отдел развития и внедрения AI KMF Банк Занятость	Полная занятость Адрес	Казахстан, Алматы, проспект Назарбаева, 50 РЕКЛАМА Описание вакансии  Что делать?  Разрабатывать модели и аналитические решения для бизнес задач, такие как:  churn prediction, propensity to buy / respond / convert, next best action, и других прикладных ML-задач.  Проводить полный цикл работы над моделью Определять подход к выбору модели, метрик и дизайну экспериментов. Оценивать бизнес эффект моделей и формировать понятную логику использования результата в процессах банка. Совместно с бизнесом и аналитиками переводить бизнес-вопрос в измеримую DS-задачу. Работать с ML Engineers над выводом моделей в production. Контролировать качество признаков, данных и методологии моделирования. Проводить углубленный анализ результатов модели Наставлять middle и junior специалистов, помогать им по методологии, качеству анализа и постановке задач. Участвовать в защите решений перед бизнес-заказчиками и внутренними командами.  Если у вас:  Опыт работы Data Scientist от 4–6 лет. Уверенное владение Python и основными библиотеками для анализа данных и ML. Сильная база в классическом machine learning Опыт решения прикладных бизнес-задач на данных. Умение самостоятельно вести проект от постановки задачи до внедрения. Опыт работы с табличными данными, клиентской аналитикой, маркетинговыми или риск-моделями. Понимание метрик качества моделей и их связи с бизнес-результатом. Опыт оценки бизнес-эффекта ML-решений. Хорошие навыки коммуникации с бизнесом и техническими командами. Умение структурировать задачу и принимать методологические решения.  Ключевые навыки:  Разработка ML-моделей под бизнес-задачи банка Постановка DS-задач совместно с бизнесом Построение моделей churn / next best action Клиентская сегментация Feature engineering Валидация и сравнение моделей, back-testing Подбор метрик под бизнес-задачи Оценка бизнес-эффекта моделей Анализ стабильности и деградации моделей Интерпретация результатов Подготовка рекомендаций для бизнеса Наставничество middle специалистов  Стек:  Языки: Python, SQL Анализ и ML: pandas, numpy, scikit-learn, xgboost, lightgbm, catboost Визуализация: matplotlib, seaborn, plotly Эксперименты и трекинг: MLflow Среда работы: Jupyter Notebook / JupyterLab Данные: PostgreSQL, object storage, feature datasets Инженерное взаимодействие: Git Дополнительно: A/B analysis, campaign analytics, uplift-related approaches  Что мы предлагаем:  Официальное трудоустройство в соответствии с Трудовым кодексом РК; График работы на выбор: 08:30–17:30 / 09:00–18:00 / 09:30–18:30; Ежегодный оплачиваемый отпуск — 28 календарных дней;  После прохождения испытательного срока:  Кафетерий льгот на сумму 250 000 тг. в год (медицинское страхование, обучение, спорт, развитие детей, авиа- и ж/д билеты); 2 дополнительных дня Day Off в год;  Дополнительно:  Лечебное пособие в размере одного оклада при выходе в отпуск (после 1 года работы, при отпуске от 14 дней).  Требования Опыт	От 3 до 6 лет Условия работы График работы	Полный день Добавлено 14 дней назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20566099,qyzmet_deep_parser
Lead Data Scientist,,,,,,"Lead Data Scientist АО ""Фридом Финанс"" Занятость	Полная занятость Адрес	Казахстан, Алматы, проспект Сакена Сейфуллина, 502 РЕКЛАМА Описание вакансии  Обязанности:  Руководить DS-командой: ставить задачи, растить людей, выстраивать процессы  Разрабатывать и внедрять PD-модели — заявочные и поведенческие — от идеи до прода  Работать с богатой экосистемой данных: ПКБ, ГКБ, телеком-операторы и другие внешние источники  Искать и оценивать новые источники данных, превращать их в работающие фичи  Развивать антифрод-направление: транзакционный фрод, кредитный фрод, дропперство  Взаимодействовать с IT, риск-аналитикой и бизнесом — вы мост между данными и решениями  Следить за качеством данных, тестировать гипотезы, улучшать существующие модели  Требования:  Высшее образование — математическое, экономическое, статистическое, техническое или ИТ-направление.  Опыт работы с моделями кредитного скоринга и риск-анализом данных — от 3 лет.  Опыт управления командо- от 1 года  Уверенные знания SQL и Python (pandas, numpy, scikit-learn и др.).  Навыки построения и валидации статистических и ML-моделей (логистическая регрессия, деревья решений, бустинг).  Понимание принципов работы с большими данными и ETL-процессов.  Опыт визуализации аналитических результатов и подготовки отчетов.  Опыт в банке или финтехе — будет большим плюсом  Условия:  Реальное влияние: ваши модели напрямую определяют кредитные решения.  Интересные данные: ПКБ/ГКБ, телеком, поведенческие паттерны — широкий источниковый стек.  ДМС с корпоративной скидкой.  Скидки на спорт и здоровье от партнёров.  Комфортный офис и возможности для профессионального и карьерного роста.  Требования Опыт	От 3 до 6 лет Условия работы График работы	Полный день Добавлено 27 дней назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20486212,qyzmet_deep_parser
ML-инженер/Data Scientist,,,,,,"ML-инженер/Data Scientist АО ""Alatau City Bank"" Занятость	Полная занятость Адрес	Казахстан, Алматы, проспект Аль-Фараби, 36 РЕКЛАМА Описание вакансии  Обязанности:  Обучать ML модели; Тестировать модели и подготовить сетап для деплоя в прод; Участие в развитии КХД; Выполнять аналитические задачи; Заниматься процессами в формате end-to-end; Выведение отчетности в виде дэшбордов; Интерпретация бизнес решений и результатов ML моделей.  Требования:  Высшее техническое образование; Опыт работы в Machine Learning от 3-х лет; Уверенное знание Python (pandas, numpy, scikit-learn); Опыт построения моделей прогнозирования временных рядов (Prophet, ARIMA, LightGBM, CatBoost или аналоги); Владение инструментами SQL, MS office; Аналитика данных, интерпретация результатов.  Условия:  Ежеквартальные премии; Корпоративные предложения по фитнесу; Корпоративные скидки на онлайн обучение в Skyeng для вас и ваших близких; Бесплатная подписка на онлайн библиотеку «Alpina Digital»; Приятная рабочая атмосфера в современном офисе в деловой части города; Возможность строить карьеру в одном из крупнейших банков Казахстана. Требования Опыт	От 3 до 6 лет Условия работы График работы	Полный день Добавлено 27 дней назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20487876,qyzmet_deep_parser
Data Scientist,,,,,,"Data Scientist Freedom Holding Operations Занятость	Полная занятость Адрес	Казахстан, Алматы, проспект Аль-Фараби, 77/7 Описание вакансии  Задачи:  Разработка и внедрение ML-моделей для решения бизнес-задач компании (регрессия, классификация, рекомендательные системы); Проведение полного цикла работы с данными: сбор, очистка, feature engineering, построение pipeline; Проектирование и проведение A/B-тестов, анализ результатов экспериментов; Выбор и оптимизация метрик качества моделей, настройка гиперпараметров; Разработка и поддержка инференса моделей в продакшене (API, скрипты); Мониторинг качества работающих моделей, выявление деградации и своевременное переобучение; Работа с SQL-запросами для извлечения и анализа данных; Визуализация результатов анализа и подготовка презентаций для стейкхолдеров; Перевод бизнес-требований в технические задачи Data Science; Приоритизация задач в бэклоге, управление сроками и рисками мини-проектов; Документирование кода, моделей и процессов; Командная работа с аналитиками, инженерами и продакт-менеджерами; Поддержка code review и соблюдение best practices разработки.  Мы ожидаем от кандидата:  Образование и опыт:  Высшее образование (бакалавр/магистр) в области математики, статистики, Computer Science или инженерных специальностей; Опыт работы Data Scientist/ML Engineer от 2 лет в продуктовой компании или консалтинге; Опыт участия в полном цикле разработки ML-решений: от работы с данными до внедрения модели в продакшен.  Технические навыки:  Уверенное владение Python и основными библиотеками: NumPy, pandas, scikit-learn; Базовые знания PyTorch или TensorFlow; Уверенное владение SQL: написание JOIN, CTE, базовая оптимизация запросов; Опыт работы с инструментами визуализации данных (matplotlib, seaborn, plotly); Владение Git, написание чистого кода, базовые знания pytest.  ML-компетенции:  Практический опыт работы с задачами регрессии, классификации, кластеризации; Навыки подготовки данных и feature engineering (работа с пропусками, категориальными признаками, масштабирование); Опыт тюнинга гиперпараметров (Grid/Random Search, early stopping); Понимание принципов A/B-тестирования и основных статистических тестов (t-test, χ²); Опыт разработки рекомендательных систем.  Аналитические навыки:  Опыт дизайна экспериментов, проведения статистических тестов и power-анализа; Умение работать с продуктовыми метриками (CR, ARPU, LTV, retention); Грамотный выбор и интерпретация метрик качества моделей (ROC-AUC, PR-AUC, F1, calibration, uplift).  Продакшен и инфраструктура:  Опыт разворачивания моделей в продакшен (скрипты, API на Flask/FastAPI); Навыки логирования и базового мониторинга метрик моделей.  Soft skills:  Умение переводить бизнес-задачи в ML-постановки. Четкая коммуникация результатов для нетехнических аудиторий. Навыки визуального сторителлинга; Самостоятельность в ведении задач и управлении мини-проектами; Ответственность за сроки и результаты.  Будет плюсом:  Опыт работы с gradient boosting библиотеками (XGBoost, LightGBM, CatBoost); Опыт работы с большими данными (Spark, Dask); Знание deep learning архитектур (CNN, RNN, трансформеры); Опыт работы с MLflow, DVC, Docker, Airflow/Prefect.  Что мы предлагаем:  Профессиональный коллектив; Возможность работать над проектами, приносящими пользу для тысяч людей; Неограниченный рост; Комфортный офис в центре города; Скидки на фитнес, обучение английскому языку, подарки на праздники и дни рождения; Бонусы и уникальные предложения от компаний холдинга; Спонсирование профессионального обучения; Насыщенная корпоративная жизнь с выездами на природу, праздничными мероприятиями в офисе, играми и розыгрышами подарков. Требования Опыт	От 3 до 6 лет Условия работы График работы	Полный день Добавлено 1 месяц назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20397962,qyzmet_deep_parser
