title,salary,city,job,publish_date,requirements,responsibilities,url,source
DevOps-инженер,,,,,,"DevOps-инженер SOLID GROUP (Солид Груп) Занятость	Полная занятость Адрес	Казахстан, Павлодар Описание вакансии Обязанности: Настройка и поддержка CI/CD процессов (сборка, тестирование, деплой) Автоматизация процессов разработки и релизов Управление облачной инфраструктурой (AWS / GCP / Azure) Настройка и поддержка серверов и окружений (dev / stage / prod) Контейнеризация и оркестрация (Docker, Kubernetes) Мониторинг и логирование (Prometheus, Grafana, ELK) Обеспечение отказоустойчивости и масштабируемости системы Работа с безопасностью (доступы, секреты, обновления) Взаимодействие с командой разработки Просчет нагрузки Составление архитектуры серверов Составление документов по серверной части Просчет стоимости облачных ресурсов Требования: Опыт работы DevOps инженером от 2 лет Уверенное владение Linux (администрирование, bash) Опыт работы с Docker и Kubernetes Знание CI/CD инструментов (GitLab CI, Jenkins, GitHub Actions) Опыт работы с облачными платформами (AWS / GCP / Azure) Понимание сетей (HTTP, DNS, TCP/IP) Навыки автоматизации (Python / Bash) Опыт настройки мониторинга и логирования Понимание принципов безопасности Умение работать с Git, GitHub Будет плюсом:​​​​​​​ Опыт работы с high-load системами Infrastructure as Code (Terraform, Ansible) Опыт работы с мобильными приложениями или игровыми проектами Настройка CDN и балансировщиков нагрузки Требования Опыт	От 1 года до 3 лет Условия работы График работы	Полный день Добавлено 2 дня назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20634265,qyzmet_deep_parser
DevOps Engineer,,,,,,"DevOps Engineer ChillBase Занятость	Полная занятость Адрес	Казахстан, Алматы, проспект Достык РЕКЛАМА Описание вакансии  ChillBase - независимая игровая студия. Мы делаем только те продукты, которые драйвят нас - и это наша главная ценность. На текущий момент наши проекты находятся в релизе и продолжают активно развиваться. Мы привыкли выполнять задачи качественно, но жесткая корпоративная иерархия - это не про нас.  Мы работаем над уникальной мобильной Immersive Social Sandbox игрой OneState.  Если хочешь попасть в вовлеченную команду, работать над интересными задачами с минимумом бюрократии, регулярно слышать честную обратную связь, то нам по пути!  Чем предстоит заниматься: Участие в разработке инфраструктуры компании Улучшение текущей инфраструктуры Поиск лучших решений для внедрения в инфраструктуру Что хотим видеть: Опыт работы на позиции DevOps от 3х лет Опыт работы с Kubernetes, глубокое погружение в архитектуру Опыт работы с GitOps и ChatOps Опыт администрирования реляционных, колоночных баз данных Опыт администрирования Linux Опыт работы и/или построения систем мониторинга Знание сетей на продвинутом уровне Опыт работы с Ansible, Terraform  Готовность переехать в один из наших хабов (Алматы или Белград)  Дополнительно будет классно: Знание ЯП для автоматизации задач (Bash, Python, Golang) Умение работать с ИИ агентами Что мы предлагаем:  Рост и развитие. Наш проект активно развивается, как и команда, создающая его. Мы вкладываемся в рост каждого специалиста и регулярно пересматриваем зарплаты по результатам работы, более того, у нас действует система промоушена, позволяющая специалистам проявить себя на более ответственных позициях.  Комфортные условия работы для достижения лучших результатов. Разные форматы работы: полная удаленка, гибрид, офис. Гибкий график с возможностью брать дэй оффы без лишней бюрократии.  Забота о сотрудниках. Sick days без потери в зп, помощь в сложных жизненных ситуациях, минимум бюрократии и процессов ради процессов.  Оформление. Мы предлагаем гибкую систему оформления, включающую официальные трудовые отношения в Казахстане, на Кипре, в Сербии и в Дубай, а также ИП и любые другие удобные вам форматы.  Требования Опыт	От 3 до 6 лет Условия работы График работы	Полный день Добавлено вчера Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20645288,qyzmet_deep_parser
DevOps-инженер,,,,,,"DevOps-инженер Институт цифровой техники и технологий Занятость	Полная занятость Адрес	Казахстан, Алматы, улица Каныша Сатпаева, 22В/1 Описание вакансии Обязанности: Настройка и поддержка CI/CD процессов (сборка, тестирование, деплой) Автоматизация процессов разработки и релизов Управление облачной инфраструктурой (AWS / GCP / Azure) Настройка и поддержка серверов и окружений (dev / stage / prod) Настройка виртуальной сети и виртуальных машин (поднятие кластера из вирт.машин, настройка доступов, заведение в домены IP) Контейнеризация и оркестрация (Docker, Kubernetes) Мониторинг и логирование (Prometheus, Grafana, ELK) Обеспечение отказоустойчивости и масштабируемости системы Работа с безопасностью (доступы, секреты, обновления) Взаимодействие с командой разработки Просчет нагрузки Составление архитектуры серверов Составление документов по серверной части Просчет стоимости облачных ресурсов Применение политик безопасности Требования: Опыт работы DevOps инженером от 2 лет Уверенное владение Linux (администрирование, bash) Опыт работы с Docker и Kubernetes Знание CI/CD инструментов (GitLab CI, Jenkins, GitHub Actions) Опыт работы с облачными платформами (AWS / GCP / Azure) Навыки работы в Hyper-V Понимание сетей (HTTP, DNS, TCP/IP) Навыки автоматизации (Python / Bash) Опыт настройки мониторинга и логирования Понимание принципов безопасности Умение работать с Git, GitHub Будет плюсом:​​​​​​​ Опыт работы с high-load системами Infrastructure as Code (Terraform, Ansible) Опыт работы с мобильными приложениями или игровыми проектами Настройка CDN и балансировщиков нагрузки Требования Опыт	От 1 года до 3 лет Условия работы График работы	Полный день Добавлено 2 дня назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20635343,qyzmet_deep_parser
DevOps Engineer (FinTech),,,,,,"DevOps Engineer (FinTech) Перфект Системс Занятость	Полная занятость Адрес	Казахстан, Алматы, улица Толе би РЕКЛАМА Описание вакансии  О проекте  Мы выступаем технологическим партнёром крупной страховой компании и работаем с production-инфраструктурой.  В основе — Kubernetes-кластер и набор сервисов с реальной нагрузкой. Также есть отдельное AI-направление с GPU-инфраструктурой (на уровне взаимодействия и поддержки).  Инфраструктура уже развернута, при этом активно развивается: появляются новые сервисы, растет нагрузка, и требуется усиление DevOps-практик.  Со стороны нашей команды — ответственность за стабильность, развитие и систематизацию инфраструктурных процессов.  Чем предстоит заниматься:  — поддержка и развитие Kubernetes-кластера  — настройка и сопровождение CI/CD  — работа с инфраструктурой (Terraform, Ansible)  — настройка мониторинга и логирования (ELK / Prometheus / Grafana)  — участие в задачах, связанных с AI/ML-инфраструктурой (на уровне эксплуатации и интеграции)  — оптимизация стабильности и производительности систем  Что мы ожидаем:  Опыт работы в DevOps/SRE от 1 года, понимание жизненного цикла разработки ПО.  Уверенные знания Kubernetes и принципов работы с Docker  Опыт работы с инструментами IaC (Terraform / Ansible) Навыки настройки CI/CD систем  Понимание того, как инженерные решения влияют на стабильность бизнеса.  ✔ Реальный стек:  Kubernetes  Terraform  Ansible  Python  ELK / monitoring  CI/CD  networking / load balancing.  AI / ML:  поддерживать инфраструктуру  autoscaling (KEDA)  ресурсы GPU  Будет плюсом  опыт в fintech / highload  опыт построения инфраструктуры с нуля  опыт работы в небольших командах.  Условия  Оформление по договору (ИП) Обучение Фиксированные ежемесячные выплаты Возможность планировать отпуск по согласованию Работа на проекте крупной страховой компании Офис в Алматы, 09:00–18:00 Команда ~ 6–7 человек Гарантия профессионального роста, как IT-специалиста. Требования Опыт	От 1 года до 3 лет Условия работы График работы	Полный день Добавлено сегодня Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20649770,qyzmet_deep_parser
MLOps/DevOps Specialist,,,,,,"MLOps/DevOps Specialist АО ""ForteBank"" Занятость	Полная занятость Адрес	Казахстан, Алматы, улица Зеина Шашкина, 1/1 РЕКЛАМА Описание вакансии  Задачи, которые ты будешь выполнять:  Развёртывание, автоматизация и поддержка инфраструктуры для AI/ML-проектов (на базе Kubernetes, Docker). Настройка CI/CD-конвейеров для сервисов машинного обучения и API. Оптимизация и мониторинг вычислительных ресурсов (GPU/CPU-кластеры, облачные и on-prem решения). Поддержка MLOps-процессов: версионирование моделей, управление пайплайнами обучения и деплоя (MLflow, Airflow, Kubeflow). Настройка логирования, алертинга и мониторинга (Prometheus, Grafana, ELK). Обеспечение безопасности, отказоустойчивости и масштабируемости AI-инфраструктуры. Развёртывание и сопровождение MCP-серверов и Agentic AI-систем (LangGraph, MCP, multi-agent orchestration). Взаимодействие с командами Data Science и backend-разработки для ускорения релизов и стабильной работы сервисов.  Требования:  Опыт работы DevOps / Cloud / System Engineer от 3 лет. Уверенные знания Python, Linux, Docker, Kubernetes. Опыт работы с CI/CD-инструментами (GitLab CI, Jenkins, ArgoCD и др.). Опыт использования Terraform, Ansible, Helm. Навыки автоматизации и написания скриптов на Python или Bash. Опыт настройки мониторинга и логирования (Prometheus, Grafana, Loki, ELK).  Будет плюсом:  Опыт работы с MLflow, DVC, Kubeflow, Airflow. Понимание CI/CD-процессов для ML-моделей. Опыт оптимизации GPU-ресурсов и контейнеризации AI-моделей. Практический опыт с Agentic AI-архитектурами (LangGraph, MCP, multi-agent pipelines).  Мы предлагаем тебе:  Конструктор льгот OLZHA: кэшбек на здоровье, спорт, путешествия и саморазвитие в рамках утвержденных лимитов.  Продукты компании для сотрудников на выгодных условиях.  Внутреннее и внешнее обучение, корпоративный доступ к образовательной платформе Udemy.  Merch Store: брендированная продукция с корпоративной символикой.  Отсутствие дресс-кода.  Ультрасовременный и уютный офис HCB HUB.  Йога-классы, корпоративные скидки в фитнес-клубы, клиники, магазины.  Яркая корпоративная жизнь: мероприятия, клубы по интересам.  Требования Опыт	От 1 года до 3 лет Условия работы График работы	Полный день Добавлено вчера Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20642558,qyzmet_deep_parser
Senior DevOps Engineer,,,,,,"Senior DevOps Engineer BTS Digital Занятость	Полная занятость Адрес	Казахстан, Астана, Многофункциональный комплекс Абу Даби Плаза Описание вакансии  BTS Digital - это IT-компания, которая создаёт цифровые продукты, упрощающие жизнь людей. Мы развиваем экосистему сервисов для повседневных задач, бизнеса и государственного сектора.  Нашими продуктами : Aitu Messenger, Aitu Koshelek 2.0, Aitu Passport и Системой мгновенных платежей уже пользуются более 9 миллионов человек.  Мы растём и усиливаем команду, поэтому сейчас находимся в поиске Senior DevOps Engineer который хочет работать с масштабными продуктами и решениями, влияющими на миллионы пользователей.  Что нужно делать:  Планировать, развивать и поддерживать надежную инфраструктуру / platform engineering быстро растущего проекта  Заниматься автоматизацией и избавлением себя, и коллег от рутины  Помогать разработчикам проектировать производительные отказоустойчивые решения  Мы ждем, что вы:  Не менее 7 лет работаете с Linux и открытым ПО OpenStack, Ceph Умеете и любите автоматизировать рутинные операции Понимаете, зачем и как организовать мониторинг на всех уровнях - железо, сеть, система, приложения Умеете автоматизировать и программировать на любом из выбранных вами языках Внедряли и поддерживали процессы CI/CD и знакомы с методами разработки, такими как agile Минимизируете ночной on-call / outage методической и архитектурной работой Умеете автоматизировать и базово программировать на любом из выбранных вами языков Внедряли и поддерживали процессы CI/CD и знакомы с методами разработки, такими как agile Знаете, как сделать отказоустойчивый масштабируемый сервис  Вам не обойтись без опыта работы с такими инструментами:  OpenStack, Ceph Реляционные и нереляционные базы данных: работа под нагрузкой, репликация, резервирование, профилирование Веб-серверы и балансировщики нагрузки Системы управления конфигурацией Системы CI/CD и Git Понимание Linux (например CentOS) на глубоком уровне Сеть Linux, в частности понимание работы IP/TCP/HTTP, умение диагностировать и решать проблемы Docker и его системы оркестрации в продакшен-окружении Стэк технологий в компании современный, кратко: Linux, bash , python, GO, CI/CD , Gitlab, Ansible, Terraform, Prometheus, Victoria Metrics, Alertmanager, Grafana, Docker, Kubernetes, etc  Мы предлагаем:  Уютный офис в г.Астана Возможность работать в гибридном/онлайн формате со стандартным графиком Возможность стать частью IT компании, которая создает цифровые решения, меняющие жизнь людей к лучшему Требования Опыт	От 3 до 6 лет Условия работы График работы	Удаленная работа Добавлено вчера Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20636831,qyzmet_deep_parser
DevOps-инженер,,,,,,"DevOps-инженер Коммунальное государственное учреждение «Smart Aqmola» при аппарате акима Акмолинской области Зарплата	от 220000 до 270000 KZT Занятость	Полная занятость Адрес	Казахстан, Кокшетау, улица Юрия Гагарина, 7 РЕКЛАМА Описание вакансии Обязанности: Оркестрация и контейнеризация: Развертывание и поддержка компонентов системы в Docker и Kubernetes. Управление релизами: Организация процесса деплоя различных версий аналитической системы (dev/test/prod окружения). Мониторинг: Настройка базового сбора метрик для отслеживания состояния развернутых сервисов. Требования:  Docker, Linux (bash), PostgreSQL, понимание сетевых протоколов TCP/IP, сетевых портов  Будет плюсом Kubernetes, Nginx/Apache.  Условия:  Официальное трудоустройство по ТК РК. Обязательное требование - работа на месте работодателя. Подробности при собедесовании. Вакансия может подойти системным администраторам, работавшими с виртуализацией серверов. Требования Опыт	От 1 года до 3 лет Условия работы График работы	Полный день Добавлено 2 дня назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20635345,qyzmet_deep_parser
DevOps-инженер,,,,,,"DevOps-инженер Грин-Апи Занятость	Полная занятость Адрес	Казахстан, Астана, проспект Кабанбай Батыра, 47/2 РЕКЛАМА Описание вакансии  ВАЖНО!  Формат работы:  Офис: г. Астана (Казахстан) Удалённые сотрудники работают в своём часовом поясе с частичным пересечением с командой. Помощь при релокации. Аккредитованная ИТ-компания (отсрочка от армии РФ)  Международная ИТ-компания GREEN-API предоставляет интернет сервис для интеграции любых приложений с самым популярным мессенджером WhatsApp. У нас молодой и дружный коллектив. На текущий момент в команде более 55 человек. У нас есть представительства в России, Казахстане, Бразилии, Израиле. Мы активно развиваемся и внедряем наших ботов по всему Миру. Работаем удаленно, а также работаем в офисе в городе Астана, Казахстан. Мы ценим своих сотрудников и готовы вкладываться в их развитие. Приятно видеть, когда сотрудник растет вместе с командой. В нашей компании у Вас будет неограниченный потенциал развития и роста. Приходите к нам, в нашу команду. Вместе мы создадим самый лучший программный продукт в Мире!  Аккредитованная ИТ-компания (отсрочка от армии для военнообязанных)  Обязанности:  системное администрирование 500+ серверов  настройка доступов в разных системах  настройка мониторинга серверов  автоматизация обслуживания серверов  поддержка и настройка системы логирования и автоматизация выдачи запросов Elastiс  техподдержка 2й линии - решение сложных аналитических вопросов Требования:  Настройка и администрирование Elastiс  K8s  Zabbix  Jenkins, GitLab CI/CD  VPN  Настройка сетей и маршрутов  3Proxy, HAProxy  Linux, Windows  Желание расти и развиваться в компании  Опыт работы с СУБД Монго, MySQL, MS SQL  Настройка резервного копирования СУБД  Знание и понимание базовых принципов настройки сетей и сетевых маршрутов  Условия: Удаленный режим работы или в офисе г. Астана Помощь в релокации в Астану, релокационный пакет  Полная занятость  Официальное оформление в штат компании  Уровень ЗП готовы обсуждать с успешным кандидатом  Требования Опыт	От 1 года до 3 лет Условия работы График работы	Удаленная работа Добавлено сегодня Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20650102,qyzmet_deep_parser
Стажер Support Engineer/ DevOps (IoT/Linux),,,,,,"Стажер Support Engineer/ DevOps (IoT/Linux) Мобильный оператор ""Beeline"" / ТОО ""КаР-Тел"" Занятость	Частичная занятость Адрес	Казахстан, Алматы, Политехническая улица, 2 РЕКЛАМА Описание вакансии  Обязанности:  Участие в технической поддержке IoT-продуктов (L1/L2 уровень) Подключение и диагностика камер видеонаблюдения (VSaaS) Мониторинг и сопровождение сервисов (Orman-AI, Beeline Metering) Анализ инцидентов и проведение первичной диагностики Эскалация сложных технических проблем на следующий уровень Работа с Linux-серверами: анализ логов, базовая настройка сервисов Поддержка веб-инфраструктуры: настройка и проверка Nginx, проксирование Работа с Docker: запуск и управление контейнерами Участие в автоматизации задач (Bash-скрипты) Диагностика сетевых проблем (TCP/IP, доступность сервисов)  Требования:  Обязательные:  Базовый опыт работы с Linux (Ubuntu / CentOS / RHEL) Понимание основ сетей: модель OSI, TCP/IP, DNS, HTTP/HTTPS Базовые навыки работы с Bash Аналитическое мышление и умение разбираться в технических проблемах  Будет плюсом:  Опыт работы с Docker (запуск контейнеров) Знание Nginx (базовая настройка, проксирование) Понимание принципов работы веб-сервисов Опыт работы с логами и мониторингом  Условия:  Гибкий рабочий график  Возможность получить сильный практический опыт  Оплачиваемая стажировка  Договор ГПХ на 3 или 6 месяцев  Возможность трудоустройства по результатам стажировки  Если вы читаете эти строки, значит вам действительно интересно. Поделитесь в сопроводительном письме, что привлекло вас в этой роли и чего вы от неё ожидаете — нам важно это знать.  Требования Опыт	Нет опыта Условия работы График работы	Полный день Добавлено вчера Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20643162,qyzmet_deep_parser
Senior OutSystems Developer,,,,,,"Senior OutSystems Developer Центр цифрового развития Национального Банка Казахстана Занятость	Полная занятость Адрес	Казахстан, Астана, проспект Мангилик Ел, 57А РЕКЛАМА Описание вакансии  Мы ищем опытного ИТ-архитектора на платформе OutSystems, который будет отвечать за проектирование, разработку и развитие корпоративных решений в локально развернутой среде (On-Premise). Это роль для специалиста, который умеет выстраивать архитектуру с нуля, глубоко понимает инфраструктуру платформы и готов влиять на ключевые технологические решения. Вы будете работать над корпоративной системой на базе OutSystems 11, участвовать в проектировании архитектуры, интеграциях и развитии платформы. Роль предполагает высокий уровень самостоятельности, взаимодействие с DevOps и участие в принятии технических решений.  Вам предстоит  Проектировать архитектуру и разрабатывать решения на платформе OutSystems; Реализовывать бизнес-процессы с использованием BPT (Business Process Technology); Разрабатывать веб-интерфейсы и мобильные приложения; Проектировать и реализовывать интеграции (REST, SOAP, файловый обмен); Работать с СУБД Oracle: проектирование, оптимизация, администрирование; Взаимодействовать с DevOps по серверной инфраструктуре; Настраивать и учитывать работу балансировщиков нагрузки; Администрировать платформу: обновления, управление через LifeTime, мониторинг через Service Center; Разрабатывать кастомные расширения (Extensions) на C#; Обеспечивать стабильность, мониторинг и качество работы системы. Мы ожидаем от вас Экспертное знание OutSystems 11 (включая On-Premise); Опыт работы со всеми ключевыми инструментами платформы (Service Studio, Integration Studio, Service Center, LifeTime); Практический опыт построения интеграций (REST, SOAP, файловый обмен); Глубокие знания Oracle DB (администрирование, сложные SQL-запросы); Опыт работы с серверной архитектурой и взаимодействия с DevOps; Знание C# для разработки Extensions; Уверенные знания HTML, CSS, JavaScript; Опыт реализации бизнес-процессов через BPT; Понимание принципов работы балансировщиков нагрузки; Опыт обновления и сопровождения платформы OutSystems.  Мы предлагаем:  Участие в крупных инфраструктурных проектах;  Дополнительные выплаты:  лечебное пособие;  премии к государственным и корпоративным праздникам;  годовой бонус;  Работа в г. Алматы;  График работы: 5/2, с 09:00 до 18:30.​​​​​​​  Требования Опыт	От 3 до 6 лет Условия работы График работы	Удаленная работа Добавлено сегодня Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20648686,qyzmet_deep_parser
