title,salary,city,job,publish_date,requirements,responsibilities,url,source
Full-Stack Developer (Middle),,,,,,"Full-Stack Developer (Middle) Jana Post Занятость	Полная занятость Адрес	Казахстан, Алматы, Наурызбайский район, микрорайон Калкаман-3, улица Каракулова, 40 РЕКЛАМА Описание вакансии  Jana Post развивает международные логистические решения и усиливает команду. Ищем Middle Full-Stack Developer, который будет участвовать в разработке и развитии новых, ключевых сервисов компании.  Чем предстоит заниматься:  Разработка и поддержка frontend-компонентов на Vue.js; Проектирование, разработка и тестирование backend-сервисов на Java / Spring Boot; Создание и интеграция RESTful API; Работа с базами данных (PostgreSQL / MySQL), оптимизация SQL-запросов; Проведение code review и подготовка технической документации;  Требования (Must have):  Коммерческий опыт 3–5 лет в разработке (fullstack / backend / frontend); Уверенное знание Vue.js (Vue 2/3, Vuex/Pinia, Vue Router); Уверенное знание Java + Spring Boot (Spring MVC, Spring Security); Опыт разработки и интеграции RESTful API; Опыт работы с SQL базами данных (PostgreSQL или MySQL); Понимание Git и CI/CD (Jenkins / GitLab CI); Знание HTML5, CSS3, JavaScript (ES6+); Английский на уровне чтения технической документации (Intermediate+);  Nice to have  Опыт работы с Docker; Опыт работы в Agile/Scrum командах; Умение проводить code review и делиться знаниями; Опыт работы с AI-инструментами для разработки (Claude CLI, Codex CLI, Cursor и др.); Навыки самостоятельного принятия технических решений;  Мы предлагаем:  График 5/2, с 9:00 до 18:00, офис в Алматы (пересечение Шаляпина/Ашимова); Прямое влияние на продукт: ваши решения отражаются на бизнес-показателях компании; Участие в международных проектах в сфере логистики и e-commerce; Быстрое принятие решений, минимум бюрократии; Реальные возможности карьерного и профессионального роста; Углубленное развитие технической экспертизы за счет участия в продуктовых решениях; Обучение и развитие в рамках корпоративной стратегии; Динамичная команда, сильная корпоративная культура и регулярные мероприятия за счёт компании; Корпоративная скидка в Invictus GO, корпоративные завтраки;  Если вы соответствуете требованиям и заинтересованы в развитии в рамках данной роли, будем рады вашему отклику.  Требования Опыт	От 3 до 6 лет Условия работы График работы	Полный день Добавлено 2 дня назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20634959,qyzmet_deep_parser
Full-Stack Developer (Python / TypeScript),,,,,,"Full-Stack Developer (Python / TypeScript) Meteoro Platform Занятость	Полная занятость Адрес	Казахстан, Астана Описание вакансии  О роли  Мы ищем Middle/Middle+ Full-Stack разработчика: вы уверенно работаете и с backend, и с frontend, и берёте задачи end-to-end — от требований до прода.  Для нас это действительно full-stack роль 50/50: в зависимости от задач продукта вы одинаково уверенно включаетесь как в backend-, так и во frontend-разработку.  Ваши суперспособности  3+ года в продуктовой разработке: проектируете и выкатываете в прод backend/full-stack фичи Сильный Python: FastAPI, async, Pydantic, SQLAlchemy/asyncpg, строгая типизация (mypy/pyright), pytest Уверенный TypeScript/React: знакомы с современным стеком (Vite, TanStack Query/Router, shadcn, Tailwind, react-hook-form, Zod, i18n) Пишете чистый, тестируемый и поддерживаемый код — тесты для вас часть нормы Уверенно работаете с SQL/NoSQL: PostgreSQL, Redis/Valkey Есть опыт с Kafka или другими брокерами сообщений и очередями Знаете Docker и CI/CD; уверенно работаете с Kubernetes Применяете observability на практике: метрики, логи, трейсы — Grafana, Jaeger, OpenTelemetry Понимаете, как устроены API-гейтвеи (APISIX, Kong, Traefik или аналоги) и умеете с ними работать Понимаете архитектурные подходы и компромиссы между ними: event-driven, CQRS, clean/hexagonal, модульный монолит vs микросервисы Есть опыт с разными типами API: REST, WebSocket, SSE/streaming, gRPC — понимаете, что и когда уместно Есть опыт работы с API современных LLM и его нюансами: токены и контекст, стриминг, ретраи, лимиты, ошибки, prompt caching, structured outputs, tool calling В ежедневной работе на продвинутом уровне используете SWE-агентов и Agent Harness (Claude Code, Codex, OpenCode, Pi и др.) Берёте ownership: ведёте задачу end-to-end — от требований до прода, проактивно снимаете блокеры Обладаете инженерным мышлением: видите компромиссы, быстро разбираетесь в новом и доводите до практики Думаете про пользователя и метрики; общаетесь по делу  Что вы будете делать  Разрабатывать и выкатывать в прод backend-сервисы и API на Python/FastAPI, на которых работает продукт Разрабатывать и развивать frontend-часть продукта на React/TypeScript Брать задачи end-to-end: от требований до прода, включая backend и frontend Проектировать и поддерживать ядро системы: бизнес-логика, интеграции, событийные пайплайны (Kafka), кеши, фоновые задачи, хранилища (S3) Работать с AI/LLM-функциональностью продукта: интеграции с провайдерами, агентные пайплайны, tool use, structured outputs Следить за стабильностью и observability: метрики, трейсы, алерты, разбор инцидентов Плотно сотрудничать с product, ML и инженерной командой, чтобы и UX, и DX были гладкими и предсказуемыми Участвовать в архитектурных решениях и формировании технического направления по мере роста продукта Быстро доводить идеи от прототипа до продакшена, с ответственностью за качество и надёжность  Будет плюсом  Знание Rust (хотя бы на базовом уровне) Hands-on опыт с OIDC/OAuth2-провайдерами: ZITADEL, Keycloak, Auth0, Okta или аналогами Опыт с LLM-фреймворками: LangChain/LangGraph, LlamaIndex, Mastra, DSPy, Pydantic AI и т.п. Понимание внутреннего устройства современных агентов и агентных систем: Agent Loop, эффективная работа с контекстом и context engineering, tool use, prompt caching, structured outputs, MCP, Agent Harness Опыт с RAG не только на векторном поиске: BM25, fuzzy, гибридный поиск, agentic search Собственные pet-проекты и эксперименты с AI/LLM Вклад в open-source Образование в CS или смежной области  Условия и бонусы  Конкурентная зарплата 25 дней отпуска, дополнительные выходные дни и больничный Гибкие варианты работы: удалённо или гибридно Возможности для профессионального и карьерного роста Требования Опыт	От 3 до 6 лет Условия работы График работы	Удаленная работа Добавлено 2 дня назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20635288,qyzmet_deep_parser
General/Full-Stack QA - specialist,,,,,,"General/Full-Stack QA - specialist Innovate soft development Занятость	Полная занятость Адрес	Казахстан, Алматы Описание вакансии  Join a fast-growing cybersecurity company specialising in world-class privacy and security solutions. Operating as a fully remote global team, we are on a mission to protect digital lives and ensure anonymity for millions worldwide. We are vocal advocates for civil rights, digital freedom, and an uncensored online culture. We are looking for an experienced General/Full Stack QA who thrives on solving complex challenges and is ready to make a massive impact on a high-traffic product at the intersection of security, massive scale, and digital freedom.  What we are looking for:  Experience of at least 4 years in QA with a focus on automated with Playwright + TS/JS.  Mandatory IT Education.  Strong skills in automated and manual testing of web apps, sites.  Confident use of DevTools, Figma, Project management platforms, Test management platforms.  Good understanding of the theoretical foundations of the testing process and the ability to apply them in practice.  Ability to write and work with test documentation.  Communication with developers, team leads, product managers.  Proactive QA with Focus on Observability.  Analytical thinking and a desire to understand complex systems.   What you will do:  Writing auto-tests (Playwright + TS/JS).  Skills in manual testing of web applications and websites.  Desire to develop in automation (Playwright + TS/JS).  Perform: functional, integration, and regression testing.  Analysis of found defects, ability to correctly format them, and control corrections.  Close interaction with web developers and product managers to ensure product quality.   Nice to Have:  Skills in creating AI agents.  Experience with automation in other frameworks.  Experience with WordPress.  Experience with Docker and setting up CI/CD processes would be a plus.  Knowledge of additional programming languages besides JS or TS.  Understanding of the principles of network operation, VPN, and proxy.  Experience in testing extension applications.   What We Offer  Build personal AI agents using our premium infrastructure. Absolute freedom to work from any location. (GMT+1– GMT+5) Internal R&D opportunities. Paid time off and sick leave. Direct impact on a massive, world-class B2C product. A collaborative environment with some of the best minds. Hardware upon completion of your probation. If this sounds like you, we’ve been waiting for you! Let’s build the future of digital freedom together.  Требования Опыт	От 3 до 6 лет Условия работы График работы	Удаленная работа Добавлено вчера Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20645314,qyzmet_deep_parser
Full-stack разработчик (Middle),,,,,,"Full-stack разработчик (Middle) Холдинг ""BI Group"" Занятость	Полная занятость Адрес	Казахстан, Астана Описание вакансии Обязанности:  Разработка и поддержка веб-приложений, обеспечивая их высокую надежность, производительность и масштабируемость;  Участие в проектировании и архитектуре системы, обеспечивая ее эффективность;  Оптимизация и улучшение существующих компонентов, основанных на требованиях и обратной связи пользователей и команды;  Работа в тесном взаимодействии с другими разработчиками и тестировщиками для обеспечения высокого качества и согласованности проекта.  Требования: Знания методов GROUP BY, JOIN LATERAL на хорошем уровне Опыт написания функций/процедур Опыт коммерческой разработки на Python Опыт работы с одним из фреймворков: Django и FastAPI Опыт разработки REST API Понимание принципов работы Git Умение читать и поддерживать чужой код Умение работать с Postman – отладка (debug) Условия: Социальный пакет (фитнес, медицинское страхование, корпоративные мероприятия); Обучение и сертификация за счет компании, внутреннее обучение; Оформление в соответствии с трудовым кодексом РК; Пятидневная рабочая неделя; Работа в офисе. Требования Опыт	От 1 года до 3 лет Условия работы График работы	Полный день Добавлено вчера Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20636674,qyzmet_deep_parser
Full Stack developer (Back - Node/ Front - React),,,,,,"Full Stack developer (Back - Node/ Front - React) Bright Technologies Зарплата	от 1000000 до 1200000 KZT Занятость	Полная занятость Адрес	Казахстан, Астана Описание вакансии Требования: Уверенные знания фреймворков: NestJS, Express.js, React Опыт работы с реляционными БД (PostgreSQL) Понимание REST и GraphQL API Умение проектировать и документировать их (Swagger, Postman) Опыт с аутентификацией и авторизацией (OAuth2, JWT, Keycloak будет плюсом) Опыт работы с очередями/событийными системами (Kafka) Опыт интеграций с внешними сервисами (AWS S3, MinIO, Camunda) Понимание микросервисной архитектуры. Будет плюсом знание Hikvision/Artemis open api, keycloak, camunda, hikvision Условия: сильная команда интересные задачи Требования Опыт	От 3 до 6 лет Условия работы График работы	Полный день Добавлено сегодня Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20648209,qyzmet_deep_parser
Видеограф / Motion-дизайнер (Full-stack контент-мейкер),,,,,,"Видеограф / Motion-дизайнер (Full-stack контент-мейкер) Ресурс Плюс KZ Занятость	Полная занятость Адрес	Казахстан, Алматы, проспект Аль-Фараби, 17к4Б РЕКЛАМА Описание вакансии  Кто нам нужен: Ищем не просто видеографа, а человека, который умеет превращать идеи в визуал, который цепляет. Если ты живёшь контентом, понимаешь тренды и умеешь делать «вау» из обычных задач — давай к нам!  Что будешь делать: • Организовывать и проводить съёмки (Instagram, Reels, TikTok, промо-контент) • Запускать и сопровождать прямые эфиры • Закрывать полный цикл продакшна: от съёмки до финального рендера • Делать монтаж, цветокоррекцию и саунд-дизайн • Создавать моушен-анимацию (титры, плашки, переходы) • Разрабатывать графику: рекламные баннеры, постеры, внутренние визуалы • Работать с AI-инструментами для генерации фото и видео  Что важно: • Уверенно работаешь с камерой, понимаешь свет и звук • Свободно владеешь: Premiere Pro / DaVinci Resolve • Работаешь в After Effects, Photoshop, Figma • Используешь AI в работе (не просто пробовал — реально применяешь) • У тебя есть портфолио (обязательно) • Чувствуешь тренды и понимаешь, что «залетает»  Будет плюсом: • Опыт работы с соцсетями и контент-стратегией • Умение быстро адаптироваться под разные форматы и задачи • Насмотренность и вкус  Что предлагаем: • Работа в динамичной команде (без бюрократии и лишних согласований) • Свобода в креативе и возможность влиять на визуал бренда • Разноформатные проекты (не будет скучно) • Конкурентная зарплата (обсуждается по результатам собеседования) • Возможность роста и прокачки в продакшне и AI  Как откликнуться: Если ты чувствуешь, что это про тебя — не тяни с откликом)  📌 Обязательно приложи портфолио: • ссылки на видео (YouTube / Google Drive / Behance и т.д.) • проекты с монтажом, моушеном и графикой • желательно примеры «до/после» или кейсы с результатом  📌 В сопроводительном письме напиши: • с какими форматами работаешь чаще всего • какими AI-инструментами пользуешься в работе • 1–2 проекта, которыми реально гордишься  Важно: отклики без портфолио не рассматриваем — нам важно сразу увидеть твой стиль и уровень.  Если твои видео хочется досматривать до конца — значит, нам по пути 🚀  Требования Опыт	От 1 года до 3 лет Условия работы График работы	Полный день Добавлено вчера Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20645292,qyzmet_deep_parser
Архитектор решений направления Развитие IT,,,,,,"Архитектор решений направления Развитие IT АО ""Транстелеком"" Занятость	Полная занятость Адрес	Казахстан, Астана, проспект Кабанбай Батыра, 28 Описание вакансии Ключевые задачи: Проектирование архитектуры информационных систем и сервисов: определение структуры, компонентов, взаимодействий, интеграций и технологического стека; Участие в разработке и реализации программных решений: написание backend и frontend кода, прототипирование и доработка функционала; Разработка и сопровождение интеграции между системами: API, сервисы обмена данными, очереди, обработчики; Обеспечение реализации архитектурных решений на практике: участие в разработке, ревью кода, контроль соблюдения архитектурных принципов; Участие в разработке full-stack решений (backend + frontend): проектирование и реализация пользовательских интерфейсов и серверной логики; Работа с базами данных: проектирование схем, написание запросов, оптимизация производительности; Обеспечение технической экспертизы проектов: анализ требований, выбор технологий, оценка трудозатрат и рисков; Взаимодействие с командами разработки, инфраструктуры и эксплуатации; Организация разработки/доработки корпоративных систем (CRM, NAM, BPM, ЭДО и др.) и управление релизами. Навыки, которые нам необходимы: Уверенное знание Python, опыт работы с СУБД: PostgreSQL, MySQL; Знание frontend-технологий: JavaScript, HTML, CSS; Опыт разработки full-stack решений, а также опыт разработки и интеграции API; Понимание архитектурных подходов; Знание ОС и сетей, базовое понимание Docker; Навыки написания чистого кода и умение разбираться в чужом коде; Опыт работы с PWA и WebView; Опыт в телеком или highload системах; Знание Kubernetes; Опыт с Kafka/RabbitMQ, enterprise архитектуры, CI/CD. То, что ждет вас в команде: Работа в стабильной и динамичной Компании; Карьерный рост; Социальный пакет по Коллективному договору Отпуск 28 дней; Яркая корпоративная жизнь. Требования Опыт	От 3 до 6 лет Условия работы График работы	Полный день Добавлено сегодня Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20650227,qyzmet_deep_parser
Руководитель группы разработки / Team Leader,,,,,,"Руководитель группы разработки / Team Leader TS Property Management Занятость	Полная занятость Адрес	Казахстан, Алматы, микрорайон Самал-2, 111 Описание вакансии  Уважаемый соискатель!  Если Вы человек, который быстро думает и быстро делает, не ждет задач, а предлагает решения, умеет работать в условиях изменений с высоким уровнем ответственности за результат.  Мы ищем Junior Team Lead или сильный middle/senior  Просим откликаться на указанную вакантную должность, при условии соответствия заявленным требованиям направив сопроводительное письмо, указав Ваши ожидания по оплате.  Обязанности:  Опыт в разработке (любой стек — важнее мышление) Понимание full stack (или готовность быстро разобраться) Умение разбираться в чужом коде и системах Построение архитектуры новых систем. Обеспечение своевременной поставки задач и качества продукта Взаимодействие с бизнесом и другими подразделениями (продукт, маркетинг, операционные команды)  Требования:  Опыт разработки (от 2-х лет) Умение выстраивать архитектуру и жизненный цикл разработки, балансировать между бизнес-задачами и техническими решениями Сильный в коммуникации Умение брать ответственность за результат Умение работать с универсальными лидами Backend язык + Frontend (уровень не менее middle) Условия: график работы 5/2, с 09:00 до 18:00 (оффлайн в офисе) стабильная оплата труда официальное трудоустройство в соответствии с ТК РК Требования Опыт	От 1 года до 3 лет Условия работы График работы	Полный день Добавлено сегодня Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20648832,qyzmet_deep_parser
Fullstack PHP-разработчик,,,,,,"Fullstack PHP-разработчик Apple Tech Kazakhstan Зарплата	от 800000 до 1200000 KZT Занятость	Полная занятость Адрес	Казахстан, Алматы, улица Фонвизина, 15 РЕКЛАМА Описание вакансии  Компания Apple Tech Kazakhstan приглашает опытного Fullstack PHP-разработчика в команду разработки.  Наша компания уже более 10 лет успешно поставляет Компьютерное Оборудование в сегмент малого и среднего бизнеса, в крупные компании и гос. сектора. Наши офисы находятся в г. Алматы и г. Москва, а в штате компании работает более 40 человек. Нашими профессионалами были разработаны - Интернет Магазин, CRM система и большое количество уникальных инструментов, облегчающих работу наших сотрудников, делающих наш сервис для клиентов еще более качественным.  Что тебе предстоит:  Участие в разработке уникальной CRM/ERP системы и ее модулей, а также смежного с ней интернет магазина и других сервисов. У вас будет возможность изучить новые для себя инструменты и технологии, решать интересные и нетривиальные задачи и видеть результаты своей работы в деле.  Работа в офисе г.Алматы.  Что от тебя ожидаем:  Опыт работы в области Web разработки от 2-3 лет; Хорошие знания PHP (ООП, MVC, SOLID); Умение и желание писать чистый, быстрый, оптимизированный код; Опыт разработки на одном из ключевых PHP фреймворков (мы используем Yii2); Опыт разработки на Vue.js (будет плюсом знание Nuxt), кроссбраузерная адаптивная верстка; Знания базы данных MySQL, Redis (будет плюсом опыт работы с поисковыми движками Manticore Search, Elasticsearch); Понимание работы веба, опыт оптимизации как фронтэнд, так и бэкэнд кода, SQL-запросов; Умение работать с git, знание основных unix команд, умение анализировать логи.  Что предлагаем:  Достойный оклад - по результатам собеседования, в зависимости от текущего уровня и опыта работы; Дружный, молодой коллектив с гибким подходом к разработке без бюрократии; Возможности карьерного роста и профессионального развития; Все нужное оборудование для работы; Уютный офис в районе ТРЦ Dostyk Plaza; Оформление в соответствии с трудовым кодексом РК; Веселые тимбилдинги и корпоративы; Возможность приобретения для себя IT товара на хороших условиях (низкие цены, рассрочка). Требования Опыт	От 1 года до 3 лет Условия работы График работы	Полный день Добавлено вчера Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20640655,qyzmet_deep_parser
Senior Frontend Developer в Kaspi Delivery Team (в офисе),,,,,,"Senior Frontend Developer в Kaspi Delivery Team (в офисе) Быстрый отклик АО ""Kaspi Bank"" Занятость	Полная занятость Адрес	Казахстан, Алматы, проспект Абая, 26А РЕКЛАМА Описание вакансии Kaspi Delivery Team — ядро логистики Kaspi.kz. Мы помогаем доставлять сотни тысяч заказов ежедневно: строим экосистему для курьеров, складов и внутренних логистических процессов, чтобы клиенты по всему Казахстану получали заказы быстро и вовремя.  Чем предстоит заниматься: ● Развивать веб-сервисы и приложения для курьеров и складов (Vue/Nuxt). ● Поддерживать и улучшать существующие проекты, повышать надёжность и скорость. ● Участвовать в архитектурных решениях (модульность, performance). ● Проводить code review, менторить, улучшать инженерные практики. ● Работать над продуктовыми задачами, измеримыми метриками (время доставки, SLA UI). ● Проактивно предлагать улучшения UX/качества/производительности.  Технологии, с которыми работаем ● Frontend: Vue 2/3, Nuxt, TypeScript, Pinia/Vuex, Vite/Webpack. ● Качество: ESLint/Prettier, Vitest/Jest, Cypress, Storybook. ● Производительность и наблюдаемость: Web Vitals, Lighthouse, Sentry. ● Карты и гео: Yandex Maps, GeoJSON, Turf/JSTS. ● Инфраструктура: GitLab, CI/CD, Docker. Мы ожидаем ● 2+ года коммерческой разработки на Vue или React. ● Отличное знание JavaScript/TypeScript. ● Уверенная работа с системой контроля версий (ветвления, code review). ● Внимание к качеству: тесты, производительность, безопасность. ● Умение читать техдокументацию на английском.  Будет плюсом ● Nuxt 3/SSR/ISR, Node.js/NestJS для BFF. ● Оптимизация высоконагруженных интерфейсов (виртуализация, workers, кеши). ● Webpack/Vite продвинутая настройка, Docker, понимание CI/CD. ● Опыт с геоданными/картами, офлайн-режимами (PWA), трекингом.  Как мы работаем ● Короткие итерации (2 недельные спринты), понятный релизный цикл. ● Code review, дизайн-система, общие компонентные библиотеки. ● Продуктовый подход: гипотезы, метрики, A/B-тесты (если применимо).​​​​​  Что предлагаем ● Возможность работать в лучшей e-commerce компании Казахстана, создавая продукты, которые обеспечивают доставку заказов для миллионов клиентов и которыми ежедневно пользуются тысячи наших курьеров и сотрудников складов. ● Сильная команда и культура обмена знаниями (менторство, внутренние митапы). ● Свобода действий и ответственность за результат. ● Гибкий график (начало рабочего дня, частичная удаленка), комфортное оборудование. ● Курсы английского, обучение, годовой бонус. Требования Опыт	Более 6 лет Условия работы График работы	Полный день Добавлено вчера Пожаловаться Быстрый отклик Отклик на HeadHunter",https://qyzmet.kz/redir?id=20605382,qyzmet_deep_parser
