title,salary,city,job,publish_date,requirements,responsibilities,url,source
QA Engineer (middle),,,,,,"QA Engineer (middle) ТОО ""Khan Group"" Зарплата	до 700000 KZT Занятость	Полная занятость Адрес	Казахстан, Алматы, проспект Жибек Жолы, 135 Описание вакансии  Umag - №1 система автоматизации торговли в Казахстане — более 20 000 торговых точек в четырёх странах. Помогает предпринимателям эффективно управлять учётом и продажами.  Наша миссия: Улучшать торговый бизнес, создавая инновационные решения.  Наши ценности: Открытость и честность, ориентация на результат, клиентоориентированность и развитие.  Мы в поиске QA Engineer (middle).  Чем предстоит заниматься: Проведение функционального, регрессионного и исследовательского тестирования системы; Обеспечение качества продукта на всех этапах разработки; Анализ требований и участие в их уточнении; Разработка тест-кейсов, чек-листов и тестовой документации; Заведение, описание и контроль исправления дефектов; Взаимодействие с разработчиками, аналитиками и другими участниками команды. Что мы ожидаем от кандидата: Опыт в тестировании программного обеспечения (функциональное и регрессионное тестирование); Умение составлять тест-кейсы и тестовую документацию; Опыт работы с баг-трекинг системами; Понимание жизненного цикла разработки ПО (SDLC); Внимательность к деталям, системный подход к работе; Умение работать в команде и коммуницировать с разработкой и аналитиками.   Для нас важен каждый работник, поэтому мы предлагаем:  Работу в одном из лучших IT-холдингов Казахстана;  Интересные и амбициозные задачи; Формат работы: офисный, 5/2 (каждая среда удаленка); Достойный уровень заработной платы; Комфортные условия труда: отсутствие бюрократии, простота коммуникации; Современный и уютный офис с зоной отдыха, библиотекой, настольным теннисом и футболом; Дружную и поддерживающую команду; Регулярные тимбилдинги и совместные мероприятия; Услуги корпоративного психолога для поддержки сотрудников. Требования Опыт	От 1 года до 3 лет Условия работы График работы	Полный день Добавлено вчера Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20636883,qyzmet_deep_parser
Junior QA Engineer,,,,,,"Junior QA Engineer ТОО ""G5EN KAZ"" (ДЖИ5ЕН КАЗ) Занятость	Полная занятость Адрес	Казахстан, Астана РЕКЛАМА Описание вакансии  В G5 Games мы создаем игры, которые дарят радость миллионам игроков по всему миру. Наши проекты Sherlock, Hidden City®, Jewels of Rome® и другие становятся лучше благодаря людям, которые их делают.  G5 Games — шведский разработчик и издатель мобильных игр, в которые играют 250+ миллионов человек по всему миру. В нашей распределенной команде работает более 850 талантливых профессионалов, которые трудятся удаленно из одной из десяти наших локаций на выбор.  Сейчас мы хотим усилить нашу команду QA и ищем кандидата на позицию Junior QA Engineer в Грузии и Казахстане.  Если вы увлечены играми, обладаете внимательностью к деталям и хотите развиваться в игровой индустрии — мы будем рады видеть вас в нашей команде!  Чем предстоит заниматься:  Обнаруживать и описывать ошибки в играх и приложениях.  Проверять исправления, внесенные разработчиками.  Проводить целевые тесты для проверки функциональности и стабильности.  Подготавливать ежедневные отчеты о результатах тестирования.  Что мы ожидаем:  Опыт игры в видеоигры, интерес к игровой индустрии и знание игровой терминологии.  Уверенное владение компьютером на уровне продвинутого пользователя.  Высшее или неполное высшее образование с возможностью работать полный день.  Умение четко и грамотно излагать мысли, а также писать понятные и структурированные документы.  Знание английского языка на уровне написания отчетов об ошибках (не ниже pre-intermediate).  Коммуникабельность, наблюдательность, аккуратность, внимательность к деталям и ответственность.  Будет плюсом:  Высшее или незаконченное высшее техническое образование (с возможностью работать полный день).  Опыт участия в бета-тестах игр или приложений.  Базовые знания основ программирования.  Мы предлагаем:  Гибкие условия: полностью удаленный формат работы без привязки к офису. Удобный график и прозрачные процессы. Развитие и обучение: внутренняя система образования: воркшопы, вебинары и хакатоны. Компенсация уроков английского и других языков. Поддержку в релокации: финансовая помощь и сопровождение на каждом этапе: от выбора страны до легализации всей семьи. Заботу о здоровье: медицинская страховка и компенсация спортивных абонементов. Командные спортивные инициативы для поддержания здоровья. Бонусная программа: бонусы при достижении плановых показателей продаж. Для ключевых сотрудников — прибыль от роста стоимости акций. Экспертное комьюнити: работа с профессионалами и высококлассными специалистами индустрии. Развитие в динамичной и инновационной среде. Требования Опыт	Нет опыта Условия работы График работы	Удаленная работа Добавлено вчера Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20645301,qyzmet_deep_parser
QA Engineer (SaaS / EdTech),,,,,,"QA Engineer (SaaS / EdTech) BrainEdTech Зарплата	от 400000 до 700000 KZT Занятость	Полная занятость Адрес	Казахстан, Астана, улица Ханов Керея и Жанибека, 5/1 РЕКЛАМА Описание вакансии  We Global Kazakhstan — IT-компания, разрабатывающая SaaS-платформу для школ, направленную на профориентацию и поддержку ментального благополучия учащихся.  Мы работаем со школами по всему Казахстану, и нашей платформой уже пользуются 700 000+ пользователей. Для нас качество продукта — не формальность, а ключевая ценность: от стабильной работы функционала до корректности методологии и контента.  Сейчас мы ищем QA Engineer, который будет отвечать за финальное качество продукта перед релизами и станет важной частью product-команды.  Чем предстоит заниматься  Тестировать и принимать все обновления и изменения в продукте;  Проверять функциональность платформы перед релизами;  Тестировать методологическую и контентную часть продукта:  корректность материалов;  соответствие логике и требованиям методологии.  Подтверждать готовность функционала и контента к выпуску;  Работать в тесной связке с:  Project Manager’ами;  Product-командой.  Участвовать в обсуждении требований до и после релизов;  Фиксировать, описывать и контролировать исправление багов;  Проводить повторное тестирование.  Что мы ожидаем  Опыт работы QA Engineer / Software Tester — будет преимуществом;  Опыт от 3 лет (Middle / Middle+); Опыт тестирования API и интеграций; Аналитическое мышление, внимательность к деталям; Умение работать в команде и коммуницировать; Понимание процессов тестирования; Свободное владение казахским и русским языками; Наличие собственного ноутбука; Готовность работать в офисе;  Будет плюсом  Опыт в SaaS / EdTech; Работа с Jira или аналогами; Elastic Stack (ELK), CI/CD;  Мы предлагаем  💰 Зарплата: от 400 000 ₸ 📄 Официальное трудоустройство по ТК РК 🕒 График: 5/2, 09:00–18:00 (4 дня в офисе, 1 день онлайн) 🌱 Участие в развитии социально значимого IT-продукта 🤝 Сильная команда (Project / Product) 🏢 Комфортный офис в Астане 📈 Профессиональный рост в EdTech  Если вы хотите реализовать свой потенциал, развиваться в сильной команде и влиять на качество продукта — ждём ваш отклик! Требования Опыт	От 3 до 6 лет Условия работы График работы	Полный день Добавлено вчера Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20645412,qyzmet_deep_parser
QA Engineer in Almaty,,,,,,"QA Engineer in Almaty Andersen Занятость	Полная занятость Адрес	Казахстан, Алматы, проспект Юрия Гагарина, 124 РЕКЛАМА Описание вакансии  Andersen is hiring a QA Engineer in Almaty for a project developing mobile and web banking apps, ensuring quality, reliability, and scalability of modular digital financial solutions.  The customer is a large financial institution serving millions of retail and corporate clients. It combines a broad physical presence with strong investment in digital platforms, mobile solutions, data infrastructure, cybersecurity, and open integrations. Technology is central to improving customer experience and scaling modern banking services.  The project is focused on developing mobile and web banking applications while transitioning to a modular platform of standardized solutions. It involves packaging core banking products into scalable modules to enable faster integration, expansion, and consistent delivery of digital services.  Responsibilities:  Analyzing requirements and preparing test documentation (checklists, test cases). Testing server-side logic, including validating requests, responses, and data exchange between client and server. Performing functional testing of web and mobile applications across different devices and browsers. Creating clear and reproducible bug reports and tracking defects through resolution. Writing database queries to validate data and identify issues.  Requirements:  Experience in QA (manual testing) for 2+ years. Understanding of SDLC and STLC processes. Experience testing REST APIs (Postman, Swagger). Experience testing web applications (Chrome DevTools). Experience testing mobile applications (emulators and real devices). Ability to write clear, structured, and reproducible bug reports. Basic SQL knowledge (SELECT, JOIN – preferred). Understanding of client-server architecture. Experience working with bug-tracking systems (Jira, YouTrack, or similar). Level of English – from Intermediate and above.  Reasons why this job would be interesting to you:  Experience in teamwork with leaders in FinTech, Healthcare, Retail, Telecom, and others. Andersen cooperates with such businesses as Samsung, Siemens, Johnson & Johnson, BNP Paribas, Ryanair, Mercedes, TUI, Verivox, Allianz, T-Systems, etc.; The opportunity to change the project and/or develop expertise in an interesting business domain; Guarantee of professional, financial, and career growth! The company has introduced systems of mentoring and adaptation for each new employee; The opportunity to earn up to an additional 1,000 USD per month, depending on the level of expertise, which will be included in the annual bonus, by participating in the company's activities; Access to the corporate training portal, where the entire knowledge base of the company is collected and which is constantly updated; Bright corporate life (parties / pizza days / PlayStation / fruits / coffee / snacks / movies); Certification compensation (AWS, PMP, etc); Referral program; English courses; Private health insurance and compensation for sports activities.  Требования Опыт	От 1 года до 3 лет Условия работы График работы	Полный день Добавлено вчера Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20639545,qyzmet_deep_parser
QA Engineer,,,,,,"QA Engineer IT Space Apps Занятость	Полная занятость Адрес	Казахстан, Алматы, проспект Аль-Фараби, 17к4Б РЕКЛАМА Описание вакансии  Мы-IT Space Apps, продуктовая команда, специализирующаяся на разработке мобильных приложений (iOS/Android). Создаём решения, которыми ежедневно пользуются тысячи пользователей, и делаем ставку на качество, скорость и сильную инженерную культуру.  Обязанности:  Проведение ручного функционального, smoke и регрессионного тестирования WEB и мобильных приложений; Создание, актуализация и сопровождение тестовой документации (чек-листы, тест-кейсы, тест-планы) Анализ требований, спецификаций и участие в планировании спринтов - выявление потенциальных рисков и точек отказа ещё на стадии проектирования; Тестирование API (REST/GraphQL); Анализ и воспроизведение багов, сбор логов, трассировок и другой технической информации; Мониторинг исправления дефектов в баг-трекинговой системе Jira; Взаимодействие с разработчиками, аналитиками и DevOps-инженерами для обеспечения высокого качества продукта на всех этапах; Участие в ретроспективах и QA-груммингах, предоставление предложений по улучшению процессов тестирования и разработки. Требования: Опыт ручного тестирования API используя инструменты Postman/Insomnia/Swagger и т.д. Опыт работы в продуктовой команде; Понимание процессов разработки и тестирования (SDLC, STLC), подходов и практик Agile, Kanban, Scrum, etc.; Опыт работы с баг-трекинговыми системами (Jira, YouTrack, etc.); Знание SQL на уровне простых запросов, умение работать с СУБД PostgreSQL; Анализ логов Умение работать с TestFlight, AppTester, XCode; Работа с инструментами мониторинга HTTP/HTTPS трафика (Charles, Fiddler, etc.). Условия: Официальное трудоустройство Конкурентная зарплата (обсуждается индивидуально) Офис класса А с комфортной рабочей средой График: 5/2, 10:00–19:00 (офлайн формат) Дружная команда без формальностей и строгого дресс-кода Регулярные тимбилдинги и командные выезды Кофе, снеки и комфортная атмосфера каждый день Требования Опыт	От 1 года до 3 лет Условия работы График работы	Полный день Добавлено вчера Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20636805,qyzmet_deep_parser
Middle QA Engineer,,,,,,"Middle QA Engineer Tele2/Altel Занятость	Полная занятость Адрес	Казахстан, Алматы, улица Желтоксан, 115 Описание вакансии  Мы верим, что новое качество жизни можно нести через реализацию потенциала современных цифровых услуг. Мы первые третий год подряд по скорости и покрытию связи среди операторов Казахстана по версии Ookla. Мы также лучший работодатель страны по версии премии «HR-бренд Центральная Азия».  Мы не боимся менять правила и ставить амбициозные задачи. Всегда требовательны к себе: результатом нашей работы пользуются друзья, близкие, миллионы абонентов по всей стране — и мы сами. У нас принято делиться знаниями, подходами в работе и удачными решениями. Поэтому мы устраиваем внутренние и внешние митапы, ездим с докладами по разным городам и странам.  НУЖНО УМЕТЬ И ЛЮБИТЬ:  Тестировать мобильные приложения;  Проводить нагрузочное тестирование: написание, запуск и анализ результатов;  Внедрять и применять лучшие практики тестирования;  Проводить регрессионное и интеграционное тестирование;  Обнаруживать, документировать и отслеживать баги;  Разрабатывать тест-кейсы, тест-планы и чек-листы;  Обеспечивать оптимальное тестовое покрытие;  Участвовать в планировании тестирования и оценке объёма работ.  НАС ИНТЕРЕСУЕТ:  Техническое профессиональное образование;  Знание методов и видов тестирования, техник тест-дизайна;  Опыт работы с метриками контроля качества;  Владение инструментами разработчика (DevTools);  Опыт тестирования web-приложений (frontend & backend) и мобильных приложений;  Навыки составления и ведения тестовой документации и тестовых артефактов;  Опыт работы с баг- и таск-трекинговыми системами;  Опыт тестирования API от 3 лет (Postman, Swagger).  ЗАРПЛАТА - ЭТО ЕЩЕ НЕ ВСЁ:  Гибкое начало рабочего дня; Профессиональное развитие: участие в митапах, тренингах, конференциях, демо-днях и хакатонах; Дополнительные 4 дня отпуска — итого 28 календарных дней за год; Годовой бонус по результатам достижения KPI; Корпоративная сотовая связь; Добровольная медицинская страховка со стоматологией и лекарствами с возможностью бесплатно добавить двух близких родственников; Фитнес-абонементы со скидкой и в рассрочку; Онлайн-платформа бесплатной психологической помощи; Доступ к корпоративной онлайн-библиотеке MyBook.  Теlе2 — это территория возможностей. Здесь тебя примут таким, какой ты есть, поддержат, направят и откроют множество возможностей.  Требования Опыт	От 1 года до 3 лет Условия работы График работы	Полный день Добавлено сегодня Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20650057,qyzmet_deep_parser
Mobile QA Engineer (Middle),,,,,,"Mobile QA Engineer (Middle) HT.KZ Central Зарплата	от 600000 KZT Занятость	Полная занятость Адрес	Казахстан, Алматы Описание вакансии  Компания HT.KZ 18 лет на рынке. У нас есть 3 приложения и мы работаем на 3 страны - Казахстан, Украина и Узбекистан. Наш онлайн поиск туров лучший в Казахстане.  В разработке фич руководствуемся продуктовым подходом, все гипотезы проверяются, решения принимаем на основе данных, запускаем много A/B тестов. У нас несколько продуктовых команд, QA ищем в команду приложения. Работаем по недоAgile (есть спринты с четкими приоритетами, демо, стендапы) и постепенно выстраиваем процессы.  Для нас важна вовлеченность, заинтересованность в результатах всей команды, готовность много коммуницировать с менеджерами и разрабами)  Обязанности:  Подготовка, актуализация и поддержка тестовой документации (тест-кейсы, чек-листы) Проведение функционального и регрессионного тестирования мобильных приложений (Android / iOS) Анализ требований с целью обеспечения полноты и качества тестирования Регистрация, сопровождение и контроль дефектов на всех этапах их жизненного цикла Участие в улучшении качества продукта и оптимизации процессов тестирования Разработка и поддержка автотестов  Требования:  Практический опыт тестирования мобильных приложений (Android / iOS) Понимание архитектуры мобильных приложений и клиент-серверного взаимодействия Знание жизненного цикла мобильного приложения, теории тестирования и техник тест-дизайна Опыт работы с системами управления задачами и документацией: Jira, Confluence, Qase Опыт работы с API (Postman или аналоги), понимание HTTP / REST, работа с JSON Умение работать с инструментами разработки: Android Studio, XCode (собирать билды, запускать эмуляторы и тд) Понимание принципов построения тестовых фреймворков и автоматизации тестирования Знание Java на уровне, достаточном для написания автотестов   Будет плюсом:  если умеешь в API тесты  Опыт автоматизации мобильных приложений на Java с использованием Appium  Опыт настройки и использования CI/CD  Условия и наши плюшки:  ​​​​Корпоративы на море. Где мы уже были: Гоа, Тайланд, Китай, Грузия, Египет, Индонезия (Бали) Гибридный график работы после испытательного срока. Офис в верхней части Алматы, район Самал-3 Скидки на туры для сотрудников Отправим на конференции при вашем желании, без желания не отправим) Гибкое начало рабочего дня (в промежутке 8:00-10:00 по времени Алматы)  Важно: после отклика будет предложено пройти небольшое тестовое задание. Мы уважаем ваше время, поэтому рассчитываем, что оно займет не более 1 часа.   P.S. А еще у нас классная, вайбовая команда ❤️  Требования Опыт	От 1 года до 3 лет Условия работы График работы	Полный день Добавлено вчера Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20636816,qyzmet_deep_parser
"QA Engineer (Strong Junior / Middle, Управление разработки)",,,,,,"QA Engineer (Strong Junior / Middle, Управление разработки) АО ""Bank RBK"" Занятость	Полная занятость Адрес	Казахстан, Алматы Описание вакансии  Функциональные обязанности:  Проведение функционального, регрессионного и smoke-тестирования (основной фокус — мобильное приложение iOS / Android) Тестирование пользовательских сценариев в мобильном и веб-приложении (авторизация, платежи, работа с клиентскими данными) Тестирование API и интеграций с backend-сервисами (проверка корректности запросов/ответов, обработка ошибок) Участие в анализе требований и постановке задач (совместно с аналитиками и разработкой, выявление рисков и нестыковок) Разработка и поддержка тестовой документации (тест-кейсы, чек-листы, тестовые сценарии) Заведение, приоритизация и сопровождение дефектов в Jira (контроль исправлений и ретест) Участие в релизном процессе: подготовка к релизу, проведение регресса, smoke-проверки на продакшене Проверка интеграционных и сквозных бизнес-сценариев (end-to-end: от фронта до backend и внешних систем) Анализ логов и диагностика проблем (взаимодействие с разработкой при разборе инцидентов)  Необходимые знания и навыки:  Понимание процессов тестирования (SDLC, STLC, виды тестирования) Опыт тестирования мобильных приложений (iOS / Android) (понимание особенностей платформ, работа с реальными устройствами) Понимание клиент-серверной архитектуры Уверенные навыки тестирования API (Postman, Swagger, анализ запросов/ответов, работа с JSON) Навыки написания тестовой документации (тест-кейсы, чек-листы, сценарии) Опыт работы с баг-трекинг системами (Jira или аналог) Базовые навыки работы с логами и диагностики ошибок (умение локализовать проблему и описать её разработчику) Понимание принципов работы мобильных приложений: авторизация (в т.ч. биометрия, OTP) работа с сетью (нестабильный интернет, таймауты) push-уведомления обновления приложений  Условия:  Медицинская страховка + 2 члена семьи бесплатно (по истечении испытательного срока); Субсидирование ипотеки и автокредита при стаже работы в Банке от 1 года и выше; Фитнес в рассрочку со скидкой до 50% у партнеров (по истечении испытательного срока); Реферальная программа за привлечение кандидата (50к или 100к в зависимости от грейда); Обучение и развитие за счет Банка; Корпоративная скидка до 50% на Skillbox, GeekBrains, SkillFactory; Праздники, конкурсы и тимбилдинги. Требования Опыт	Более 6 лет Условия работы График работы	Полный день Добавлено вчера Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20636612,qyzmet_deep_parser
Manual QA Engineer (ELMA 365),,,,,,"Manual QA Engineer (ELMA 365) Рекрутинговое агентство Fin Career Lab Зарплата	от 550000 до 600000 KZT Занятость	Проектная работа Адрес	Казахстан, Алматы Описание вакансии  Дочерний банк международной финансовой Группы. Группа является одним из лидеров международного рынка финансовых услуг. В ее состав входят дочерние и ассоциированные банки, филиалы Банка в Анголе, Китае, Индии, Сингапуре. В странах СНГ группа представлена в Казахстане, Армении, Белоруссии, Азербайджане.  На рынке Казахстана более 13 лет успешно работает на финансовом рынке республики, имеет филиалы в городах.  Формат: ГПХ /Full-time/Удаленный формат работы Занятость: Полная, 9:00–18:00 (понедельник–пятница), на время реализации проекта Проект: Миграция бизнес-процессов банка с BPM ELMA 3 на ELMA 365 Оплата: Оплата за объем выполненной работы (аванс не более 50%), остальное в конце работы. Сроки работы обсуждаются и согласовываются заранее согласно поставленной задаче  Обязанности - Тестирование корректности работы логики бизнес-процессов, объектов документов в BPM ELMA 365. - Проведение функционального, интеграционного и регрессионного тестирования. - Подготовка и ведение чек-листов, тест-кейсов, сценариев тестирования. - Проверка корректности миграции данных. - Верификация соответствия результата требованиям и ТЗ. - Оформление баг-репортов и контроль их исправления. - Взаимодействие с командой аналитиков и разработчиков. - Участие в приемке изменений вместе с заказчиком. - Проверка краевых сценариев и нестандартных веток процесса. - Подготовка отчетов по результатам тестирования.  Требования - Опыт работы Manual QA Engineer больше года. - Умение составлять чек-листы, тест-кейсы, тест-планы. - Знание основных видов и уровней тестирования. - Понимание жизненного цикла разработки и процессов SCRUM/Kanban - Умение работать с баг-трекинговыми системами (Jira или аналогами). - Навыки анализа документации и умение формулировать тестовые сценарии. - Внимательность, аккуратность, умение работать с большим количеством сценариев. - Готовность работать без периода обучения, сразу включиться в проект.  Будет плюсом - Практический опыт тестирования в ELMA 365 или ELMA 3 - Опыт тестирования BPM-систем или корпоративных порталов. - Опыт проверки миграции данных (в т.ч. между разными СУБД). - Навыки SQL для простых проверок данных в PostgreSQL. - Базовые знания TypeScript и C# для чтения кода.  Требования Опыт	От 1 года до 3 лет Условия работы График работы	Удаленная работа Добавлено сегодня Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20648582,qyzmet_deep_parser
AQA Python engineer,,,,,,"AQA Python engineer Emphasoft Занятость	Полная занятость Адрес	Казахстан, Алматы Описание вакансии  Компания Emphasoft занимается заказной разработкой IT решений для наших партнеров с западного рынка. Мы специализируемся на разработке web-приложений для стартапов на различной стадии.  Проект в сфере animal healthcare.  Мы приглашаем Automation QA Engineer в команду, которая занимается разработкой высококачественных и масштабируемых решений для автоматизированного тестирования IoT-платформы.  Вы будете работать со сложными модулями тестирования API и UI, разделяемыми компонентами фреймворка и тестовой архитектурой. В тесном сотрудничестве с командами разработки, продукта и DevOps вы обеспечите эффективное, надёжное и поддерживаемое тестовое покрытие.  Технологический стек: Python, Robot Framework, Playwright, REST API/JSON, MongoDB, PostgreSQL, Kafka, Azure DevOps CI/CD, Locust, Git.  Один из этапов предполагает тестовое задание.  Чем предстоит заниматься  Создавать чистые, переиспользуемые, тестируемые и поддерживаемые автотесты для API и UI  Проектировать и внедрять масштабируемую архитектуру тестовой автоматизации и компоненты фреймворка  Тесно работать с разработчиками, DevOps и командой продукта для уточнения требований и поставки надёжных функций  Проверять телеметрию, метрики и агрегированные данные  Реализовывать интеграционные и сквозные (end-to-end) тестовые сценарии  Выполнять валидацию баз данных (MongoDB, PostgreSQL)  Участвовать в настройке CI/CD-пайплайнов и автоматическом запуске тестов  Генерировать и поддерживать отчёты по автоматизированным тестам  Поддерживать активности по нагрузочному тестированию  Что мы ждём от кандидата  3+ года практического опыта в автоматизации тестирования  Уровень английского В2 и выше  Хорошее владение Python  Опыт тестирования REST API и микросервисов  Понимание тестовой архитектуры и проектирования фреймворков  Практический опыт работы с базами данных (MongoDB, PostgreSQL)  Опыт интеграции с CI/CD  Понимание событийно-ориентированных систем (Kafka будет плюсом)  Умение эффективно взаимодействовать в команде и участвовать в архитектурных решениях  Будет плюсом  Опыт работы с IoT или телеметрическими системами  Опыт нагрузочного тестирования  Работа в распределённых системах или системах с множеством сервисов  Знакомство с масштабируемыми модульными тестовыми фреймворками  Требования Опыт	От 3 до 6 лет Условия работы График работы	Удаленная работа Добавлено 2 дня назад Пожаловаться Отклик на HeadHunter Для связи с работодателем или просмотра контактов нажмите на кнопку",https://qyzmet.kz/redir?id=20636257,qyzmet_deep_parser
