job_id,job_title,skills,experience_level,education_level,combined_text,true_label,predicted_label,possible_reason
ba15692d,Программист (backend-разработчик) в госорганизацию,"java, sql",Без опыта,Высшее образование,"java, sql Без опыта Высшее образование",Backend Developer,Full Stack Developer,Web development roles share overlapping programming and framework vocabulary.
87e1be4b,Java-разработчик,"java, git",От 1 года до 3 лет,Студент,"java, git От 1 года до 3 лет Студент",Backend Developer,Mobile Developer,The sample contains skills that are shared across multiple job roles.
992a1987,"Ведущий Backend разработчик (Java, Go)","java, go, spring, sql, redis, kafka, kubernetes",Без опыта,Высшее образование,"java, go, spring, sql, redis, kafka, kubernetes Без опыта Высшее образование",Backend Developer,Mobile Developer,The sample contains skills that are shared across multiple job roles.
fbb1ecf6,Senior Java-разработчик,java,Без опыта,Высшее образование,java Без опыта Высшее образование,Backend Developer,Mobile Developer,The text sample is short and may not contain enough distinctive skills.
2fa99bbb,Python Developer,"python, go, sql, docker, kubernetes, ci/cd",Без опыта,Высшее образование,"python, go, sql, docker, kubernetes, ci/cd Без опыта Высшее образование",Backend Developer,QA Engineer,"Testing, API, automation, CI/CD, and backend terms can overlap."
d80dc8b5,Старший архитектор решений по информационной безопасности,"python, java, spring, kafka, rabbitmq, docker, kubernetes, ci/cd",От 3 до 6 лет,Высшее образование,"python, java, spring, kafka, rabbitmq, docker, kubernetes, ci/cd От 3 до 6 лет Высшее образование",Cybersecurity Analyst,Backend Developer,"True class has few examples, so the model has limited training signal."
ff24a50b,Инженер Информационной безопасности (AppSec),"python, java, javascript, typescript, docker, kubernetes, ci/cd, git",От 3 до 6 лет,Высшее образование,"python, java, javascript, typescript, docker, kubernetes, ci/cd, git От 3 до 6 лет Высшее образование",Cybersecurity Analyst,DevOps Engineer,"True class has few examples, so the model has limited training signal."
cb2ddaee,Senior Data Analyst (Data Governance),"sql, postgresql",Более 6 лет,Высшее образование,"sql, postgresql Более 6 лет Высшее образование",Data Analyst,Data Engineer,"Data roles share Python, SQL, analytics, and data processing vocabulary."
498d7a8b,Data Analyst,sql,Более 6 лет,Студент,sql Более 6 лет Студент,Data Analyst,Full Stack Developer,The text sample is short and may not contain enough distinctive skills.
d2be0105,Аналитик данных / Data Analyst,"python, sql, docker, git, ml, pandas, numpy",От 1 года до 3 лет,Высшее образование,"python, sql, docker, git, ml, pandas, numpy От 1 года до 3 лет Высшее образование",Data Analyst,QA Engineer,The sample contains skills that are shared across multiple job roles.
21bf2917,Data Engineer,"python, fastapi, sql",От 3 до 6 лет,Студент,"python, fastapi, sql От 3 до 6 лет Студент",Data Engineer,Data Scientist,"Data roles share Python, SQL, analytics, and data processing vocabulary."
ec7d6acd,Data engineer (Middle),"python, sql, postgresql, redis, kafka, docker, git, linux, ml",От 1 года до 3 лет,Студент,"python, sql, postgresql, redis, kafka, docker, git, linux, ml От 1 года до 3 лет Студент",Data Engineer,QA Engineer,The sample contains skills that are shared across multiple job roles.
2dc5e83e,Senior Data Scientist,"python, sql, ci/cd",От 1 года до 3 лет,Высшее образование,"python, sql, ci/cd От 1 года до 3 лет Высшее образование",Data Scientist,Data Analyst,"Data roles share Python, SQL, analytics, and data processing vocabulary."
d85cb512,Senior Data Scientist,"python, sql, ci/cd",От 3 до 6 лет,Высшее образование,"python, sql, ci/cd От 3 до 6 лет Высшее образование",Data Scientist,Data Analyst,"Data roles share Python, SQL, analytics, and data processing vocabulary."
ba7765b5,Системный администратор,"java, spring, git",Без опыта,Среднее образование,"java, spring, git Без опыта Среднее образование",DevOps Engineer,Backend Developer,"Infrastructure, API, Linux, cloud, and security terms can overlap."
7fc23d4d,Front-End Developer,"javascript, typescript, react, vue, ci/cd, git, html, css, ui/ux",От 1 года до 3 лет,Высшее образование,"javascript, typescript, react, vue, ci/cd, git, html, css, ui/ux От 1 года до 3 лет Высшее образование",Frontend Developer,Backend Developer,Web development roles share overlapping programming and framework vocabulary.
0ff9fdb3,Frontend-разработчик,"javascript, html, css, figma",От 1 года до 3 лет,Высшее образование,"javascript, html, css, figma От 1 года до 3 лет Высшее образование",Frontend Developer,Full Stack Developer,Web development roles share overlapping programming and framework vocabulary.
27790ba0,Frontend-разработчик,"javascript, react, git",От 1 года до 3 лет,Среднее образование,"javascript, react, git От 1 года до 3 лет Среднее образование",Frontend Developer,Mobile Developer,"Client-side roles can share UI, JavaScript, and application development terms."
9026bd55,Middle Frontend разработчик (React),"typescript, react",От 1 года до 3 лет,Высшее образование,"typescript, react От 1 года до 3 лет Высшее образование",Frontend Developer,Mobile Developer,"Client-side roles can share UI, JavaScript, and application development terms."
c17f9d43,Lead Backend Developer (Java/Angular),"java, angular, spring, sql, docker, kubernetes, ci/cd",От 1 года до 3 лет,Студент,"java, angular, spring, sql, docker, kubernetes, ci/cd От 1 года до 3 лет Студент",Frontend Developer,Mobile Developer,"Client-side roles can share UI, JavaScript, and application development terms."
8efad467,Full-Stack JS developer (Ментор),"javascript, react, sql, git, html, css",От 1 года до 3 лет,Студент,"javascript, react, sql, git, html, css От 1 года до 3 лет Студент",Full Stack Developer,Backend Developer,Web development roles share overlapping programming and framework vocabulary.
5e238a4c,Full Stack Test Engineer Trainee,sql,От 1 года до 3 лет,Высшее образование,sql От 1 года до 3 лет Высшее образование,Full Stack Developer,Data Analyst,The sample contains skills that are shared across multiple job roles.
0d9f7d56,Видеограф / Motion-дизайнер (Full-stack контент-мейкер),figma,Более 6 лет,Высшее образование,figma Более 6 лет Высшее образование,Full Stack Developer,QA Engineer,The text sample is short and may not contain enough distinctive skills.
6d2d62d7,Middle Android разработчик,"java, javascript, ci/cd",Более 6 лет,Среднее образование,"java, javascript, ci/cd Более 6 лет Среднее образование",Mobile Developer,Cybersecurity Analyst,The sample contains skills that are shared across multiple job roles.
07e19bf5,Android-разработчик,"java, ci/cd, git",От 1 года до 3 лет,Студент,"java, ci/cd, git От 1 года до 3 лет Студент",Mobile Developer,QA Engineer,The sample contains skills that are shared across multiple job roles.
7a18ed75,IOS Trainee,git,От 1 года до 3 лет,Студент,git От 1 года до 3 лет Студент,Mobile Developer,QA Engineer,The sample contains skills that are shared across multiple job roles.
7c26411e,QA Automation Engineer (Kotlin\Java),"java, ci/cd, git",Без опыта,Студент,"java, ci/cd, git Без опыта Студент",QA Engineer,Data Analyst,The text sample is short and may not contain enough distinctive skills.
bf3f25f4,"QA Engineer (onsite, Almaty)","sql, ci/cd",От 3 до 6 лет,Высшее образование,"sql, ci/cd От 3 до 6 лет Высшее образование",QA Engineer,Data Analyst,The sample contains skills that are shared across multiple job roles.
41cc591d,Manual QA Engineer (ELMA 365),"typescript, sql, postgresql",От 1 года до 3 лет,Высшее образование,"typescript, sql, postgresql От 1 года до 3 лет Высшее образование",QA Engineer,Data Engineer,The sample contains skills that are shared across multiple job roles.
b1e50ec9,Тестировщик Colvir,"sql, postgresql",От 1 года до 3 лет,Высшее образование,"sql, postgresql От 1 года до 3 лет Высшее образование",QA Engineer,Data Engineer,The sample contains skills that are shared across multiple job roles.
9237990d,QA AI specialist,"python, sql, docker, git, ml",От 3 до 6 лет,Высшее образование,"python, sql, docker, git, ml От 3 до 6 лет Высшее образование",QA Engineer,Data Scientist,The sample contains skills that are shared across multiple job roles.
25b0dec1,Тестировщик Colvir,sql,Более 6 лет,Среднее образование,sql Более 6 лет Среднее образование,QA Engineer,Full Stack Developer,The text sample is short and may not contain enough distinctive skills.
842f575b,QA Engineer (Middle),"python, typescript, react, fastapi, sql, postgresql, docker, ci/cd, git",От 3 до 6 лет,Высшее образование,"python, typescript, react, fastapi, sql, postgresql, docker, ci/cd, git От 3 до 6 лет Высшее образование",QA Engineer,Full Stack Developer,The sample contains skills that are shared across multiple job roles.
b88b3c46,QA Engineer,angular,От 1 года до 3 лет,Среднее образование,angular От 1 года до 3 лет Среднее образование,QA Engineer,Mobile Developer,The sample contains skills that are shared across multiple job roles.
