Model,Model Type,Accuracy,Macro Precision,Macro Recall,Macro F1,CV Macro F1,Best Params
Linear SVM Tuned,tuned,0.8893280632411067,0.8956170061822236,0.8876075884899416,0.8890206830206828,0.8574963903426243,{'C': 5}
Logistic Regression Tuned,tuned,0.8735177865612648,0.8820997221169635,0.8718694932518462,0.873759318280691,0.8648641136821755,{'C': 10}
Linear SVM,base,0.8616600790513834,0.8689667987643604,0.8602161955691366,0.8612193084629289,0.8529877314959764,
Random Forest,base,0.849802371541502,0.864116452201818,0.8465300483829896,0.8516550658910906,0.8505682316041551,
Logistic Regression,base,0.8379446640316206,0.8514249937637034,0.8404969442322383,0.8421087209381533,0.8427896194494877,
Complement NB,base,0.8102766798418972,0.8546708074534161,0.8073071046600457,0.8148641388962684,0.8034617006919909,
KNN Tuned,tuned,0.8023715415019763,0.8157668366491896,0.8004446142093202,0.8038359437216313,0.7796169513425169,{'n_neighbors': 3}
KNN,base,0.7905138339920948,0.8103624338624339,0.7925175706646295,0.7931659337960001,0.7676194743214245,
Multinomial NB,base,0.7786561264822134,0.8554739304812834,0.7699167303284951,0.7928912367850495,0.7790959357778365,
Dummy Most Frequent,base,0.13438735177865613,0.013438735177865613,0.1,0.023693379790940765,0.023291372921849286,
